Date,Close,Volume,Open,High,Low
03/01/2024,$905.48,"10,881,600",$881.88,$927.00,$881.00
02/29/2024,$866.12,"8,842,858",$839.00,$890.5199,$839.00
02/28/2024,$816.54,"6,032,474",$820.00,$846.50,$812.00
02/27/2024,$851.11,"6,910,368",$862.94,$869.00,$814.00
02/26/2024,$876.34,"9,607,835",$884.47,$895.961,$830.0201
02/23/2024,$860.01,"19,384,370",$938.16,$995.00,$824.0201
02/22/2024,$975.52,"25,372,700",$864.99,"$1,003.5399",$834.0001
02/21/2024,$734.17,"14,962,940",$749.75,$772.4999,$708.0801
02/20/2024,$787.57,"25,412,560",$790.00,$802.00,$692.50
02/16/2024,$803.32,"34,038,340","$1,045.50","$1,077.87",$801.15
02/15/2024,"$1,004.00","25,240,600",$945.00,"$1,006.3499",$917.7132
02/14/2024,$880.55,"20,128,570",$823.31,$886.03,$820.88
02/13/2024,$791.49,"14,480,460",$750.00,$800.00,$745.51
02/12/2024,$773.01,"16,872,320",$761.34,$810.00,$745.07
02/09/2024,$740.29,"10,834,790",$710.05,$745.17,$708.8966
02/08/2024,$698.00,"9,413,737",$670.76,$714.49,$666.05
02/07/2024,$683.60,"12,332,980",$675.00,$699.77,$660.00
02/06/2024,$681.59,"18,488,980",$673.00,$686.00,$625.81
02/05/2024,$663.35,"17,596,380",$589.88,$670.00,$587.95
02/02/2024,$579.63,"12,189,570",$592.52,$606.00,$565.00
02/01/2024,$583.50,"13,609,600",$540.00,$587.6099,$536.00
01/31/2024,$529.61,"11,997,280",$503.35,$546.00,$503.3281
01/30/2024,$512.97,"17,956,420",$547.32,$554.44,$501.17
01/29/2024,$495.67,"11,525,120",$475.67,$495.72,$471.90
01/26/2024,$474.15,"5,035,554",$467.10,$483.25,$459.70
01/25/2024,$475.58,"6,717,272",$476.11,$483.66,$466.11
01/24/2024,$470.19,"12,116,970",$471.29,$496.78,$460.23
01/23/2024,$457.38,"9,677,196",$436.00,$458.27,$416.54
01/22/2024,$436.24,"18,823,320",$456.35,$485.86,$410.19
01/19/2024,$423.36,"23,112,520",$347.56,$428.69,$338.8801
01/18/2024,$311.44,"4,875,126",$330.01,$333.9999,$306.47
01/17/2024,$318.23,"3,585,772",$320.51,$322.00,$305.75
01/16/2024,$326.31,"4,732,855",$340.55,$352.00,$324.3109
01/12/2024,$339.56,"2,289,206",$345.53,$349.48,$338.29
01/11/2024,$343.31,"4,172,923",$344.84,$355.18,$330.74
01/10/2024,$342.38,"5,345,446",$347.00,$357.99,$332.2401
01/09/2024,$343.73,"6,703,270",$318.33,$349.1799,$317.21
01/08/2024,$320.28,"4,262,624",$294.89,$321.82,$293.52
01/05/2024,$292.13,"2,343,098",$288.80,$298.8799,$287.5726
01/04/2024,$288.80,"2,311,056",$280.50,$295.4799,$276.27
01/03/2024,$280.64,"1,677,613",$277.25,$287.89,$276.52
01/02/2024,$285.45,"1,904,226",$280.00,$287.00,$275.8813
12/29/2023,$284.26,"2,104,416",$291.51,$293.34,$280.17
12/28/2023,$291.45,"1,265,106",$293.61,$297.25,$290.64
12/27/2023,$295.00,"1,411,700",$298.00,$299.00,$290.85
12/26/2023,$294.33,"2,422,059",$290.91,$296.71,$287.44
12/22/2023,$289.72,"4,439,496",$307.57,$309.25,$285.05
12/21/2023,$304.18,"2,508,423",$308.94,$313.98,$300.725
12/20/2023,$302.08,"3,122,931",$315.51,$320.62,$301.0823
12/19/2023,$315.94,"4,014,274",$315.00,$321.34,$308.01
12/18/2023,$322.19,"5,741,008",$304.42,$327.55,$302.945
12/15/2023,$300.11,"3,752,700",$295.00,$301.91,$292.46
12/14/2023,$294.40,"4,544,096",$278.00,$296.33,$277.90
12/13/2023,$273.32,"2,735,787",$267.00,$275.61,$262.50
12/12/2023,$265.37,"2,178,323",$261.57,$268.55,$258.25
12/11/2023,$262.26,"3,135,952",$263.035,$270.70,$257.02
12/08/2023,$272.65,"3,157,504",$255.00,$274.20,$254.6101
12/07/2023,$256.15,"2,399,711",$255.50,$258.50,$251.29
12/06/2023,$253.42,"2,859,854",$267.50,$268.06,$253.37
12/05/2023,$262.96,"2,559,803",$263.45,$269.94,$259.71
12/04/2023,$266.35,"2,959,802",$267.20,$269.16,$256.81
12/01/2023,$269.63,"4,297,581",$262.26,$270.70,$260.25
11/30/2023,$273.47,"4,083,672",$289.88,$291.7299,$267.72
11/29/2023,$287.63,"3,663,363",$291.28,$306.516,$286.75
11/28/2023,$285.61,"2,332,711",$291.03,$295.49,$282.06
11/27/2023,$290.37,"2,357,031",$284.11,$298.37,$283.52
11/24/2023,$285.67,"965,459",$283.56,$288.30,$280.67
11/22/2023,$286.66,"3,975,093",$293.20,$301.60,$276.52
11/21/2023,$289.85,"2,886,118",$299.00,$302.99,$289.65
11/20/2023,$304.60,"2,912,999",$289.00,$305.89,$289.00
11/17/2023,$288.59,"2,337,289",$285.00,$295.43,$283.70
11/16/2023,$283.67,"1,833,361",$283.00,$289.29,$278.00
11/15/2023,$287.78,"3,605,455",$294.95,$297.48,$283.14
11/14/2023,$293.87,"6,250,371",$266.00,$294.67,$264.53
11/13/2023,$255.80,"2,989,163",$264.75,$265.06,$253.10
11/10/2023,$266.03,"2,536,800",$267.62,$272.35,$263.5101
11/09/2023,$264.88,"4,015,648",$266.20,$280.18,$261.03
11/08/2023,$260.27,"2,128,678",$255.40,$264.035,$252.24
11/07/2023,$254.38,"1,930,462",$253.00,$261.00,$250.21
11/06/2023,$252.59,"2,523,164",$257.70,$259.99,$249.20
