Date,Close,Volume,Open,High,Low
03/01/2024,$1.05,"39,188",$1.0701,$1.0701,$0.93
02/29/2024,$1.07,"73,921",$1.22,$1.22,$1.0696
02/28/2024,$1.20,"169,928",$1.22,$1.5001,$1.15
02/27/2024,$1.2001,"1,767,942",$1.00,$1.2799,$0.902
02/26/2024,$0.8801,"7,171",$0.9022,$1.03,$0.82
02/23/2024,$1.03,"3,142",$1.06,$1.06,$1.0203
02/22/2024,$1.0334,"1,721",$1.0249,$1.0334,$0.97
02/21/2024,$1.05,628,$1.05,$1.05,$1.05
02/20/2024,$1.08,"12,252",$1.07,$1.0999,$1.05
02/16/2024,$1.03,"17,171",$0.99,$1.06,$0.99
02/15/2024,$0.97,"28,310",$0.99,$1.04,$0.9543
02/14/2024,$0.9555,"13,203",$0.935,$1.04,$0.935
02/13/2024,$0.9299,"1,170",$0.90,$0.9299,$0.90
02/12/2024,$0.93,"5,397",$0.95,$0.99,$0.89
02/09/2024,$0.939,"20,448",$0.94,$0.94,$0.90
02/08/2024,$0.88,"2,178",$0.88,$0.88,$0.88
02/07/2024,$0.8465,"8,545",$0.9036,$0.9036,$0.79
02/06/2024,$0.8781,"1,804",$0.8102,$0.8881,$0.81
02/05/2024,$0.8674,"6,009",$0.8485,$0.8899,$0.81
02/02/2024,$0.8422,"12,928",$0.9194,$0.9194,$0.80
02/01/2024,$0.9195,"2,664",$0.88,$0.9195,$0.88
01/31/2024,$0.88,"13,314",$0.88,$0.9599,$0.88
01/30/2024,$0.9251,"12,516",$0.9499,$0.9499,$0.90
01/29/2024,$0.9001,"13,438",$0.924,$0.93,$0.90
01/26/2024,$0.95,"18,514",$1.00,$1.0201,$0.95
01/25/2024,$0.9801,"14,501",$0.99,$1.0499,$0.9504
01/24/2024,$1.01,"7,855",$1.02,$1.02,$0.9999
01/23/2024,$1.02,"8,894",$1.01,$1.02,$0.98
01/22/2024,$1.01,"5,666",$0.99,$1.0499,$0.99
01/19/2024,$1.00,"2,991",$1.045,$1.045,$1.00
01/18/2024,$1.01,"27,666",$1.07,$1.12,$1.0004
01/17/2024,$1.07,"1,475",$1.0138,$1.07,$1.0138
01/16/2024,$1.12,"4,754",$1.09,$1.12,$1.06
01/12/2024,$1.11,"5,399",$1.125,$1.15,$1.11
01/11/2024,$1.13,"5,557",$1.09,$1.165,$1.09
01/10/2024,$1.06,"44,901",$1.1701,$1.1701,$0.9402
01/09/2024,$1.18,"2,114",$1.2095,$1.2095,$1.18
01/08/2024,$1.2099,"3,783",$1.205,$1.237,$1.16
01/05/2024,$1.2084,"8,129",$1.26,$1.26,$1.1601
01/04/2024,$1.20,"1,579",$1.221,$1.221,$1.19
01/03/2024,$1.24,"11,905",$1.27,$1.27,$1.1897
01/02/2024,$1.24,581,$1.21,$1.24,$1.1855
12/29/2023,$1.21,"14,695",$1.20,$1.26,$1.15
12/28/2023,$1.27,"17,232",$1.21,$1.27,$1.18
12/27/2023,$1.1606,"5,007",$1.19,$1.20,$1.16
12/26/2023,$1.24,"5,582",$1.14,$1.24,$1.14
12/22/2023,$1.20,"3,951",$1.16,$1.2525,$1.16
12/21/2023,$1.24,"7,455",$1.16,$1.24,$1.1301
12/20/2023,$1.27,"4,028",$1.19,$1.27,$1.12
12/19/2023,$1.19,"12,915",$1.247,$1.26,$1.19
12/18/2023,$1.23,"4,521",$1.20,$1.28,$1.20
12/15/2023,$1.23,"1,271",$1.2001,$1.23,$1.2001
12/14/2023,$1.1999,"5,121",$1.15,$1.30,$1.15
12/13/2023,$1.20,"7,593",$1.20,$1.20,$1.12
12/12/2023,$1.2237,"1,468",$1.23,$1.23,$1.20
12/11/2023,$1.23,"3,528",$1.23,$1.23,$1.1898
12/08/2023,$1.20,"11,260",$1.255,$1.28,$1.20
12/07/2023,$1.24,"3,258",$1.23,$1.255,$1.18
12/06/2023,$1.23,"4,914",$1.30,$1.30,$1.2101
12/05/2023,$1.255,"1,856",$1.24,$1.255,$1.2118
12/04/2023,$1.30,"12,867",$1.24,$1.345,$1.24
12/01/2023,$1.2395,"14,841",$1.20,$1.24,$1.16
11/30/2023,$1.25,"6,143",$1.24,$1.2901,$1.24
11/29/2023,$1.31,"4,372",$1.388,$1.388,$1.31
11/28/2023,$1.37,"8,033",$1.24,$1.38,$1.24
11/27/2023,$1.34,"2,402",$1.22,$1.38,$1.22
11/24/2023,$1.28,"1,832",$1.19,$1.28,$1.19
11/22/2023,$1.37,"5,067",$1.29,$1.37,$1.24
11/21/2023,$1.33,"1,702",$1.29,$1.33,$1.29
11/20/2023,$1.34,533,$1.34,$1.34,$1.34
11/17/2023,$1.298,"1,270",$1.30,$1.3086,$1.298
11/16/2023,$1.29,"5,028",$1.27,$1.3706,$1.1868
11/15/2023,$1.31,"45,062",$1.35,$1.49,$1.28
11/14/2023,$1.2799,"1,639",$1.25,$1.28,$1.25
11/13/2023,$1.18,"13,425",$1.31,$1.37,$1.18
11/10/2023,$1.38,"1,702",$1.39,$1.39,$1.3799
11/09/2023,$1.30,"1,664",$1.3095,$1.37,$1.30
11/08/2023,$1.3003,"17,987",$1.34,$1.38,$1.30
11/07/2023,$1.36,"5,824",$1.37,$1.37,$1.35
11/06/2023,$1.34,"2,463",$1.28,$1.41,$1.27
11/03/2023,$1.31,"4,336",$1.28,$1.31,$1.28
11/02/2023,$1.31,"18,423",$1.13,$1.44,$1.13
11/01/2023,$1.21,"16,877",$1.152,$1.21,$1.11
10/31/2023,$1.17,"1,359",$1.23,$1.23,$1.135
10/30/2023,$1.27,"13,810",$1.28,$1.3988,$1.15
10/27/2023,$1.25,"16,444",$1.32,$1.32,$1.15
10/26/2023,$1.27,"6,192",$1.45,$1.45,$1.24
10/25/2023,$1.30,"13,404",$1.40,$1.43,$1.19
10/24/2023,$1.35,"18,547",$1.42,$1.45,$1.332
10/23/2023,$1.37,"13,577",$1.34,$1.3939,$1.21
10/20/2023,$1.2728,"3,917",$1.24,$1.28,$1.20
10/19/2023,$1.24,"11,980",$1.39,$1.40,$1.2299
10/18/2023,$1.31,"2,175",$1.32,$1.32,$1.29
10/17/2023,$1.35,"14,104",$1.45,$1.45,$1.325
10/16/2023,$1.32,"12,360",$1.31,$1.40,$1.26
10/13/2023,$1.40,"4,298",$1.43,$1.43,$1.369
10/12/2023,$1.38,"14,239",$1.31,$1.43,$1.2999
10/11/2023,$1.34,"4,570",$1.32,$1.40,$1.32
10/10/2023,$1.37,"3,239",$1.33,$1.37,$1.327
10/09/2023,$1.37,876,$1.33,$1.37,$1.33
10/06/2023,$1.365,"4,201",$1.37,$1.38,$1.32
10/05/2023,$1.35,"7,041",$1.42,$1.42,$1.345
10/04/2023,$1.39,"2,310",$1.38,$1.39,$1.3401
10/03/2023,$1.38,"7,938",$1.29,$1.38,$1.29
10/02/2023,$1.29,"5,540",$1.16,$1.29,$1.16
09/29/2023,$1.14,"3,555",$1.15,$1.1699,$1.14
09/28/2023,$1.14,"7,149",$1.14,$1.14,$1.10
09/27/2023,$1.12,"8,630",$1.12,$1.14,$1.06
09/26/2023,$1.07,"4,043",$1.10,$1.10,$1.065
09/25/2023,$1.08,"4,476",$1.12,$1.12,$1.08
09/22/2023,$1.07,"6,137",$1.10,$1.13,$1.07
09/21/2023,$1.15,"7,574",$1.13,$1.16,$1.10
09/20/2023,$1.19,"12,852",$1.17,$1.20,$1.11
09/19/2023,$1.12,"4,461",$1.1301,$1.175,$1.1001
09/18/2023,$1.13,"11,295",$1.18,$1.1801,$1.10
09/15/2023,$1.14,"21,912",$1.17,$1.17,$1.10
09/14/2023,$1.13,"10,466",$1.21,$1.22,$1.13
09/13/2023,$1.13,"10,679",$1.21,$1.21,$1.11
09/12/2023,$1.12,"21,212",$1.21,$1.21,$1.11
09/11/2023,$1.1984,"8,989",$1.16,$1.21,$1.11
09/08/2023,$1.13,"4,259",$1.17,$1.20,$1.13
09/07/2023,$1.195,"10,195",$1.26,$1.26,$1.15
09/06/2023,$1.30,"3,528",$1.23,$1.30,$1.21
09/05/2023,$1.25,"5,496",$1.30,$1.3114,$1.2011
09/01/2023,$1.26,"34,585",$1.21,$1.30,$1.21
08/31/2023,$1.18,"15,427",$1.21,$1.24,$1.17
08/30/2023,$1.22,"3,471",$1.20,$1.30,$1.18
08/29/2023,$1.25,"9,198",$1.22,$1.26,$1.19
08/28/2023,$1.22,"22,357",$1.28,$1.31,$1.22
08/25/2023,$1.31,"3,937",$1.40,$1.40,$1.31
08/24/2023,$1.35,"10,951",$1.37,$1.395,$1.31
08/23/2023,$1.36,"6,906",$1.353,$1.42,$1.35
08/22/2023,$1.35,"11,046",$1.415,$1.42,$1.35
08/21/2023,$1.41,"12,977",$1.46,$1.485,$1.38
08/18/2023,$1.42,"25,680",$1.49,$1.52,$1.42
08/17/2023,$1.50,"6,276",$1.50,$1.50,$1.45
08/16/2023,$1.46,"39,198",$1.58,$1.59,$1.45
08/15/2023,$1.63,"31,026",$1.58,$1.76,$1.58
08/14/2023,$1.64,"13,524",$1.60,$1.65,$1.57
08/11/2023,$1.61,"6,088",$1.57,$1.64,$1.57
08/10/2023,$1.64,"2,724",$1.64,$1.64,$1.61
