Date,Close,Volume,Open,High,Low
03/01/2024,$114.82,"310,961",$117.00,$117.065,$113.985
02/29/2024,$117.19,"427,440",$117.47,$117.47,$114.695
02/28/2024,$116.40,"284,595",$113.34,$116.41,$112.95
02/27/2024,$114.22,"541,733",$110.93,$114.28,$110.615
02/26/2024,$109.69,"374,020",$109.45,$110.50,$107.23
02/23/2024,$108.62,"877,541",$111.33,$113.125,$103.11
02/22/2024,$111.43,"301,154",$108.94,$112.07,$108.94
02/21/2024,$109.62,"353,997",$108.77,$110.29,$107.92
02/20/2024,$108.51,"514,284",$109.91,$110.14,$107.23
02/16/2024,$110.37,"187,726",$109.08,$111.04,$109.07
02/15/2024,$109.57,"213,262",$108.51,$109.83,$107.71
02/14/2024,$107.56,"151,172",$107.15,$108.005,$106.52
02/13/2024,$105.70,"209,591",$105.94,$107.80,$104.62
02/12/2024,$108.88,"150,063",$108.45,$109.83,$107.9476
02/09/2024,$108.44,"161,650",$106.52,$109.11,$106.52
02/08/2024,$106.63,"133,467",$106.66,$107.66,$106.01
02/07/2024,$105.77,"141,040",$104.34,$106.725,$103.9501
02/06/2024,$104.25,"101,697",$103.10,$105.38,$103.10
02/05/2024,$103.42,"115,903",$104.23,$104.40,$102.45
02/02/2024,$105.57,"193,413",$102.14,$105.76,$102.14
02/01/2024,$103.65,"199,441",$101.57,$103.92,$100.9345
01/31/2024,$100.64,"254,691",$104.88,$104.96,$100.59
01/30/2024,$104.73,"97,141",$103.63,$104.82,$103.00
01/29/2024,$103.66,"161,614",$102.97,$104.01,$102.67
01/26/2024,$103.28,"115,071",$103.50,$104.2554,$102.655
01/25/2024,$102.54,"135,384",$103.51,$103.79,$101.93
01/24/2024,$101.90,"110,627",$103.68,$103.68,$101.68
01/23/2024,$102.38,"172,441",$102.73,$103.26,$101.39
01/22/2024,$101.99,"199,511",$101.54,$103.055,$101.54
01/19/2024,$100.61,"187,889",$100.39,$100.83,$98.46
01/18/2024,$99.96,"302,860",$98.34,$100.34,$98.16
01/17/2024,$97.90,"165,994",$97.55,$98.96,$97.55
01/16/2024,$99.05,"119,638",$98.96,$99.76,$98.07
01/12/2024,$99.85,"91,023",$101.19,$101.86,$98.72
01/11/2024,$99.83,"255,190",$98.49,$99.90,$97.16
01/10/2024,$98.85,"119,841",$98.11,$98.89,$97.69
01/09/2024,$97.77,"186,472",$95.58,$97.79,$95.00
01/08/2024,$96.81,"101,880",$96.60,$96.86,$95.77
01/05/2024,$96.72,"189,182",$96.00,$97.06,$95.52
01/04/2024,$97.05,"182,035",$96.91,$98.12,$96.82
01/03/2024,$96.66,"216,267",$99.21,$99.21,$96.38
01/02/2024,$99.15,"228,143",$99.96,$100.89,$98.24
12/29/2023,$101.01,"184,724",$102.05,$103.09,$100.93
12/28/2023,$102.27,"119,833",$102.31,$103.48,$102.025
12/27/2023,$102.70,"191,059",$103.23,$104.155,$102.22
12/26/2023,$102.58,"159,457",$101.07,$102.59,$100.59
12/22/2023,$100.67,"197,703",$98.65,$101.045,$98.64
12/21/2023,$98.06,"321,420",$99.99,$99.99,$97.21
12/20/2023,$99.03,"274,242",$100.00,$101.34,$98.68
12/19/2023,$99.93,"240,109",$98.47,$99.95,$97.50
12/18/2023,$97.48,"300,730",$96.30,$97.83,$94.28
12/15/2023,$95.61,"822,661",$96.26,$96.45,$95.00
12/14/2023,$96.01,"587,130",$94.88,$96.01,$93.02
12/13/2023,$93.01,"314,085",$90.47,$93.98,$90.28
12/12/2023,$90.96,"156,876",$90.06,$91.39,$89.0851
12/11/2023,$89.62,"110,426",$89.13,$89.93,$88.87
12/08/2023,$88.82,"118,348",$88.01,$89.34,$87.79
12/07/2023,$88.23,"177,684",$88.42,$88.42,$87.082
12/06/2023,$88.54,"128,181",$89.76,$90.43,$88.23
12/05/2023,$88.84,"173,346",$90.28,$90.28,$87.97
12/04/2023,$90.36,"215,213",$87.00,$90.40,$86.42
12/01/2023,$87.54,"166,206",$84.74,$88.09,$84.74
11/30/2023,$85.31,"117,808",$84.66,$85.37,$84.62
11/29/2023,$84.07,"109,630",$85.31,$85.48,$83.98
11/28/2023,$84.45,"125,501",$86.38,$86.89,$84.37
11/27/2023,$86.26,"98,116",$86.16,$86.75,$85.90
11/24/2023,$86.72,"40,267",$86.09,$86.87,$86.09
11/22/2023,$86.01,"85,217",$86.76,$87.15,$85.62
11/21/2023,$86.10,"98,421",$86.44,$86.78,$85.31
11/20/2023,$86.94,"89,964",$87.11,$87.33,$86.63
11/17/2023,$86.97,"174,629",$86.86,$87.47,$86.30
11/16/2023,$86.19,"85,511",$86.87,$86.87,$85.96
11/15/2023,$86.57,"250,325",$88.06,$89.285,$86.26
11/14/2023,$88.20,"182,835",$86.56,$88.25,$86.16
11/13/2023,$84.60,"122,488",$83.38,$85.02,$83.15
11/10/2023,$83.75,"151,059",$83.50,$84.26,$82.925
11/09/2023,$83.37,"139,953",$84.42,$84.58,$83.27
11/08/2023,$84.20,"147,626",$84.46,$84.78,$82.83
11/07/2023,$84.32,"185,475",$84.54,$84.555,$83.2663
11/06/2023,$84.95,"288,439",$83.00,$85.00,$81.425
11/03/2023,$82.51,"364,776",$81.10,$83.89,$77.90
11/02/2023,$83.04,"191,734",$81.91,$83.36,$81.885
11/01/2023,$81.01,"173,314",$79.81,$81.48,$78.958
10/31/2023,$80.12,"178,796",$79.45,$80.46,$78.8701
10/30/2023,$79.45,"114,605",$79.29,$79.60,$78.88
10/27/2023,$78.63,"210,660",$79.42,$79.7864,$78.37
10/26/2023,$79.53,"215,565",$80.21,$81.53,$79.36
10/25/2023,$79.73,"144,759",$79.62,$80.46,$78.69
10/24/2023,$79.74,"491,755",$79.48,$79.97,$78.11
10/23/2023,$78.51,"160,100",$79.13,$79.65,$78.50
10/20/2023,$79.10,"295,684",$79.60,$80.47,$78.57
10/19/2023,$77.91,"193,326",$79.09,$79.50,$77.84
10/18/2023,$79.50,"180,092",$80.63,$80.9995,$79.15
10/17/2023,$81.50,"271,054",$80.62,$82.225,$80.62
10/16/2023,$81.40,"100,658",$81.04,$82.11,$80.84
10/13/2023,$79.91,"130,945",$81.22,$81.22,$79.63
10/12/2023,$80.86,"197,682",$82.76,$82.76,$80.35
10/11/2023,$82.46,"108,119",$81.31,$82.47,$81.28
10/10/2023,$81.26,"143,824",$81.51,$82.77,$81.24
10/09/2023,$80.84,"166,758",$80.16,$80.96,$79.54
10/06/2023,$80.81,"130,154",$80.32,$82.35,$80.16
10/05/2023,$80.69,"165,691",$81.25,$81.49,$80.20
10/04/2023,$80.99,"166,998",$80.86,$81.80,$80.15
10/03/2023,$80.41,"184,785",$81.03,$81.72,$80.36
