Date,Close,Volume,Open,High,Low
03/01/2024,$34.73,"947,057",$34.48,$34.77,$34.095
02/29/2024,$34.42,"2,472,249",$34.20,$34.58,$33.875
02/28/2024,$33.87,"1,398,403",$33.70,$34.31,$33.63
02/27/2024,$34.01,"3,390,793",$34.74,$35.005,$34.00
02/26/2024,$34.43,"4,595,356",$34.69,$34.69,$33.14
02/23/2024,$35.03,"1,254,921",$34.21,$35.11,$34.21
02/22/2024,$34.26,"2,165,235",$34.35,$34.39,$34.06
02/21/2024,$34.25,"3,452,621",$33.45,$34.26,$33.31
02/20/2024,$33.67,"3,163,348",$32.89,$33.68,$32.51
02/16/2024,$33.68,"3,610,258",$33.64,$34.16,$33.48
02/15/2024,$33.81,"2,977,783",$33.00,$33.84,$32.915
02/14/2024,$32.74,"2,609,712",$32.75,$33.135,$32.54
02/13/2024,$32.35,"2,688,284",$32.72,$32.94,$31.91
02/12/2024,$33.62,"2,596,802",$33.00,$33.85,$33.00
02/09/2024,$32.95,"1,687,927",$32.70,$33.06,$32.55
02/08/2024,$32.71,"2,893,074",$33.03,$33.11,$32.60
02/07/2024,$33.17,"3,029,821",$33.25,$33.25,$32.44
02/06/2024,$33.06,"5,826,703",$33.53,$33.62,$32.24
02/05/2024,$36.12,"1,728,622",$36.03,$36.32,$35.81
02/02/2024,$36.56,"1,117,884",$36.52,$36.865,$36.05
02/01/2024,$36.78,"1,102,528",$36.32,$36.81,$36.24
01/31/2024,$36.17,"2,027,430",$37.13,$37.24,$36.155
01/30/2024,$37.35,"2,794,570",$37.18,$37.52,$36.56
01/29/2024,$35.75,"3,859,333",$35.28,$35.775,$35.19
01/26/2024,$35.45,"3,066,848",$35.65,$35.87,$35.415
01/25/2024,$35.40,"1,235,637",$35.65,$35.72,$35.075
01/24/2024,$35.32,"1,609,772",$35.89,$35.95,$35.14
01/23/2024,$35.33,"2,026,237",$35.48,$35.48,$34.885
01/22/2024,$34.99,"1,672,192",$34.70,$35.13,$34.60
01/19/2024,$34.45,"1,972,332",$34.54,$34.54,$33.88
01/18/2024,$34.42,"3,880,695",$34.07,$34.645,$33.84
01/17/2024,$33.82,"1,616,024",$33.72,$34.00,$33.46
01/16/2024,$34.24,"2,221,695",$33.92,$34.27,$33.74
01/12/2024,$34.26,"1,388,560",$35.15,$35.34,$34.17
01/11/2024,$34.79,"1,943,174",$35.01,$35.0899,$34.46
01/10/2024,$35.05,"2,321,121",$35.53,$35.73,$34.995
01/09/2024,$35.62,"2,056,260",$35.46,$35.72,$35.28
01/08/2024,$35.93,"2,597,013",$35.83,$36.30,$35.49
01/05/2024,$36.22,"2,462,658",$35.96,$36.655,$35.945
01/04/2024,$36.04,"2,913,411",$35.86,$36.22,$35.195
01/03/2024,$36.20,"3,103,066",$36.61,$36.795,$35.90
01/02/2024,$37.12,"2,363,594",$37.01,$37.88,$36.965
12/29/2023,$37.57,"1,474,976",$37.58,$37.945,$37.43
12/28/2023,$37.76,"928,283",$37.79,$37.85,$37.5606
12/27/2023,$37.81,"948,777",$37.72,$37.86,$37.49
12/26/2023,$37.55,"3,104,631",$37.45,$37.63,$37.18
12/22/2023,$37.38,"3,862,670",$37.53,$38.19,$37.165
12/21/2023,$37.49,"2,395,769",$36.79,$37.51,$36.61
12/20/2023,$36.47,"4,111,068",$36.49,$37.355,$36.43
12/19/2023,$36.60,"1,861,130",$36.19,$36.64,$36.08
12/18/2023,$35.84,"2,150,636",$36.00,$36.075,$35.725
12/15/2023,$36.06,"2,574,247",$36.48,$36.63,$35.745
12/14/2023,$36.59,"2,609,400",$35.64,$36.78,$35.285
12/13/2023,$34.85,"1,388,797",$33.70,$34.905,$33.50
12/12/2023,$33.73,"1,350,128",$33.78,$33.93,$33.535
12/11/2023,$33.81,"2,149,819",$33.41,$34.02,$33.335
