Date,Close,Volume,Open,High,Low
03/01/2024,$0.095,"1,384",$0.075,$0.095,$0.075
02/29/2024,$0.11,N/A,$0.11,$0.11,$0.11
02/28/2024,$0.11,N/A,$0.11,$0.11,$0.11
02/27/2024,$0.11,N/A,$0.11,$0.11,$0.11
02/26/2024,$0.11,"2,820",$0.1099,$0.12,$0.0889
02/23/2024,$0.11,N/A,$0.11,$0.11,$0.11
02/22/2024,$0.11,N/A,$0.11,$0.11,$0.11
02/21/2024,$0.11,790,$0.12,$0.12,$0.11
02/20/2024,$0.11,N/A,$0.11,$0.11,$0.11
02/16/2024,$0.11,"3,536",$0.12,$0.12,$0.11
02/15/2024,$0.11,"3,707",$0.11,$0.11,$0.11
02/14/2024,$0.10,"3,700",$0.10,$0.10,$0.0985
02/13/2024,$0.10,N/A,$0.10,$0.10,$0.10
02/12/2024,$0.10,"1,000",$0.10,$0.10,$0.10
02/09/2024,$0.10,"6,100",$0.08,$0.10,$0.0752
02/08/2024,$0.1077,"9,639",$0.075,$0.11,$0.075
02/07/2024,$0.0749,N/A,$0.0749,$0.0749,$0.0749
02/06/2024,$0.0749,"10,050",$0.125,$0.13,$0.065
02/05/2024,$0.0666,"7,755",$0.08,$0.13,$0.065
02/02/2024,$0.1044,"1,100",$0.1039,$0.1045,$0.1039
02/01/2024,$0.1045,984,$0.0951,$0.1085,$0.0951
01/31/2024,$0.13,N/A,$0.13,$0.13,$0.13
01/30/2024,$0.13,N/A,$0.13,$0.13,$0.13
01/29/2024,$0.13,N/A,$0.13,$0.13,$0.13
01/26/2024,$0.13,N/A,$0.13,$0.13,$0.13
01/25/2024,$0.13,N/A,$0.13,$0.13,$0.13
01/24/2024,$0.13,N/A,$0.13,$0.13,$0.13
01/23/2024,$0.13,N/A,$0.13,$0.13,$0.13
01/22/2024,$0.13,"5,794",$0.08,$0.13,$0.08
01/19/2024,$0.135,N/A,$0.135,$0.135,$0.135
01/18/2024,$0.135,N/A,$0.135,$0.135,$0.135
01/17/2024,$0.135,N/A,$0.135,$0.135,$0.135
01/16/2024,$0.135,N/A,$0.135,$0.135,$0.135
01/12/2024,$0.135,"1,240",$0.135,$0.135,$0.135
01/11/2024,$0.135,200,$0.135,$0.135,$0.135
01/10/2024,$0.135,"3,603",$0.135,$0.135,$0.121
01/09/2024,$0.1228,N/A,$0.1228,$0.1228,$0.1228
01/08/2024,$0.1228,"7,800",$0.1298,$0.135,$0.1228
01/05/2024,$0.1299,N/A,$0.1299,$0.1299,$0.1299
01/04/2024,$0.1299,"5,000",$0.1299,$0.1299,$0.1299
01/03/2024,$0.1329,"1,201",$0.0924,$0.133,$0.0924
01/02/2024,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/29/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/28/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/27/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/26/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/22/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/21/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/20/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/19/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/18/2023,$0.1349,N/A,$0.1349,$0.1349,$0.1349
12/15/2023,$0.1349,"13,842",$0.1195,$0.135,$0.099
12/14/2023,$0.0982,"5,547",$0.076,$0.0982,$0.0722
12/13/2023,$0.14,N/A,$0.14,$0.14,$0.14
12/12/2023,$0.14,"2,000",$0.14,$0.14,$0.14
12/11/2023,$0.1298,N/A,$0.1298,$0.1298,$0.1298
12/08/2023,$0.1298,N/A,$0.1298,$0.1298,$0.1298
12/07/2023,$0.1298,"1,481",$0.0755,$0.1298,$0.0755
12/06/2023,$0.0851,N/A,$0.0851,$0.0851,$0.0851
12/05/2023,$0.0851,N/A,$0.0851,$0.0851,$0.0851
12/04/2023,$0.0851,N/A,$0.0851,$0.0851,$0.0851
12/01/2023,$0.0851,N/A,$0.0851,$0.0851,$0.0851
11/30/2023,$0.0851,"25,721",$0.13,$0.13,$0.0851
11/29/2023,$0.1396,N/A,$0.1396,$0.1396,$0.1396
11/28/2023,$0.1396,"6,545",$0.082,$0.1396,$0.082
11/27/2023,$0.1396,N/A,$0.1396,$0.1396,$0.1396
11/24/2023,$0.1396,511,$0.14,$0.14,$0.1396
11/22/2023,$0.1396,"4,502",$0.14,$0.14,$0.12
11/21/2023,$0.1397,"5,554",$0.13,$0.1397,$0.1299
11/20/2023,$0.1398,N/A,$0.1398,$0.1398,$0.1398
11/17/2023,$0.1398,"1,900",$0.14,$0.14,$0.1299
11/16/2023,$0.1352,"3,600",$0.13,$0.1352,$0.12
11/15/2023,$0.1353,"5,034",$0.1353,$0.1353,$0.1353
11/14/2023,$0.1352,N/A,$0.1352,$0.1352,$0.1352
11/13/2023,$0.1352,"10,016",$0.1254,$0.14,$0.0851
11/10/2023,$0.12,100,$0.12,$0.12,$0.12
11/09/2023,$0.11,N/A,$0.11,$0.11,$0.11
11/08/2023,$0.11,N/A,$0.11,$0.11,$0.11
11/07/2023,$0.11,N/A,$0.11,$0.11,$0.11
11/06/2023,$0.11,N/A,$0.11,$0.11,$0.11
11/03/2023,$0.11,N/A,$0.11,$0.11,$0.11
11/02/2023,$0.11,"6,210",$0.071,$0.11,$0.0709
11/01/2023,$0.1108,"5,198",$0.116,$0.116,$0.1108
10/31/2023,$0.1199,"7,345",$0.1228,$0.1228,$0.101
10/30/2023,$0.10,"4,010",$0.0851,$0.10,$0.085
10/27/2023,$0.0657,N/A,$0.0657,$0.0657,$0.0657
10/26/2023,$0.0657,"10,558",$0.071,$0.0778,$0.0657
10/25/2023,$0.0999,N/A,$0.0999,$0.0999,$0.0999
10/24/2023,$0.0999,"24,900",$0.0503,$0.0999,$0.0499
10/23/2023,$0.082,N/A,$0.082,$0.082,$0.082
10/20/2023,$0.082,"9,590",$0.082,$0.082,$0.082
10/19/2023,$0.1359,"1,342",$0.10,$0.136,$0.10
10/18/2023,$0.1189,200,$0.1189,$0.1189,$0.1189
10/17/2023,$0.08,"2,277",$0.052,$0.125,$0.04
10/16/2023,$0.085,N/A,$0.085,$0.085,$0.085
10/13/2023,$0.085,"5,404",$0.085,$0.124,$0.085
10/12/2023,$0.125,"22,917",$0.0915,$0.134,$0.0019
10/11/2023,$0.12,N/A,$0.12,$0.12,$0.12
10/10/2023,$0.12,983,$0.08,$0.12,$0.08
10/09/2023,$0.11,N/A,$0.11,$0.11,$0.11
10/06/2023,$0.11,100,$0.11,$0.11,$0.11
10/05/2023,$0.106,N/A,$0.106,$0.106,$0.106
10/04/2023,$0.106,N/A,$0.106,$0.106,$0.106
10/03/2023,$0.106,800,$0.106,$0.106,$0.106
10/02/2023,$0.1055,N/A,$0.1055,$0.1055,$0.1055
09/29/2023,$0.1055,"18,298",$0.1194,$0.1388,$0.0875
09/28/2023,$0.10,"28,686",$0.11,$0.11,$0.10
09/27/2023,$0.10,"338,068",$0.1514,$0.1514,$0.09
09/26/2023,$0.175,"128,992",$0.16,$0.175,$0.0999
09/25/2023,$0.16,"3,014",$0.16,$0.16,$0.16
09/22/2023,$0.16,N/A,$0.16,$0.16,$0.16
09/21/2023,$0.16,400,$0.14,$0.16,$0.14
09/20/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/19/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/18/2023,$0.165,"3,100",$0.14,$0.165,$0.13
09/15/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/14/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/13/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/12/2023,$0.165,300,$0.165,$0.165,$0.1522
09/11/2023,$0.165,508,$0.165,$0.165,$0.165
09/08/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/07/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/06/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/05/2023,$0.165,N/A,$0.165,$0.165,$0.165
09/01/2023,$0.165,"1,284",$0.121,$0.165,$0.121
08/31/2023,$0.165,512,$0.12,$0.165,$0.12
08/30/2023,$0.1648,N/A,$0.1648,$0.1648,$0.1648
08/29/2023,$0.1648,N/A,$0.1648,$0.1648,$0.1648
08/28/2023,$0.1648,N/A,$0.1648,$0.1648,$0.1648
08/25/2023,$0.1648,N/A,$0.1648,$0.1648,$0.1648
08/24/2023,$0.1648,N/A,$0.1648,$0.1648,$0.1648
08/23/2023,$0.1648,288,$0.1648,$0.1648,$0.1648
08/22/2023,$0.165,N/A,$0.165,$0.165,$0.165
08/21/2023,$0.165,100,$0.165,$0.165,$0.165
08/18/2023,$0.16,N/A,$0.16,$0.16,$0.16
08/17/2023,$0.16,N/A,$0.16,$0.16,$0.16
08/16/2023,$0.16,N/A,$0.16,$0.16,$0.16
