Date,Close,Volume,Open,High,Low
03/01/2024,$13.33,"2,304,260",$13.31,$13.555,$13.175
02/29/2024,$13.19,"2,511,592",$13.04,$13.55,$12.69
02/28/2024,$13.00,"2,515,828",$13.04,$13.40,$12.96
02/27/2024,$13.21,"1,742,292",$13.11,$13.39,$13.03
02/26/2024,$12.96,"975,696",$12.75,$12.985,$12.66
02/23/2024,$12.95,"883,680",$12.96,$13.03,$12.699
02/22/2024,$13.20,"1,073,465",$13.12,$13.25,$12.90
02/21/2024,$13.25,"1,095,290",$13.12,$13.42,$13.08
02/20/2024,$13.03,"984,526",$13.09,$13.265,$12.86
02/16/2024,$13.16,"1,115,133",$13.00,$13.345,$12.84
02/15/2024,$12.99,"2,197,199",$12.33,$13.00,$12.33
02/14/2024,$12.29,"1,168,943",$12.41,$12.59,$12.20
02/13/2024,$12.30,"1,388,314",$12.47,$12.60,$12.25
02/12/2024,$12.63,"1,182,893",$12.30,$12.865,$12.30
02/09/2024,$12.30,"1,410,509",$12.29,$12.56,$12.17
02/08/2024,$12.33,"1,479,439",$12.26,$12.53,$12.21
02/07/2024,$12.21,"2,068,646",$12.03,$12.25,$11.7807
02/06/2024,$12.01,"1,532,255",$11.96,$12.25,$11.86
02/05/2024,$11.99,"1,733,268",$12.10,$12.10,$11.75
02/02/2024,$12.23,"1,618,992",$12.47,$12.50,$12.15
02/01/2024,$12.55,"2,111,088",$13.10,$13.14,$12.47
01/31/2024,$12.97,"2,619,680",$13.60,$13.60,$12.915
01/30/2024,$13.60,"1,592,785",$13.27,$13.65,$13.205
01/29/2024,$13.40,"3,437,632",$13.20,$13.52,$12.945
01/26/2024,$13.18,"1,610,605",$13.325,$13.455,$13.025
01/25/2024,$13.26,"1,489,518",$13.33,$13.33,$12.90
01/24/2024,$13.04,"1,765,826",$12.99,$13.07,$12.715
01/23/2024,$12.82,"2,483,374",$13.07,$13.33,$12.69
01/22/2024,$13.02,"5,836,144",$12.90,$13.275,$12.70
01/19/2024,$12.73,"14,833,170",$12.44,$12.855,$12.20
01/18/2024,$12.61,"15,699,390",$12.61,$12.73,$12.095
01/17/2024,$12.53,"1,126,664",$12.51,$12.72,$12.31
01/16/2024,$12.65,"2,333,316",$13.40,$13.89,$12.64
01/12/2024,$13.51,"772,046",$13.61,$13.69,$13.315
01/11/2024,$13.14,"855,354",$13.08,$13.305,$13.0501
01/10/2024,$13.06,"692,784",$13.18,$13.18,$12.88
01/09/2024,$13.22,"871,982",$13.52,$13.52,$13.08
01/08/2024,$13.57,"755,632",$13.34,$13.58,$13.16
01/05/2024,$13.71,"979,203",$13.88,$13.93,$13.61
01/04/2024,$13.73,"1,119,830",$14.70,$14.775,$13.725
01/03/2024,$14.66,"1,515,362",$14.43,$14.775,$14.205
01/02/2024,$14.40,"796,600",$14.32,$14.655,$14.28
12/29/2023,$14.23,"709,860",$14.42,$14.535,$14.18
12/28/2023,$14.33,"592,472",$14.48,$14.56,$14.32
12/27/2023,$14.50,"713,026",$14.62,$14.63,$14.37
12/26/2023,$14.49,"743,998",$14.52,$14.675,$14.39
12/22/2023,$14.31,"554,546",$14.37,$14.6475,$14.26
12/21/2023,$14.27,"734,527",$14.22,$14.30,$13.95
12/20/2023,$14.16,"1,238,893",$14.60,$14.685,$14.14
12/19/2023,$14.54,"1,259,390",$14.14,$14.58,$14.05
12/18/2023,$14.22,"1,085,472",$14.38,$14.68,$14.21
12/15/2023,$14.05,"5,408,166",$14.26,$14.32,$13.74
12/14/2023,$14.11,"2,197,864",$13.67,$14.245,$13.64
12/13/2023,$13.31,"1,572,659",$12.76,$13.31,$12.555
12/12/2023,$12.64,"1,258,915",$12.74,$12.74,$12.45
12/11/2023,$13.00,"1,209,396",$13.29,$13.33,$12.90
12/08/2023,$13.43,"1,503,807",$13.01,$13.43,$12.935
12/07/2023,$12.88,"1,543,590",$12.60,$12.88,$12.44
12/06/2023,$12.27,"1,695,046",$12.81,$13.0812,$12.235
12/05/2023,$12.91,"974,806",$13.35,$13.38,$12.905
12/04/2023,$13.29,"1,748,273",$13.68,$13.79,$13.11
12/01/2023,$13.92,"1,110,173",$13.84,$14.24,$13.76
11/30/2023,$13.92,"1,051,714",$14.08,$14.49,$13.75
11/29/2023,$13.95,"1,527,814",$13.91,$14.10,$13.85
11/28/2023,$13.79,"701,993",$13.72,$13.97,$13.60
11/27/2023,$13.71,"552,036",$13.88,$13.88,$13.645
11/24/2023,$14.00,"340,844",$13.93,$14.19,$13.91
11/22/2023,$13.97,"721,292",$13.58,$14.05,$13.45
11/21/2023,$13.96,"1,138,962",$14.69,$14.71,$13.96
11/20/2023,$14.60,"712,343",$14.72,$14.80,$14.56
11/17/2023,$14.60,"1,563,898",$14.46,$14.695,$14.385
11/16/2023,$14.28,"1,233,201",$14.47,$14.59,$13.81
11/15/2023,$14.66,"909,288",$14.75,$15.17,$14.61
11/14/2023,$14.85,"1,435,421",$14.59,$14.875,$14.45
11/13/2023,$14.27,"982,714",$14.12,$14.355,$13.94
11/10/2023,$14.15,"1,604,557",$14.33,$14.54,$14.105
11/09/2023,$14.10,"2,511,815",$13.69,$14.245,$13.66
11/08/2023,$13.59,"2,330,197",$13.87,$14.065,$13.2901
11/07/2023,$14.01,"2,839,106",$13.96,$14.23,$13.075
11/06/2023,$14.62,"1,497,613",$15.42,$15.48,$14.61
11/03/2023,$15.46,"1,133,707",$15.68,$15.92,$15.40
11/02/2023,$15.61,"803,782",$15.13,$15.61,$15.02
11/01/2023,$15.04,"959,331",$15.50,$15.54,$14.95
10/31/2023,$15.50,"836,749",$15.33,$15.71,$15.23
10/30/2023,$15.33,"775,578",$15.71,$15.84,$15.12
10/27/2023,$15.58,"848,665",$15.58,$15.65,$15.09
10/26/2023,$15.59,"622,281",$15.56,$15.88,$15.35
10/25/2023,$15.72,"704,917",$15.45,$15.76,$15.295
10/24/2023,$15.52,"607,079",$15.76,$15.77,$15.44
10/23/2023,$15.68,"1,140,197",$15.85,$16.19,$15.575
10/20/2023,$16.06,"1,115,435",$16.71,$16.81,$16.035
10/19/2023,$16.65,"2,112,103",$16.00,$16.99,$15.88
10/18/2023,$15.96,"888,013",$15.98,$16.04,$15.80
10/17/2023,$15.84,"1,765,431",$15.69,$16.11,$15.69
10/16/2023,$15.72,"1,113,588",$15.93,$16.035,$15.65
10/13/2023,$15.78,"1,059,254",$16.13,$16.22,$15.765
10/12/2023,$15.84,"798,256",$16.09,$16.09,$15.695
10/11/2023,$15.93,"1,116,483",$15.76,$16.04,$15.54
10/10/2023,$16.02,"3,033,452",$16.08,$16.15,$15.845
10/09/2023,$16.00,"2,417,690",$15.65,$16.16,$15.65
10/06/2023,$15.19,"1,412,902",$14.83,$15.41,$14.76
10/05/2023,$14.87,"1,331,290",$14.69,$15.14,$14.66
10/04/2023,$14.94,"1,028,715",$15.47,$15.47,$14.81
10/03/2023,$15.78,"953,987",$15.45,$15.80,$15.30
10/02/2023,$15.53,"1,404,030",$16.49,$16.49,$15.405
09/29/2023,$16.44,"1,217,901",$16.90,$16.90,$16.285
09/28/2023,$16.88,"1,216,118",$16.80,$17.09,$16.755
09/27/2023,$16.86,"1,345,724",$16.62,$17.00,$16.52
