Date,Close,Volume,Open,High,Low
03/01/2024,$62.13,"1,192,881",$62.38,$62.59,$61.52
02/29/2024,$62.42,"2,331,900",$62.56,$62.98,$62.18
02/28/2024,$62.89,"1,289,197",$62.86,$63.00,$62.44
02/27/2024,$62.76,"1,076,839",$62.69,$63.26,$62.325
02/26/2024,$62.74,"1,029,295",$62.34,$63.20,$62.33
02/23/2024,$62.49,"1,389,541",$62.51,$63.03,$62.195
02/22/2024,$62.66,"1,614,168",$62.00,$62.85,$61.59
02/21/2024,$62.47,"1,360,054",$62.97,$63.335,$62.17
02/20/2024,$62.72,"2,008,732",$62.29,$63.41,$62.15
02/16/2024,$62.15,"1,458,824",$61.86,$62.28,$61.45
02/15/2024,$62.07,"1,538,530",$61.68,$62.425,$61.59
02/14/2024,$61.44,"2,109,378",$61.97,$62.15,$60.69
02/13/2024,$61.29,"4,557,377",$62.50,$62.74,$59.78
02/12/2024,$62.11,"4,091,264",$60.25,$62.13,$60.21
02/09/2024,$60.23,"2,134,045",$60.01,$60.24,$59.37
02/08/2024,$60.26,"2,414,616",$59.73,$60.31,$59.20
02/07/2024,$59.73,"4,186,770",$60.10,$60.48,$58.90
02/06/2024,$61.29,"2,315,419",$61.26,$62.04,$61.17
02/05/2024,$61.28,"1,349,654",$61.42,$61.71,$61.095
02/02/2024,$62.07,"1,359,533",$63.01,$63.12,$61.80
02/01/2024,$63.11,"1,341,963",$61.82,$63.195,$61.74
01/31/2024,$61.79,"1,185,302",$63.14,$63.37,$61.47
01/30/2024,$62.87,"1,211,621",$63.38,$63.57,$62.71
01/29/2024,$63.39,"1,190,398",$62.84,$63.475,$62.32
01/26/2024,$62.74,"1,019,529",$63.15,$63.4999,$62.49
01/25/2024,$62.88,"1,565,525",$61.51,$62.90,$61.37
01/24/2024,$61.11,"1,651,013",$62.59,$62.635,$60.99
01/23/2024,$62.55,"1,119,335",$62.59,$62.89,$62.28
01/22/2024,$62.73,"1,188,796",$62.29,$63.07,$62.26
01/19/2024,$62.49,"1,220,733",$63.07,$63.07,$62.05
01/18/2024,$62.83,"993,175",$63.23,$63.36,$62.425
01/17/2024,$63.26,"1,130,606",$63.05,$63.40,$62.81
01/16/2024,$63.18,"1,083,855",$63.51,$63.71,$62.70
01/12/2024,$63.20,"1,041,912",$63.80,$64.01,$63.125
01/11/2024,$63.70,"1,281,407",$63.31,$63.77,$63.05
01/10/2024,$63.56,"1,738,369",$62.72,$63.67,$62.63
01/09/2024,$62.80,"1,908,050",$62.20,$62.815,$61.855
01/08/2024,$62.30,"1,319,618",$61.51,$62.30,$61.31
01/05/2024,$61.51,"1,669,484",$61.34,$61.9399,$61.00
01/04/2024,$61.31,"1,197,953",$61.97,$62.15,$61.265
