Date,Close,Volume,Open,High,Low
03/01/2024,$10.55,"1,298,019",$10.51,$10.63,$10.35
02/29/2024,$10.72,"1,060,063",$10.98,$11.00,$10.66
02/28/2024,$11.16,"221,990",$11.25,$11.25,$11.12
02/27/2024,$11.26,"336,691",$11.13,$11.26,$11.07
02/26/2024,$11.12,"296,644",$11.24,$11.24,$11.10
02/23/2024,$11.20,"243,990",$11.25,$11.26,$11.16
02/22/2024,$11.20,"246,556",$11.22,$11.24,$11.12
02/21/2024,$11.20,"270,883",$11.31,$11.31,$11.16
02/20/2024,$11.25,"227,127",$11.17,$11.26,$11.12
02/16/2024,$11.17,"188,486",$11.22,$11.25,$11.11
02/15/2024,$11.22,"224,956",$11.12,$11.23,$11.12
02/14/2024,$11.08,"185,254",$11.12,$11.209,$11.00
02/13/2024,$11.04,"398,345",$11.15,$11.17,$11.00
02/12/2024,$11.23,"252,050",$11.11,$11.27,$11.09
02/09/2024,$11.07,"346,499",$11.13,$11.13,$10.95
02/08/2024,$11.07,"222,411",$11.06,$11.14,$11.03
02/07/2024,$11.04,"342,928",$11.04,$11.12,$10.92
02/06/2024,$11.04,"317,909",$11.08,$11.08,$10.98
02/05/2024,$11.11,"385,029",$11.22,$11.23,$10.97
02/02/2024,$11.24,"341,481",$11.31,$11.41,$11.22
02/01/2024,$11.37,"507,549",$11.51,$11.58,$11.22
01/31/2024,$11.48,"286,185",$11.58,$11.60,$11.4746
01/30/2024,$11.61,"214,415",$11.60,$11.67,$11.56
01/29/2024,$11.61,"232,742",$11.74,$11.75,$11.52
01/26/2024,$11.73,"309,788",$11.70,$11.77,$11.68
01/25/2024,$11.71,"214,511",$11.65,$11.73,$11.60
01/24/2024,$11.63,"226,747",$11.70,$11.73,$11.62
01/23/2024,$11.62,"211,793",$11.66,$11.71,$11.56
01/22/2024,$11.64,"200,177",$11.57,$11.66,$11.565
01/19/2024,$11.57,"183,821",$11.55,$11.61,$11.43
01/18/2024,$11.54,"167,911",$11.55,$11.58,$11.42
01/17/2024,$11.55,"324,020",$11.36,$11.55,$11.36
01/16/2024,$11.41,"525,908",$11.60,$11.64,$11.38
01/12/2024,$11.63,"236,149",$11.56,$11.67,$11.56
01/11/2024,$11.60,"717,580",$11.99,$11.99,$11.53
01/10/2024,$11.99,"216,179",$11.82,$11.99,$11.82
01/09/2024,$11.85,"322,999",$11.81,$11.96,$11.80
01/08/2024,$11.84,"368,230",$11.82,$11.97,$11.80
01/05/2024,$11.88,"474,657",$11.92,$11.95,$11.77
01/04/2024,$11.89,"880,140",$11.44,$11.94,$11.44
01/03/2024,$11.375,"1,346,213",$11.58,$11.60,$11.36
01/02/2024,$11.60,"369,422",$11.50,$11.65,$11.4584
12/29/2023,$11.54,"484,845",$11.72,$11.73,$11.52
12/28/2023,$11.65,"385,261",$11.55,$11.67,$11.55
12/27/2023,$11.57,"341,743",$11.53,$11.70,$11.48
12/26/2023,$11.55,"371,309",$11.48,$11.61,$11.48
12/22/2023,$11.51,"255,199",$11.55,$11.6333,$11.49
12/21/2023,$11.50,"455,557",$11.58,$11.58,$11.38
12/20/2023,$11.56,"372,986",$11.62,$11.7699,$11.56
12/19/2023,$11.68,"439,914",$11.60,$11.72,$11.58
12/18/2023,$11.57,"742,623",$11.71,$11.71,$11.51
12/15/2023,$11.71,"1,297,195",$11.93,$11.93,$11.66
12/14/2023,$11.88,"787,656",$11.90,$12.035,$11.834
12/13/2023,$12.41,"659,368",$12.35,$12.43,$12.11
12/12/2023,$12.30,"481,777",$12.29,$12.30,$12.1801
12/11/2023,$12.19,"637,521",$12.28,$12.3427,$12.17
12/08/2023,$12.13,"321,365",$12.10,$12.18,$12.09
12/07/2023,$12.14,"285,787",$11.97,$12.145,$11.92
12/06/2023,$11.95,"260,250",$12.00,$12.06,$11.872
12/05/2023,$11.98,"225,034",$11.96,$11.99,$11.86
12/04/2023,$11.95,"331,885",$12.02,$12.09,$11.92
12/01/2023,$12.03,"371,771",$11.92,$12.03,$11.84
11/30/2023,$11.90,"226,220",$11.90,$11.92,$11.85
11/29/2023,$11.86,"251,689",$11.95,$11.96,$11.84
11/28/2023,$11.89,"285,575",$11.91,$11.92,$11.825
11/27/2023,$11.88,"214,419",$11.86,$11.905,$11.841
11/24/2023,$11.86,"162,141",$11.87,$11.9289,$11.85
