Date,Close,Volume,Open,High,Low
03/01/2024,$15.00,"4,469,811",$15.06,$15.27,$14.79
02/29/2024,$15.08,"6,273,047",$15.39,$15.64,$14.93
02/28/2024,$15.09,"6,338,199",$15.00,$15.275,$14.87
02/27/2024,$15.16,"7,603,314",$14.93,$15.2371,$14.69
02/26/2024,$14.79,"7,650,292",$14.44,$14.98,$14.36
02/23/2024,$14.50,"12,150,520",$15.10,$15.2322,$14.40
02/22/2024,$15.21,"11,293,070",$15.72,$15.72,$15.14
02/21/2024,$15.64,"29,938,550",$16.75,$16.82,$15.16
02/20/2024,$20.49,"8,128,602",$20.69,$20.875,$20.22
02/16/2024,$21.03,"4,357,598",$21.25,$21.545,$21.005
02/15/2024,$21.61,"3,603,157",$21.02,$21.74,$20.88
02/14/2024,$20.66,"2,691,783",$20.25,$20.87,$20.03
02/13/2024,$19.91,"4,256,871",$20.16,$20.265,$19.6301
02/12/2024,$21.10,"2,744,179",$20.61,$21.45,$20.56
02/09/2024,$20.60,"2,639,345",$20.33,$20.74,$20.08
02/08/2024,$20.38,"2,136,814",$19.93,$20.43,$19.695
02/07/2024,$20.01,"2,189,853",$20.18,$20.231,$19.70
02/06/2024,$20.07,"2,610,768",$19.02,$20.09,$18.90
02/05/2024,$18.99,"2,685,534",$19.54,$19.54,$18.59
02/02/2024,$19.79,"3,036,096",$19.53,$19.915,$19.04
02/01/2024,$19.84,"2,858,246",$19.39,$19.88,$19.35
01/31/2024,$19.43,"4,298,491",$19.67,$20.4113,$19.35
01/30/2024,$19.74,"3,071,163",$20.35,$20.36,$19.71
01/29/2024,$20.59,"2,903,584",$20.21,$20.76,$19.87
01/26/2024,$20.21,"2,379,615",$20.54,$20.88,$20.13
01/25/2024,$20.35,"2,739,293",$20.42,$20.65,$20.02
01/24/2024,$20.19,"3,850,847",$21.04,$21.19,$20.12
01/23/2024,$20.74,"3,269,048",$21.20,$21.41,$20.365
01/22/2024,$20.94,"5,161,890",$20.54,$21.41,$20.39
01/19/2024,$20.24,"4,832,891",$19.92,$20.385,$19.50
01/18/2024,$19.85,"3,601,919",$19.54,$19.87,$19.17
01/17/2024,$19.44,"3,889,437",$19.455,$19.70,$19.085
01/16/2024,$20.19,"4,042,540",$20.48,$20.59,$19.97
01/12/2024,$20.87,"3,554,348",$20.85,$21.37,$20.60
01/11/2024,$20.81,"4,978,639",$21.62,$21.79,$20.52
01/10/2024,$21.80,"3,810,653",$21.74,$22.08,$21.02
01/09/2024,$21.81,"2,736,627",$21.86,$22.155,$21.705
01/08/2024,$22.03,"4,060,871",$21.20,$22.14,$20.9347
01/05/2024,$21.40,"3,748,460",$21.15,$21.57,$20.86
01/04/2024,$21.36,"3,516,685",$21.05,$21.5589,$20.71
01/03/2024,$21.24,"5,921,980",$21.67,$21.725,$20.9109
01/02/2024,$21.93,"4,147,455",$21.25,$22.54,$21.03
12/29/2023,$21.55,"3,758,914",$22.05,$22.34,$21.45
12/28/2023,$22.10,"2,902,794",$21.97,$22.26,$21.90
12/27/2023,$22.07,"3,192,501",$22.00,$22.15,$21.83
12/26/2023,$21.85,"3,220,899",$21.57,$22.03,$21.41
12/22/2023,$21.50,"3,589,412",$21.28,$21.60,$20.965
12/21/2023,$21.28,"3,278,090",$20.82,$21.325,$20.74
12/20/2023,$20.50,"4,764,936",$21.41,$21.82,$20.47
12/19/2023,$21.58,"5,326,227",$20.65,$21.71,$20.65
12/18/2023,$20.40,"3,618,720",$20.36,$20.74,$20.19
12/15/2023,$20.52,"6,891,126",$21.39,$21.475,$20.36
12/14/2023,$21.25,"8,125,189",$20.89,$21.88,$20.89
12/13/2023,$20.12,"5,373,423",$19.10,$20.14,$18.52
12/12/2023,$19.10,"4,109,363",$19.02,$19.19,$18.53
12/11/2023,$19.02,"3,089,643",$19.09,$19.16,$18.645
12/08/2023,$19.21,"4,203,202",$19.00,$19.63,$18.78
12/07/2023,$19.20,"3,173,733",$18.84,$19.22,$18.62
12/06/2023,$18.96,"5,037,234",$18.74,$19.645,$18.722
12/05/2023,$18.51,"4,837,907",$18.77,$18.88,$18.285
12/04/2023,$19.03,"4,276,164",$18.75,$19.1679,$18.61
12/01/2023,$18.97,"5,773,481",$18.16,$19.07,$17.92
11/30/2023,$18.14,"5,022,507",$18.44,$18.62,$17.94
11/29/2023,$18.37,"7,770,091",$18.35,$19.315,$18.31
11/28/2023,$18.08,"7,118,385",$17.08,$18.22,$16.96
11/27/2023,$17.21,"3,881,939",$17.23,$17.275,$16.92
11/24/2023,$17.35,"1,738,724",$17.20,$17.465,$17.11
11/22/2023,$17.05,"3,047,911",$17.15,$17.35,$16.93
11/21/2023,$16.92,"3,047,226",$17.22,$17.26,$16.84
11/20/2023,$17.47,"4,124,833",$17.12,$17.725,$16.96
11/17/2023,$17.17,"3,438,812",$17.07,$17.18,$16.81
11/16/2023,$16.92,"3,757,625",$17.35,$17.45,$16.66
11/15/2023,$17.53,"4,888,054",$17.10,$17.82,$17.10
11/14/2023,$17.05,"5,484,753",$16.33,$17.18,$16.33
11/13/2023,$15.66,"3,450,232",$15.91,$16.06,$15.63
11/10/2023,$15.95,"3,667,243",$15.58,$16.00,$15.48
11/09/2023,$15.66,"4,455,196",$16.29,$16.49,$15.59
11/08/2023,$16.20,"4,767,764",$16.63,$16.835,$16.19
11/07/2023,$16.96,"2,646,414",$16.81,$17.10,$16.50
11/06/2023,$16.83,"4,265,515",$17.44,$17.48,$16.475
11/03/2023,$17.38,"6,963,837",$17.22,$17.9799,$17.18
11/02/2023,$16.93,"6,481,950",$17.10,$17.235,$16.5701
11/01/2023,$16.65,"4,493,380",$16.49,$16.72,$16.105
10/31/2023,$16.54,"5,285,147",$16.34,$16.73,$16.20
10/30/2023,$16.15,"8,823,509",$15.73,$16.25,$15.02
10/27/2023,$15.57,"5,782,604",$16.26,$16.38,$15.51
10/26/2023,$16.09,"8,796,763",$17.43,$17.63,$16.02
10/25/2023,$17.41,"12,249,720",$16.90,$17.68,$16.55
