Date,Close,Volume,Open,High,Low
03/01/2024,$0.7673,"31,883,300",$0.7795,$0.7898,$0.7136
02/29/2024,$0.7939,"39,729,770",$0.7558,$0.8246,$0.7515
02/28/2024,$0.7402,"21,303,070",$0.75,$0.77,$0.718
02/27/2024,$0.7465,"51,119,740",$0.7158,$0.76,$0.70
02/26/2024,$0.7051,"61,061,160",$0.74,$0.7535,$0.63
02/23/2024,$0.7401,"41,210,790",$0.6946,$0.7639,$0.6499
02/22/2024,$0.7311,"45,034,430",$0.835,$0.835,$0.67
02/21/2024,$0.8501,"27,699,050",$0.7895,$0.857,$0.7521
02/20/2024,$0.8127,"30,732,650",$0.8818,$0.8818,$0.7602
02/16/2024,$0.8915,"66,112,790",$0.87,$0.9137,$0.765
02/15/2024,$0.8205,"54,993,770",$0.72,$0.8205,$0.709
02/14/2024,$0.7028,"50,169,760",$0.65,$0.7448,$0.6284
02/13/2024,$0.6284,"21,317,620",$0.5939,$0.6377,$0.5325
02/12/2024,$0.6204,"21,690,870",$0.67,$0.672,$0.5904
02/09/2024,$0.6478,"35,339,920",$0.5751,$0.66,$0.555
02/08/2024,$0.5469,"30,768,020",$0.4932,$0.5621,$0.49
02/07/2024,$0.4921,"36,150,460",$0.52,$0.53,$0.438
02/06/2024,$0.4774,"84,054,060",$0.3679,$0.4979,$0.3669
02/05/2024,$0.3601,"44,328,740",$0.4384,$0.4397,$0.3552
02/02/2024,$0.4221,"32,364,930",$0.47,$0.4732,$0.415
02/01/2024,$0.4648,"47,082,560",$0.5156,$0.5325,$0.4511
01/31/2024,$0.501,"20,834,870",$0.5575,$0.5589,$0.501
01/30/2024,$0.5573,"19,835,190",$0.5624,$0.5736,$0.548
01/29/2024,$0.5725,"24,572,490",$0.565,$0.5748,$0.5163
01/26/2024,$0.55,"34,973,860",$0.5567,$0.6301,$0.533
01/25/2024,$0.5202,"19,374,200",$0.5203,$0.5341,$0.50
01/24/2024,$0.5108,"29,633,060",$0.5619,$0.562,$0.502
01/23/2024,$0.551,"17,587,870",$0.5998,$0.6078,$0.5403
01/22/2024,$0.5945,"30,677,040",$0.56,$0.5961,$0.5534
01/19/2024,$0.55,"22,547,800",$0.5527,$0.5575,$0.52
01/18/2024,$0.5472,"30,177,670",$0.5821,$0.5822,$0.5201
01/17/2024,$0.5675,"38,314,990",$0.6707,$0.6759,$0.5233
01/16/2024,$0.6707,"19,659,600",$0.6656,$0.6988,$0.648
01/12/2024,$0.6794,"19,763,740",$0.6899,$0.6899,$0.6412
01/11/2024,$0.6666,"20,805,320",$0.6529,$0.6696,$0.617
01/10/2024,$0.6608,"33,635,490",$0.6674,$0.68,$0.6312
01/09/2024,$0.6727,"16,428,600",$0.7149,$0.72,$0.67
01/08/2024,$0.719,"24,680,840",$0.7357,$0.7617,$0.685
01/05/2024,$0.7513,"23,848,280",$0.7176,$0.7625,$0.6911
01/04/2024,$0.7141,"33,529,560",$0.72,$0.7249,$0.6601
01/03/2024,$0.7089,"26,744,580",$0.74,$0.7401,$0.691
01/02/2024,$0.7469,"48,485,500",$0.784,$0.80,$0.70
12/29/2023,$0.7556,"59,194,380",$0.895,$0.9104,$0.7301
12/28/2023,$0.8792,"44,399,370",$0.9868,$1.05,$0.8501
12/27/2023,$0.9485,"42,669,530",$0.891,$0.975,$0.8761
12/26/2023,$0.8819,"39,634,490",$0.8468,$0.9221,$0.8401
12/22/2023,$0.8391,"36,752,150",$0.7617,$0.841,$0.7537
12/21/2023,$0.7697,"32,056,280",$0.7418,$0.7697,$0.73
12/20/2023,$0.732,"52,991,190",$0.749,$0.78,$0.7002
12/19/2023,$0.743,"38,093,860",$0.7413,$0.755,$0.7155
12/18/2023,$0.7356,"60,082,930",$0.6952,$0.7624,$0.685
12/15/2023,$0.6801,"77,763,250",$0.6771,$0.69,$0.6365
12/14/2023,$0.6715,"35,109,810",$0.6364,$0.70,$0.63
12/13/2023,$0.649,"46,951,380",$0.6096,$0.6661,$0.5607
12/12/2023,$0.6017,"44,564,170",$0.62,$0.62,$0.5416
12/11/2023,$0.5951,"83,630,630",$0.7895,$0.8295,$0.57
12/08/2023,$0.7461,"51,009,630",$0.6517,$0.7592,$0.625
12/07/2023,$0.6641,"43,022,840",$0.5608,$0.6797,$0.54
12/06/2023,$0.5696,"41,527,520",$0.6108,$0.6193,$0.5656
12/05/2023,$0.6147,"23,472,620",$0.6275,$0.6276,$0.5917
12/04/2023,$0.6281,"50,995,860",$0.662,$0.662,$0.5801
12/01/2023,$0.65,"42,192,700",$0.609,$0.659,$0.598
11/30/2023,$0.609,"24,731,320",$0.5751,$0.61,$0.553
11/29/2023,$0.5683,"32,186,370",$0.5176,$0.58,$0.5119
11/28/2023,$0.5082,"31,064,420",$0.5084,$0.5193,$0.4922
11/27/2023,$0.4954,"38,266,830",$0.5195,$0.5222,$0.4954
11/24/2023,$0.5282,"29,774,320",$0.5168,$0.534,$0.513
11/22/2023,$0.5223,"43,755,980",$0.5196,$0.5254,$0.4831
11/21/2023,$0.5086,"48,113,660",$0.5365,$0.5399,$0.4966
11/20/2023,$0.53,"59,682,030",$0.5468,$0.5598,$0.5252
11/17/2023,$0.5386,"33,653,790",$0.5521,$0.555,$0.5283
11/16/2023,$0.5466,"38,855,360",$0.5948,$0.603,$0.5315
11/15/2023,$0.60,"42,379,740",$0.5949,$0.648,$0.5811
11/14/2023,$0.5987,"39,984,360",$0.5589,$0.605,$0.551
11/13/2023,$0.5616,"34,938,620",$0.5349,$0.5663,$0.5204
11/10/2023,$0.5243,"29,089,790",$0.5634,$0.58,$0.51
11/09/2023,$0.5521,"22,386,720",$0.563,$0.613,$0.5417
11/08/2023,$0.5501,"31,927,050",$0.5892,$0.5992,$0.55
11/07/2023,$0.6177,"65,686,480",$0.522,$0.64,$0.50
11/06/2023,$0.511,"50,904,140",$0.60,$0.608,$0.5015
11/03/2023,$0.6057,"79,025,340",$0.755,$0.766,$0.49
11/02/2023,$0.7484,"15,771,810",$0.70,$0.7556,$0.6712
11/01/2023,$0.7049,"26,979,800",$0.7005,$0.7399,$0.671
10/31/2023,$0.69,"15,102,170",$0.6644,$0.695,$0.6502
10/30/2023,$0.6568,"24,592,110",$0.6501,$0.698,$0.63
10/27/2023,$0.6501,"21,691,330",$0.6408,$0.676,$0.6407
10/26/2023,$0.6337,"38,408,100",$0.67,$0.6701,$0.5931
10/25/2023,$0.6628,"21,810,220",$0.65,$0.6795,$0.64
10/24/2023,$0.6361,"34,751,760",$0.7174,$0.7224,$0.6298
10/23/2023,$0.7091,"27,008,790",$0.766,$0.766,$0.695
10/20/2023,$0.7455,"32,748,130",$0.72,$0.8105,$0.71
10/19/2023,$0.6993,"32,697,050",$0.7502,$0.77,$0.67
10/18/2023,$0.7413,"22,453,330",$0.77,$0.77,$0.7301
10/17/2023,$0.7568,"39,382,430",$0.7638,$0.815,$0.70
10/16/2023,$0.7679,"39,012,700",$0.88,$0.88,$0.74
10/13/2023,$0.883,"29,255,750",$0.91,$0.918,$0.86
10/12/2023,$0.8996,"34,007,460",$0.99,$1.00,$0.85
10/11/2023,$0.9924,"16,218,750",$1.04,$1.04,$0.98
10/10/2023,$1.04,"6,788,885",$1.06,$1.07,$1.02
10/09/2023,$1.06,"6,665,652",$1.02,$1.07,$1.02
10/06/2023,$1.02,"9,889,036",$1.03,$1.04,$0.9904
10/05/2023,$1.03,"8,513,632",$1.01,$1.07,$1.01
10/04/2023,$1.00,"11,416,330",$1.07,$1.07,$1.00
10/03/2023,$1.05,"6,872,919",$1.06,$1.07,$1.03
10/02/2023,$1.06,"11,721,610",$1.16,$1.16,$1.06
09/29/2023,$1.16,"4,528,411",$1.19,$1.19,$1.15
09/28/2023,$1.16,"5,097,485",$1.18,$1.21,$1.16
09/27/2023,$1.18,"4,945,144",$1.12,$1.18,$1.12
09/26/2023,$1.12,"5,696,880",$1.15,$1.165,$1.12
09/25/2023,$1.16,"7,620,417",$1.11,$1.16,$1.09
09/22/2023,$1.11,"5,002,505",$1.10,$1.14,$1.10
09/21/2023,$1.09,"6,718,695",$1.13,$1.1499,$1.09
09/20/2023,$1.12,"8,592,711",$1.18,$1.185,$1.11
09/19/2023,$1.20,"3,756,797",$1.22,$1.22,$1.18
09/18/2023,$1.21,"6,544,201",$1.27,$1.28,$1.17
09/15/2023,$1.30,"16,971,700",$1.27,$1.30,$1.25
09/14/2023,$1.29,"7,532,026",$1.25,$1.30,$1.24
09/13/2023,$1.22,"4,926,240",$1.27,$1.275,$1.22
09/12/2023,$1.28,"5,210,784",$1.20,$1.29,$1.20
09/11/2023,$1.22,"8,700,100",$1.30,$1.30,$1.21
09/08/2023,$1.29,"8,642,478",$1.32,$1.32,$1.25
09/07/2023,$1.30,"11,268,470",$1.25,$1.31,$1.21
09/06/2023,$1.25,"12,923,390",$1.19,$1.26,$1.15
09/05/2023,$1.14,"10,495,300",$1.13,$1.15,$1.065
09/01/2023,$1.14,"5,903,675",$1.13,$1.195,$1.13
08/31/2023,$1.12,"6,079,319",$1.17,$1.18,$1.12
08/30/2023,$1.17,"3,774,972",$1.19,$1.19,$1.16
08/29/2023,$1.19,"5,630,887",$1.15,$1.19,$1.12
08/28/2023,$1.15,"5,614,852",$1.22,$1.24,$1.14
08/25/2023,$1.17,"9,022,167",$1.10,$1.19,$1.08
08/24/2023,$1.10,"9,128,045",$1.19,$1.19,$1.09
08/23/2023,$1.16,"8,832,820",$1.22,$1.22,$1.16
08/22/2023,$1.21,"8,681,327",$1.32,$1.32,$1.21
08/21/2023,$1.31,"6,169,072",$1.27,$1.34,$1.27
08/18/2023,$1.27,"6,760,279",$1.25,$1.30,$1.23
08/17/2023,$1.28,"8,885,639",$1.30,$1.32,$1.215
08/16/2023,$1.28,"4,756,478",$1.29,$1.33,$1.28
08/15/2023,$1.31,"9,597,685",$1.35,$1.37,$1.28
08/14/2023,$1.38,"7,810,735",$1.43,$1.46,$1.38
08/11/2023,$1.46,"10,150,770",$1.50,$1.52,$1.45
08/10/2023,$1.48,"9,441,865",$1.53,$1.54,$1.45
08/09/2023,$1.55,"7,189,121",$1.56,$1.631,$1.53
08/08/2023,$1.53,"12,170,260",$1.50,$1.53,$1.38
08/07/2023,$1.56,"11,689,540",$1.63,$1.635,$1.515
08/04/2023,$1.66,"6,428,608",$1.65,$1.71,$1.64
08/03/2023,$1.69,"6,700,272",$1.61,$1.72,$1.59
08/02/2023,$1.62,"5,217,479",$1.65,$1.65,$1.59
08/01/2023,$1.65,"5,879,969",$1.70,$1.70,$1.63
07/31/2023,$1.72,"7,223,930",$1.68,$1.72,$1.63
07/28/2023,$1.63,"7,587,357",$1.56,$1.63,$1.56
07/27/2023,$1.52,"9,585,006",$1.61,$1.645,$1.51
07/26/2023,$1.60,"6,919,991",$1.60,$1.66,$1.56
07/25/2023,$1.61,"6,862,624",$1.60,$1.65,$1.55
07/24/2023,$1.62,"7,237,208",$1.61,$1.67,$1.575
07/21/2023,$1.56,"8,030,650",$1.60,$1.61,$1.50
07/20/2023,$1.59,"7,588,023",$1.70,$1.71,$1.57
07/19/2023,$1.66,"17,751,600",$1.65,$1.755,$1.61
07/18/2023,$1.59,"9,777,515",$1.50,$1.61,$1.495
07/17/2023,$1.51,"9,863,347",$1.43,$1.57,$1.405
07/14/2023,$1.39,"8,297,951",$1.49,$1.49,$1.38
07/13/2023,$1.49,"8,291,278",$1.48,$1.55,$1.45
07/12/2023,$1.46,"12,223,180",$1.60,$1.61,$1.44
07/11/2023,$1.57,"13,983,030",$1.50,$1.62,$1.48
07/10/2023,$1.47,"6,283,102",$1.44,$1.49,$1.405
07/07/2023,$1.43,"11,926,380",$1.32,$1.45,$1.31
07/06/2023,$1.30,"7,259,536",$1.35,$1.39,$1.30
07/05/2023,$1.35,"6,858,449",$1.35,$1.36,$1.30
07/03/2023,$1.36,"5,119,864",$1.41,$1.435,$1.34
06/30/2023,$1.41,"6,414,734",$1.41,$1.43,$1.36
06/29/2023,$1.41,"6,270,692",$1.35,$1.42,$1.33
06/28/2023,$1.35,"8,059,979",$1.29,$1.37,$1.28
06/27/2023,$1.30,"4,616,881",$1.31,$1.31,$1.27
06/26/2023,$1.30,"5,030,029",$1.33,$1.35,$1.29
06/23/2023,$1.32,"25,398,550",$1.35,$1.36,$1.30
06/22/2023,$1.38,"8,493,015",$1.30,$1.39,$1.29
06/21/2023,$1.33,"5,084,853",$1.37,$1.41,$1.33
06/20/2023,$1.40,"11,235,750",$1.38,$1.43,$1.33
06/16/2023,$1.38,"39,414,870",$1.34,$1.39,$1.27
06/15/2023,$1.34,"13,382,870",$1.22,$1.34,$1.21
06/14/2023,$1.22,"8,808,795",$1.26,$1.26,$1.20
06/13/2023,$1.24,"7,892,587",$1.21,$1.27,$1.19
06/12/2023,$1.20,"10,613,890",$1.25,$1.26,$1.18
06/09/2023,$1.27,"9,384,147",$1.26,$1.28,$1.21
06/08/2023,$1.28,"5,907,574",$1.32,$1.33,$1.269
06/07/2023,$1.34,"12,449,240",$1.23,$1.34,$1.225
06/06/2023,$1.24,"8,328,091",$1.21,$1.27,$1.16
06/05/2023,$1.22,"6,012,291",$1.30,$1.3199,$1.20
06/02/2023,$1.29,"8,023,309",$1.26,$1.29,$1.23
06/01/2023,$1.22,"5,504,499",$1.21,$1.26,$1.21
05/31/2023,$1.21,"7,900,094",$1.20,$1.23,$1.16
05/30/2023,$1.21,"11,413,880",$1.28,$1.29,$1.16
05/26/2023,$1.27,"4,823,373",$1.32,$1.32,$1.26
05/25/2023,$1.27,"6,576,146",$1.35,$1.355,$1.27
05/24/2023,$1.35,"5,689,334",$1.39,$1.4298,$1.33
05/23/2023,$1.42,"7,389,423",$1.38,$1.45,$1.36
05/22/2023,$1.41,"8,583,207",$1.33,$1.42,$1.27
05/19/2023,$1.33,"5,769,265",$1.34,$1.37,$1.30
05/18/2023,$1.32,"6,272,278",$1.26,$1.32,$1.22
05/17/2023,$1.25,"8,205,162",$1.25,$1.29,$1.19
05/16/2023,$1.25,"9,478,852",$1.34,$1.3591,$1.22
05/15/2023,$1.34,"12,139,510",$1.29,$1.40,$1.28
05/12/2023,$1.25,"6,475,055",$1.24,$1.27,$1.22
