Date,Close,Volume,Open,High,Low
03/01/2024,$11.98,"11,026",$11.894,$12.09,$11.815
02/29/2024,$11.92,"14,296",$11.92,$11.932,$11.6113
02/28/2024,$11.90,"14,835",$11.75,$12.02,$11.74
02/27/2024,$11.78,"13,476",$11.88,$11.94,$11.7342
02/26/2024,$11.95,"45,991",$11.72,$12.1297,$11.41
02/23/2024,$11.71,"9,925",$11.80,$11.97,$11.57
02/22/2024,$11.78,"13,781",$11.75,$12.105,$11.68
02/21/2024,$11.75,"18,884",$11.58,$11.75,$11.49
02/20/2024,$11.83,"25,748",$12.09,$12.22,$11.33
02/16/2024,$11.76,"37,608",$11.60,$12.38,$11.54
02/15/2024,$11.6747,"15,000",$11.44,$11.73,$11.37
02/14/2024,$11.50,"34,597",$11.38,$11.67,$11.25
02/13/2024,$11.35,"29,065",$11.57,$11.69,$11.35
02/12/2024,$11.73,"9,438",$11.58,$11.85,$11.54
02/09/2024,$11.60,"9,952",$11.67,$11.77,$11.59
02/08/2024,$11.66,"16,316",$11.50,$11.81,$11.39
02/07/2024,$11.52,"15,820",$11.73,$11.73,$11.21
02/06/2024,$11.80,"12,439",$11.77,$11.96,$11.65
02/05/2024,$11.77,"11,529",$11.54,$11.87,$11.26
02/02/2024,$11.74,"13,514",$11.65,$11.75,$11.184
02/01/2024,$11.75,"11,383",$11.91,$11.91,$11.5384
01/31/2024,$11.80,"14,895",$11.60,$11.82,$11.59
01/30/2024,$11.70,"48,007",$11.75,$11.75,$11.12
01/29/2024,$11.86,"25,376",$11.94,$12.00,$11.5806
01/26/2024,$11.94,"22,065",$11.84,$11.94,$11.60
01/25/2024,$11.70,"40,872",$11.85,$11.85,$11.4601
01/24/2024,$11.93,"161,108",$11.01,$12.43,$11.01
01/23/2024,$10.68,"43,091",$10.93,$11.1899,$10.60
01/22/2024,$10.93,"88,071",$9.69,$10.99,$9.58
01/19/2024,$9.57,"40,326",$9.60,$9.70,$9.20
01/18/2024,$9.60,"105,412",$9.20,$9.92,$8.9996
01/17/2024,$9.015,"308,571",$7.65,$9.20,$7.60
01/16/2024,$7.44,"41,001",$7.52,$7.63,$7.35
01/12/2024,$7.59,"6,971",$7.535,$7.63,$7.46
01/11/2024,$7.38,"38,157",$7.5501,$7.7735,$7.34
01/10/2024,$7.63,"47,249",$7.80,$7.855,$7.55
01/09/2024,$7.70,"31,955",$7.793,$7.9299,$7.68
01/08/2024,$7.68,"51,312",$7.57,$7.8199,$7.46
01/05/2024,$7.71,"28,986",$7.59,$7.75,$7.59
01/04/2024,$7.68,"27,174",$7.35,$7.74,$7.35
01/03/2024,$7.59,"26,707",$7.77,$7.77,$7.465
01/02/2024,$7.77,"60,697",$7.28,$7.85,$7.28
12/29/2023,$7.62,"58,668",$7.67,$7.77,$7.52
