Date,Close,Volume,Open,High,Low
03/01/2024,$127.60,"254,041",$127.84,$129.3367,$126.03
02/29/2024,$128.01,"288,702",$129.22,$130.25,$126.04
02/28/2024,$128.16,"244,838",$130.59,$132.6219,$128.10
02/27/2024,$131.20,"232,009",$130.00,$131.25,$129.43
02/26/2024,$129.50,"322,966",$128.12,$130.675,$127.76
02/23/2024,$128.36,"269,796",$125.00,$128.45,$124.72
02/22/2024,$124.60,"289,330",$123.03,$125.65,$123.03
02/21/2024,$123.42,"310,769",$122.63,$123.64,$120.40
02/20/2024,$123.24,"484,345",$125.66,$125.66,$121.50
02/16/2024,$127.18,"812,775",$118.11,$130.72,$114.63
02/15/2024,$117.34,"438,351",$113.06,$117.43,$113.06
02/14/2024,$113.15,"310,761",$112.88,$113.44,$111.70
02/13/2024,$111.68,"274,450",$111.45,$112.68,$111.14
02/12/2024,$113.66,"189,119",$112.99,$113.82,$112.94
02/09/2024,$112.63,"268,648",$112.72,$113.39,$110.77
02/08/2024,$112.04,"428,566",$114.35,$114.35,$109.528
02/07/2024,$114.67,"190,533",$116.31,$116.31,$114.34
02/06/2024,$115.99,"127,671",$114.79,$116.22,$114.79
02/05/2024,$114.97,"201,241",$114.22,$115.29,$113.44
02/02/2024,$114.92,"364,140",$113.95,$115.51,$113.17
02/01/2024,$114.97,"216,414",$114.50,$115.495,$113.1506
01/31/2024,$113.70,"191,475",$115.77,$116.73,$113.51
01/30/2024,$115.72,"145,783",$115.88,$116.745,$115.49
01/29/2024,$116.26,"177,893",$115.47,$116.685,$115.245
01/26/2024,$115.49,"143,095",$115.47,$116.515,$114.65
01/25/2024,$114.91,"174,314",$117.43,$117.43,$114.55
01/24/2024,$116.18,"154,644",$118.36,$118.36,$115.8687
01/23/2024,$117.08,"205,131",$117.33,$117.91,$116.47
01/22/2024,$116.29,"166,830",$117.45,$117.62,$115.84
01/19/2024,$116.30,"191,116",$115.33,$117.035,$114.70
01/18/2024,$114.88,"251,487",$117.58,$117.58,$114.17
01/17/2024,$117.71,"179,552",$114.82,$117.97,$114.82
01/16/2024,$115.68,"210,959",$114.02,$115.79,$113.04
01/12/2024,$114.91,"329,804",$117.59,$118.36,$114.23
01/11/2024,$117.11,"241,111",$117.42,$117.53,$115.25
01/10/2024,$117.46,"226,840",$118.52,$118.80,$116.66
01/09/2024,$118.05,"208,207",$118.72,$119.34,$117.65
01/08/2024,$119.79,"245,712",$115.39,$120.01,$114.67
01/05/2024,$114.70,"224,779",$116.33,$117.33,$114.59
01/04/2024,$116.88,"220,804",$115.33,$116.95,$115.26
01/03/2024,$115.68,"173,586",$117.17,$117.17,$115.30
01/02/2024,$117.86,"164,822",$118.00,$118.67,$116.17
12/29/2023,$118.93,"116,002",$118.75,$119.715,$118.72
12/28/2023,$119.10,"127,430",$119.27,$120.178,$118.56
12/27/2023,$119.39,"112,160",$119.51,$120.025,$118.77
12/26/2023,$120.02,"131,380",$119.10,$120.135,$118.0701
12/22/2023,$118.73,"205,500",$119.73,$119.99,$118.67
12/21/2023,$119.69,"186,636",$120.56,$120.56,$118.80
12/20/2023,$120.10,"158,407",$121.48,$122.79,$119.925
12/19/2023,$121.54,"262,765",$122.50,$123.14,$120.40
12/18/2023,$121.78,"257,548",$121.34,$123.01,$119.61
12/15/2023,$120.35,"1,182,442",$121.85,$122.5675,$119.72
12/14/2023,$121.47,"357,003",$122.36,$123.665,$119.21
12/13/2023,$121.18,"308,457",$120.93,$123.03,$119.02
12/12/2023,$120.71,"208,579",$117.48,$120.73,$117.06
12/11/2023,$117.32,"250,168",$115.20,$117.38,$115.20
12/08/2023,$114.74,"231,540",$114.54,$115.38,$114.36
12/07/2023,$114.61,"196,383",$115.05,$115.56,$114.37
12/06/2023,$115.10,"197,928",$116.80,$117.47,$114.92
12/05/2023,$116.32,"181,881",$118.09,$118.31,$116.29
12/04/2023,$118.30,"290,365",$117.16,$118.68,$116.97
12/01/2023,$118.19,"258,606",$115.58,$118.45,$115.58
11/30/2023,$115.93,"252,943",$114.21,$116.08,$113.40
11/29/2023,$113.93,"208,265",$115.48,$116.42,$113.40
11/28/2023,$114.74,"383,013",$114.10,$115.735,$113.895
11/27/2023,$114.29,"253,918",$112.05,$114.79,$112.05
11/24/2023,$112.86,"134,190",$112.42,$113.465,$111.09
11/22/2023,$112.95,"155,034",$111.48,$113.19,$111.48
11/21/2023,$111.03,"185,394",$110.40,$111.75,$110.21
11/20/2023,$111.16,"290,761",$110.17,$111.41,$108.73
11/17/2023,$112.50,"227,878",$110.25,$112.58,$109.96
11/16/2023,$109.77,"318,457",$112.56,$112.58,$109.70
11/15/2023,$112.46,"282,765",$112.55,$113.87,$112.19
11/14/2023,$112.79,"257,028",$112.31,$113.67,$111.43
11/13/2023,$109.85,"246,333",$108.40,$110.18,$108.40
11/10/2023,$108.99,"229,534",$107.96,$109.04,$106.94
11/09/2023,$107.67,"262,238",$106.48,$108.52,$105.148
11/08/2023,$105.49,"285,162",$105.66,$106.055,$104.44
11/07/2023,$106.02,"342,577",$103.82,$106.55,$102.79
11/06/2023,$103.84,"255,301",$103.94,$104.82,$103.185
11/03/2023,$104.23,"238,024",$104.74,$105.53,$103.51
11/02/2023,$102.91,"301,224",$102.80,$103.94,$101.62
11/01/2023,$101.62,"501,298",$101.19,$101.89,$99.50
10/31/2023,$102.75,"432,518",$103.36,$104.95,$102.52
10/30/2023,$102.87,"328,420",$105.33,$106.4683,$102.56
10/27/2023,$104.24,"419,731",$109.78,$110.025,$103.15
10/26/2023,$109.99,"369,879",$110.65,$113.1646,$109.2406
10/25/2023,$108.92,"296,065",$111.72,$111.813,$107.635
10/24/2023,$112.93,"300,560",$113.00,$114.59,$112.80
10/23/2023,$112.34,"350,933",$113.37,$115.01,$112.21
10/20/2023,$113.38,"399,344",$114.93,$115.14,$112.18
10/19/2023,$115.07,"212,328",$116.73,$117.00,$114.79
10/18/2023,$117.29,"201,404",$119.15,$119.2889,$116.99
10/17/2023,$119.92,"274,639",$120.42,$121.4099,$119.82
10/16/2023,$120.40,"229,365",$119.69,$121.60,$119.69
10/13/2023,$119.17,"150,803",$118.98,$119.365,$117.925
10/12/2023,$119.28,"192,983",$119.47,$119.655,$118.27
10/11/2023,$119.41,"181,413",$119.62,$120.1942,$118.31
10/10/2023,$119.61,"265,145",$120.41,$121.24,$119.531
10/09/2023,$120.29,"238,817",$118.23,$120.88,$118.00
10/06/2023,$118.81,"283,252",$116.25,$119.51,$115.85
10/05/2023,$116.36,"312,096",$115.62,$116.70,$115.34
10/04/2023,$115.79,"222,072",$114.60,$115.86,$114.14
10/03/2023,$114.20,"192,465",$115.60,$115.80,$113.91
10/02/2023,$115.93,"216,594",$116.24,$117.145,$115.25
09/29/2023,$116.48,"265,446",$118.10,$118.69,$116.37
09/28/2023,$117.52,"511,636",$116.69,$118.00,$116.14
09/27/2023,$116.90,"330,828",$113.68,$117.52,$113.68
09/26/2023,$113.18,"347,156",$115.05,$116.00,$112.879
09/25/2023,$115.36,"253,353",$114.23,$115.62,$113.66
09/22/2023,$114.69,"250,265",$116.01,$116.515,$114.63
09/21/2023,$116.12,"378,393",$116.19,$116.81,$115.305
09/20/2023,$117.19,"277,206",$117.14,$118.625,$117.11
09/19/2023,$116.51,"366,167",$115.07,$117.03,$115.02
09/18/2023,$114.94,"462,978",$117.35,$117.35,$114.88
09/15/2023,$118.03,"716,474",$117.33,$118.46,$116.66
09/14/2023,$117.33,"552,015",$114.82,$117.58,$114.73
09/13/2023,$114.51,"547,943",$112.93,$114.71,$112.82
09/12/2023,$112.95,"454,187",$112.52,$113.38,$111.42
09/11/2023,$112.93,"445,870",$113.80,$114.7294,$112.85
