Date,Close,Volume,Open,High,Low
03/01/2024,$13.67,"13,554",$13.63,$13.9899,$13.60
02/29/2024,$13.67,"7,560",$13.84,$14.00,$13.58
02/28/2024,$13.73,"5,818",$13.98,$14.00,$13.61
02/27/2024,$13.98,"23,084",$14.00,$14.365,$13.44
02/26/2024,$13.683,"16,863",$13.35,$13.70,$13.35
02/23/2024,$13.30,"10,705",$13.539,$13.80,$13.30
02/22/2024,$13.60,"9,511",$14.21,$14.21,$13.50
02/21/2024,$14.20,"5,303",$14.52,$14.7049,$14.20
02/20/2024,$14.66,"8,142",$14.48,$14.76,$14.00
02/16/2024,$14.57,"12,828",$14.74,$14.9361,$14.52
02/15/2024,$14.70,"22,645",$13.70,$14.74,$13.70
02/14/2024,$13.97,"18,203",$13.40,$13.975,$13.40
02/13/2024,$13.69,"14,111",$13.225,$13.73,$13.12
02/12/2024,$13.46,"27,773",$13.66,$13.99,$12.95
02/09/2024,$13.51,"15,209",$13.83,$14.00,$13.42
02/08/2024,$13.47,"7,066",$13.43,$13.91,$13.43
02/07/2024,$13.435,"40,666",$13.70,$13.94,$13.05
02/06/2024,$13.35,"14,772",$13.70,$13.7375,$13.25
02/05/2024,$13.78,"10,149",$13.82,$13.82,$13.55
02/02/2024,$13.84,"16,836",$13.76,$14.39,$13.75
02/01/2024,$13.66,"12,724",$13.9512,$13.9699,$13.61
01/31/2024,$13.75,"8,002",$14.05,$14.6399,$13.75
01/30/2024,$14.29,"5,097",$14.21,$14.3925,$14.11
01/29/2024,$14.10,"16,236",$13.53,$14.29,$13.33
01/26/2024,$13.80,"11,562",$13.63,$13.80,$13.4437
01/25/2024,$13.43,"14,329",$13.99,$14.44,$13.43
01/24/2024,$13.88,"16,386",$14.11,$14.1985,$13.88
01/23/2024,$14.11,"14,989",$14.11,$14.16,$14.00
01/22/2024,$14.12,"11,542",$14.13,$14.45,$14.06
01/19/2024,$14.12,"22,595",$14.37,$14.37,$13.95
01/18/2024,$14.41,"39,790",$14.74,$14.74,$14.13
01/17/2024,$14.67,"17,215",$14.52,$14.86,$14.31
01/16/2024,$14.89,"26,771",$14.63,$15.19,$14.40
01/12/2024,$14.98,"39,125",$14.80,$15.59,$14.6201
01/11/2024,$14.80,"24,874",$14.86,$15.14,$14.48
01/10/2024,$14.85,"9,766",$14.77,$14.99,$14.7201
01/09/2024,$14.99,"24,798",$14.78,$14.99,$14.14
01/08/2024,$14.55,"42,696",$15.30,$15.30,$14.47
01/05/2024,$15.12,"35,492",$15.70,$15.91,$15.00
01/04/2024,$15.70,"25,015",$14.87,$15.8483,$14.801
01/03/2024,$15.11,"53,326",$15.32,$15.40,$14.67
01/02/2024,$15.61,"19,106",$15.62,$15.70,$15.34
12/29/2023,$15.62,"25,192",$15.30,$15.92,$15.2577
12/28/2023,$15.62,"61,631",$16.10,$16.23,$15.09
12/27/2023,$16.33,"40,503",$16.80,$16.80,$16.09
12/26/2023,$16.71,"28,051",$16.60,$17.38,$16.55
12/22/2023,$16.65,"32,987",$16.73,$16.80,$16.06
12/21/2023,$16.70,"14,119",$16.93,$16.93,$16.26
12/20/2023,$16.30,"86,914",$17.30,$17.6872,$16.00
12/19/2023,$17.58,"64,604",$16.50,$17.58,$16.35
12/18/2023,$16.27,"156,761",$17.20,$17.20,$16.03
12/15/2023,$17.43,"50,715",$17.52,$17.8499,$16.75
12/14/2023,$17.50,"117,469",$17.97,$17.97,$16.94
12/13/2023,$16.69,"149,147",$18.15,$18.97,$16.05
12/12/2023,$18.08,"163,889",$18.02,$18.64,$17.23
12/11/2023,$17.68,"165,110",$17.18,$18.00,$16.57
12/08/2023,$16.41,"153,337",$15.51,$17.50,$15.50
12/07/2023,$15.92,"294,987",$13.34,$16.00,$13.34
12/06/2023,$13.16,"27,020",$13.56,$13.7004,$13.0213
12/05/2023,$13.3774,"35,241",$12.6774,$13.39,$12.5901
12/04/2023,$12.84,"26,180",$12.60,$12.95,$12.3998
12/01/2023,$12.64,"88,133",$12.05,$13.2872,$12.05
11/30/2023,$12.05,"231,254",$14.67,$14.94,$11.14
11/29/2023,$14.03,"288,634",$11.50,$14.24,$11.49
11/28/2023,$11.40,"249,092",$10.79,$11.65,$10.7501
11/27/2023,$10.50,"241,435",$9.56,$11.10,$9.55
11/24/2023,$10.22,"250,545",$8.88,$10.22,$8.5488
11/22/2023,$8.72,"47,913",$8.01,$8.7855,$7.7572
11/21/2023,$7.98,"26,333",$7.80,$8.00,$7.52
11/20/2023,$8.10,"23,796",$8.16,$8.3993,$7.90
11/17/2023,$8.00,"75,087",$7.90,$8.50,$7.60
11/16/2023,$7.47,"89,322",$7.45,$8.0897,$7.062
11/15/2023,$7.44,"64,024",$6.70,$7.50,$6.70
11/14/2023,$6.60,"27,877",$6.12,$6.6016,$5.9118
11/13/2023,$6.00,"15,559",$5.96,$6.00,$5.825
11/10/2023,$5.86,"24,884",$5.81,$5.9479,$5.51
11/09/2023,$5.97,"25,860",$6.14,$6.19,$5.70
11/08/2023,$6.28,"11,941",$6.425,$6.425,$6.15
11/07/2023,$6.3801,"21,056",$6.38,$6.47,$6.22
11/06/2023,$6.37,"14,144",$6.41,$6.54,$6.29
11/03/2023,$6.45,"18,630",$6.36,$6.55,$6.36
11/02/2023,$6.36,"22,608",$6.29,$6.48,$6.28
11/01/2023,$6.4399,"18,018",$6.37,$6.57,$6.28
10/31/2023,$6.40,"12,023",$6.55,$6.55,$6.2801
10/30/2023,$6.53,"11,089",$6.61,$6.78,$6.35
10/27/2023,$6.45,"20,126",$6.67,$6.7299,$6.45
10/26/2023,$6.60,"17,331",$6.61,$6.73,$6.51
10/25/2023,$6.73,"19,130",$6.64,$6.79,$6.54
10/24/2023,$6.58,"36,049",$6.93,$7.00,$6.47
10/23/2023,$7.0246,"21,706",$7.18,$7.2302,$6.8201
10/20/2023,$7.10,"20,018",$7.32,$7.36,$7.00
10/19/2023,$7.4025,"21,497",$7.82,$7.98,$7.3301
10/18/2023,$7.93,"93,317",$9.05,$9.43,$7.52
10/17/2023,$8.98,"118,381",$8.52,$9.77,$8.50
10/16/2023,$9.10,"96,381",$8.45,$9.16,$8.1024
10/13/2023,$8.10,"60,488",$7.39,$8.15,$7.20
10/12/2023,$7.40,"47,220",$6.66,$7.40,$6.66
10/11/2023,$6.74,"23,639",$6.69,$6.81,$6.5101
10/10/2023,$6.69,"26,975",$6.25,$6.741,$6.20
10/09/2023,$6.42,"31,193",$6.07,$6.5699,$6.00
10/06/2023,$6.12,"32,008",$6.13,$6.2799,$6.02
10/05/2023,$6.25,"33,165",$6.51,$6.61,$6.17
10/04/2023,$6.57,"38,148",$6.75,$6.8446,$6.50
10/03/2023,$6.84,"84,878",$6.98,$7.40,$6.60
10/02/2023,$6.99,"113,783",$6.99,$7.94,$6.80
09/29/2023,$7.14,"223,419",$7.00,$7.3058,$6.49
09/28/2023,$7.0287,"53,592",$7.0803,$7.4391,$6.8403
09/27/2023,$7.4403,"10,469",$7.2123,$7.5003,$7.2003
09/26/2023,$7.3803,"16,647",$7.2363,$7.6803,$7.2003
09/25/2023,$7.4283,"19,456",$7.3203,$7.5603,$6.6663
09/22/2023,$7.3191,"34,761",$7.4403,$7.6683,$6.8607
09/21/2023,$7.3227,"25,375",$7.5603,$7.5963,$7.2723
09/20/2023,$7.5963,"19,235",$7.9203,$7.9203,$7.4523
09/19/2023,$7.5615,"21,996",$7.9203,$7.9203,$7.5603
09/18/2023,$7.8687,"27,702",$8.2803,$8.3883,$7.4403
09/15/2023,$8.1843,"21,934",$8.2683,$8.4003,$7.8603
09/14/2023,$8.2671,"15,469",$8.3427,$8.3427,$8.0403
09/13/2023,$8.1387,"35,968",$8.5203,$8.5203,$7.8423
09/12/2023,$8.4687,"7,308",$8.5563,$8.5563,$8.4003
09/11/2023,$8.5683,"12,369",$8.4819,$8.6403,$8.4123
09/08/2023,$8.6343,"11,284",$8.1723,$8.7604,$8.1723
09/07/2023,$8.4603,"11,885",$8.4003,$8.5203,$8.1783
09/06/2023,$8.5203,"24,064",$8.6403,$8.6727,$8.2203
09/05/2023,$8.6295,"13,137",$9.0004,$9.2272,$8.5227
09/01/2023,$8.9992,"16,478",$8.9884,$9.2344,$8.7604
08/31/2023,$9.0004,"13,715",$8.9524,$9.0844,$8.7724
08/30/2023,$9.0004,"8,369",$8.92,$9.0724,$8.7616
08/29/2023,$9.0004,"18,506",$8.5059,$9.0004,$8.4267
08/28/2023,$8.6391,"8,691",$8.6403,$8.6403,$8.4003
08/25/2023,$8.4003,"7,980",$8.4123,$8.5203,$8.2803
08/24/2023,$8.5203,"17,984",$8.5203,$8.6019,$8.2851
08/23/2023,$8.6007,"22,827",$8.5203,$8.8768,$8.4267
08/22/2023,$8.7483,"14,871",$8.7604,$8.878,$8.5203
08/21/2023,$8.6355,"33,709",$9.1012,$9.124,$8.4003
08/18/2023,$9.124,"19,820",$8.8804,$9.3544,$8.8804
08/17/2023,$8.9776,"52,412",$9.2404,$9.4804,$8.6835
08/16/2023,$9.6004,"184,777",$10.2004,$11.3885,$9.0004
08/15/2023,$10.2004,"59,226",$9.6568,$10.3204,$9.3604
08/14/2023,$9.892,"68,155",$9.6004,$10.3204,$9.1804
08/11/2023,$9.838,"119,262",$9.7048,$9.9604,$8.6643
08/10/2023,$9.6004,"138,121",$8.8684,$10.0804,$8.5563
08/09/2023,$8.5323,"80,332",$8.4963,$9.2344,$8.1003
