Date,Close,Volume,Open,High,Low
03/01/2024,$6.07,"38,190",$6.13,$6.16,$6.04
02/29/2024,$6.15,"35,952",$6.15,$6.21,$6.15
02/28/2024,$6.15,"59,401",$5.94,$6.20,$5.9387
02/27/2024,$5.96,"28,105",$6.11,$6.11,$5.96
02/26/2024,$6.07,"35,509",$6.14,$6.24,$6.07
02/23/2024,$6.20,"53,461",$6.12,$6.25,$5.94
02/22/2024,$6.08,"47,525",$5.90,$6.15,$5.90
02/21/2024,$5.82,"53,921",$6.10,$6.1357,$5.82
02/20/2024,$6.17,"56,554",$6.25,$6.3807,$6.17
02/16/2024,$6.36,"96,851",$6.15,$6.45,$6.11
02/15/2024,$6.20,"34,451",$6.11,$6.25,$6.05
02/14/2024,$6.13,"39,241",$6.18,$6.23,$6.0601
02/13/2024,$6.16,"68,122",$5.99,$6.2861,$5.97
02/12/2024,$5.99,"65,919",$5.59,$6.00,$5.59
02/09/2024,$5.59,"31,579",$5.68,$5.68,$5.59
02/08/2024,$5.70,"29,239",$5.54,$5.73,$5.53
02/07/2024,$5.54,"38,940",$5.59,$5.63,$5.53
02/06/2024,$5.65,"28,867",$5.61,$5.75,$5.61
02/05/2024,$5.64,"43,091",$5.80,$5.80,$5.64
02/02/2024,$5.92,"46,441",$5.78,$6.00,$5.77
02/01/2024,$5.86,"91,114",$6.03,$6.16,$5.77
01/31/2024,$6.06,"62,284",$6.27,$6.28,$6.03
01/30/2024,$6.28,"88,523",$6.06,$6.28,$6.03
01/29/2024,$6.04,"78,193",$5.84,$6.04,$5.65
01/26/2024,$5.84,"56,496",$5.71,$5.8699,$5.5774
01/25/2024,$5.74,"58,772",$5.69,$5.90,$5.62
01/24/2024,$5.69,"74,051",$5.46,$5.75,$5.445
01/23/2024,$5.47,"46,806",$5.36,$5.56,$5.28
01/22/2024,$5.38,"64,377",$5.20,$5.49,$5.10
01/19/2024,$5.20,"93,592",$5.38,$5.48,$5.12
01/18/2024,$5.40,"36,439",$5.58,$5.58,$5.40
01/17/2024,$5.57,"46,787",$5.35,$5.58,$5.35
01/16/2024,$5.40,"37,653",$5.40,$5.4499,$5.30
01/12/2024,$5.40,"61,989",$5.43,$5.54,$5.35
01/11/2024,$5.50,"45,200",$5.47,$5.50,$5.42
01/10/2024,$5.52,"55,692",$5.61,$5.61,$5.45
01/09/2024,$5.66,"41,816",$5.65,$5.75,$5.60
01/08/2024,$5.75,"41,438",$5.90,$5.92,$5.6901
01/05/2024,$5.90,"95,264",$5.89,$5.97,$5.6622
01/04/2024,$5.89,"164,960",$5.41,$5.97,$5.2651
01/03/2024,$5.38,"77,380",$5.01,$5.5369,$5.01
01/02/2024,$5.01,"50,848",$4.91,$5.1477,$4.89
12/29/2023,$4.92,"38,310",$5.00,$5.05,$4.92
12/28/2023,$5.02,"53,447",$5.17,$5.175,$4.94
12/27/2023,$5.23,"51,794",$5.39,$5.39,$5.1001
12/26/2023,$5.19,"42,114",$5.27,$5.28,$5.09
12/22/2023,$5.32,"78,166",$5.14,$5.42,$5.14
12/21/2023,$5.16,"49,275",$4.98,$5.25,$4.96
12/20/2023,$4.96,"58,331",$5.16,$5.20,$4.94
12/19/2023,$5.11,"64,082",$5.00,$5.3944,$5.00
12/18/2023,$5.01,"37,686",$4.90,$5.09,$4.89
12/15/2023,$4.85,"35,393",$4.81,$4.9411,$4.80
12/14/2023,$4.81,"47,075",$4.73,$5.07,$4.7204
12/13/2023,$4.75,"50,707",$4.60,$4.7999,$4.60
12/12/2023,$4.65,"66,178",$4.21,$4.66,$4.21
12/11/2023,$4.26,"25,369",$4.32,$4.395,$4.24
12/08/2023,$4.40,"39,443",$4.42,$4.4909,$4.15
12/07/2023,$4.41,"51,093",$4.66,$4.66,$4.159
12/06/2023,$4.63,"25,183",$4.60,$4.75,$4.60
12/05/2023,$4.62,"37,520",$4.65,$4.84,$4.62
12/04/2023,$4.66,"44,271",$4.65,$4.81,$4.5901
12/01/2023,$4.72,"56,976",$4.40,$4.74,$4.355
11/30/2023,$4.38,"47,128",$4.25,$4.40,$4.25
11/29/2023,$4.29,"35,542",$4.20,$4.29,$4.18
11/28/2023,$4.24,"24,524",$4.22,$4.2743,$4.18
11/27/2023,$4.29,"46,294",$4.17,$4.29,$4.09
11/24/2023,$4.24,"30,653",$4.07,$4.28,$4.0618
11/22/2023,$4.01,"18,862",$3.86,$4.02,$3.86
11/21/2023,$3.87,"80,822",$4.21,$4.32,$3.80
11/20/2023,$4.31,"46,881",$4.08,$4.3161,$4.08
11/17/2023,$4.135,"35,891",$4.00,$4.23,$3.94
11/16/2023,$4.02,"16,106",$3.93,$4.06,$3.8215
11/15/2023,$3.94,"30,974",$3.72,$3.94,$3.72
11/14/2023,$3.72,"24,267",$3.75,$3.81,$3.6546
11/13/2023,$3.75,"58,353",$3.75,$3.85,$3.75
11/10/2023,$3.68,"41,715",$4.07,$4.105,$3.65
11/09/2023,$4.07,"40,091",$4.11,$4.29,$4.07
11/08/2023,$4.17,"25,179",$4.26,$4.30,$4.0861
11/07/2023,$4.29,"36,431",$4.05,$4.29,$4.05
11/06/2023,$4.05,"27,944",$4.04,$4.15,$4.04
11/03/2023,$4.09,"35,159",$3.94,$4.18,$3.94
11/02/2023,$4.04,"16,381",$4.05,$4.10,$3.95
11/01/2023,$4.07,"13,612",$4.17,$4.23,$4.01
10/31/2023,$4.14,"48,361",$4.00,$4.20,$3.95
10/30/2023,$4.10,"25,022",$3.80,$4.10,$3.80
10/27/2023,$3.80,"53,712",$3.97,$4.1199,$3.7685
10/26/2023,$4.00,"22,938",$4.17,$4.17,$3.95
10/25/2023,$4.13,"29,110",$4.14,$4.16,$3.95
10/24/2023,$4.19,"34,344",$4.01,$4.31,$3.97
10/23/2023,$4.01,"36,171",$3.95,$4.14,$3.90
10/20/2023,$3.95,"37,607",$4.14,$4.28,$3.9001
10/19/2023,$4.16,"41,264",$4.03,$4.285,$4.03
10/18/2023,$4.05,"48,889",$4.35,$4.38,$4.0248
10/17/2023,$4.40,"54,676",$4.38,$4.62,$4.32
10/16/2023,$4.50,"34,888",$4.49,$4.58,$4.3872
10/13/2023,$4.52,"48,237",$4.44,$4.65,$4.36
10/12/2023,$4.53,"68,947",$4.90,$4.9206,$4.50
10/11/2023,$4.93,"43,316",$5.00,$5.0408,$4.84
10/10/2023,$5.03,"37,746",$5.02,$5.09,$4.95
10/09/2023,$4.90,"94,726",$5.49,$5.49,$4.75
10/06/2023,$5.32,"73,287",$5.57,$5.6128,$5.08
10/05/2023,$5.66,"51,544",$5.63,$5.77,$5.57
10/04/2023,$5.68,"74,761",$5.67,$5.785,$5.61
10/03/2023,$5.69,"54,351",$5.69,$5.79,$5.50
10/02/2023,$5.80,"37,193",$5.82,$5.83,$5.76
09/29/2023,$5.84,"48,041",$5.92,$5.9249,$5.7488
09/28/2023,$5.83,"34,842",$5.70,$5.90,$5.70
09/27/2023,$5.74,"45,628",$5.74,$5.94,$5.72
09/26/2023,$5.83,"35,820",$5.74,$5.85,$5.69
09/25/2023,$5.81,"61,831",$5.74,$5.94,$5.67
09/22/2023,$5.89,"37,445",$5.81,$5.95,$5.75
09/21/2023,$5.825,"69,991",$5.96,$5.97,$5.75
09/20/2023,$6.05,"83,299",$5.82,$6.32,$5.82
09/19/2023,$5.86,"37,554",$5.72,$5.94,$5.72
09/18/2023,$5.89,"40,001",$5.95,$5.99,$5.82
09/15/2023,$6.00,"38,816",$5.90,$6.00,$5.80
09/14/2023,$5.95,"30,240",$5.95,$5.9689,$5.86
09/13/2023,$5.93,"36,138",$5.90,$6.03,$5.80
09/12/2023,$5.91,"51,426",$5.60,$5.96,$5.60
09/11/2023,$5.76,"87,382",$5.65,$5.80,$5.60
09/08/2023,$5.86,"67,278",$6.14,$6.22,$5.82
09/07/2023,$6.11,"53,997",$6.30,$6.30,$5.88
09/06/2023,$6.32,"120,422",$6.56,$6.59,$6.2073
09/05/2023,$6.24,"122,557",$5.85,$6.29,$5.85
09/01/2023,$5.84,"63,114",$5.75,$6.00,$5.69
08/31/2023,$5.75,"89,653",$5.50,$5.80,$5.4101
08/30/2023,$5.55,"84,825",$5.21,$5.61,$5.2001
08/29/2023,$5.30,"154,964",$5.48,$5.50,$5.205
08/28/2023,$5.56,"58,909",$5.50,$5.58,$5.37
08/25/2023,$5.50,"53,993",$5.46,$5.65,$5.43
08/24/2023,$5.55,"105,534",$5.74,$5.77,$5.30
08/23/2023,$5.77,"194,765",$5.19,$5.84,$5.1668
08/22/2023,$5.25,"268,782",$6.01,$6.0636,$5.08
08/21/2023,$6.12,"105,813",$6.12,$6.1946,$5.752
08/18/2023,$6.21,"111,714",$6.01,$6.34,$6.00
08/17/2023,$6.25,"168,829",$5.79,$6.35,$5.75
08/16/2023,$5.91,"144,560",$6.10,$6.11,$5.38
08/15/2023,$6.01,"492,932",$6.34,$7.2493,$5.84
08/14/2023,$6.42,"189,968",$6.30,$6.50,$6.00
08/11/2023,$6.30,"236,792",$6.15,$6.42,$5.80
08/10/2023,$6.21,"286,036",$5.56,$6.31,$5.4601
08/09/2023,$5.41,"197,759",$5.84,$5.84,$5.24
08/08/2023,$5.84,"211,354",$5.53,$5.84,$5.50
08/07/2023,$5.51,"270,877",$5.35,$5.57,$5.31
08/04/2023,$5.35,"136,047",$5.24,$5.48,$5.13
08/03/2023,$5.25,"134,503",$5.01,$5.25,$5.00
08/02/2023,$5.03,"143,455",$5.01,$5.20,$4.94
08/01/2023,$5.10,"180,222",$5.15,$5.48,$4.98
07/31/2023,$5.27,"465,104",$5.07,$5.49,$5.03
07/28/2023,$5.00,"108,245",$4.57,$5.00,$4.47
07/27/2023,$4.44,"191,898",$5.00,$5.0104,$4.415
07/26/2023,$4.93,"252,907",$4.65,$5.26,$4.55
07/25/2023,$4.68,"364,321",$4.95,$5.1799,$4.41
07/24/2023,$4.92,"354,251",$4.44,$4.95,$4.3212
07/21/2023,$4.38,"197,573",$4.25,$4.43,$4.19
07/20/2023,$4.20,"110,984",$4.03,$4.24,$4.0123
07/19/2023,$4.07,"111,782",$4.12,$4.17,$3.94
07/18/2023,$4.15,"109,638",$4.24,$4.24,$3.9603
07/17/2023,$4.18,"200,484",$3.99,$4.20,$3.95
07/14/2023,$4.04,"179,522",$3.92,$4.10,$3.80
07/13/2023,$3.955,"158,201",$4.09,$4.20,$3.94
07/12/2023,$4.02,"112,615",$3.93,$4.05,$3.86
07/11/2023,$3.92,"117,527",$3.91,$3.9688,$3.828
07/10/2023,$3.88,"86,949",$3.69,$3.94,$3.6701
07/07/2023,$3.72,"91,395",$3.61,$3.94,$3.61
07/06/2023,$3.76,"119,122",$3.88,$3.90,$3.69
07/05/2023,$3.91,"103,228",$3.70,$3.96,$3.62
07/03/2023,$3.79,"49,106",$3.76,$3.85,$3.76
06/30/2023,$3.80,"200,157",$3.95,$4.0979,$3.72
06/29/2023,$3.87,"164,004",$3.66,$3.89,$3.5901
06/28/2023,$3.60,"113,494",$3.42,$3.64,$3.40
06/27/2023,$3.42,"68,947",$3.34,$3.4799,$3.2901
06/26/2023,$3.38,"69,244",$3.27,$3.3971,$3.2462
06/23/2023,$3.36,"67,790",$3.50,$3.50,$3.31
06/22/2023,$3.42,"127,295",$3.24,$3.45,$3.23
06/21/2023,$3.29,"130,507",$3.34,$3.35,$3.17
06/20/2023,$3.26,"115,378",$3.12,$3.29,$3.1089
06/16/2023,$3.16,"80,353",$3.01,$3.16,$3.00
06/15/2023,$3.01,"123,471",$3.10,$3.15,$3.01
06/14/2023,$3.09,"147,030",$3.10,$3.18,$3.0328
06/13/2023,$3.02,"86,838",$2.95,$3.07,$2.95
06/12/2023,$2.95,"91,363",$2.97,$3.0199,$2.89
06/09/2023,$2.98,"269,630",$2.98,$3.02,$2.82
