Date,Close,Volume,Open,High,Low
03/01/2024,$0.16,"109,084",$0.154,$0.17,$0.1471
02/29/2024,$0.146,"434,086",$0.159,$0.159,$0.1442
02/28/2024,$0.161,"213,823",$0.187,$0.187,$0.1606
02/27/2024,$0.174,"360,553",$0.17,$0.1888,$0.165
02/26/2024,$0.172,"353,319",$0.1998,$0.1998,$0.17
02/23/2024,$0.185,"2,250,036",$0.1816,$0.1976,$0.176
02/22/2024,$0.181,"2,158,224",$0.181,$0.1899,$0.1712
02/21/2024,$0.181,"18,867",$0.181,$0.1899,$0.1714
02/20/2024,$0.181,"172,738",$0.1803,$0.19,$0.1701
02/16/2024,$0.18,"70,446",$0.1915,$0.1916,$0.18
02/15/2024,$0.1917,"18,604",$0.1972,$0.1999,$0.1843
02/14/2024,$0.1902,"22,473",$0.1861,$0.1902,$0.1801
02/13/2024,$0.1865,"174,878",$0.17,$0.1896,$0.17
02/12/2024,$0.1805,"43,929",$0.19,$0.19,$0.1801
02/09/2024,$0.1883,"60,857",$0.1732,$0.1883,$0.17
02/08/2024,$0.1754,"55,432",$0.18,$0.18,$0.17
02/07/2024,$0.17,"72,488",$0.18,$0.18,$0.17
02/06/2024,$0.1725,"86,020",$0.18,$0.19,$0.17
02/05/2024,$0.17,"31,625",$0.172,$0.1796,$0.17
02/02/2024,$0.173,"391,271",$0.18,$0.1899,$0.17
02/01/2024,$0.1736,"131,539",$0.17,$0.1899,$0.17
01/31/2024,$0.1736,"314,397",$0.1739,$0.18,$0.17
01/30/2024,$0.179,"98,389",$0.178,$0.1885,$0.1749
01/29/2024,$0.174,"457,697",$0.18,$0.2034,$0.1712
01/26/2024,$0.168,"695,304",$0.19,$0.1973,$0.1617
01/25/2024,$0.182,"560,108",$0.192,$0.20,$0.1792
01/24/2024,$0.195,"632,612",$0.237,$0.24,$0.1831
01/23/2024,$0.2327,"126,603",$0.2354,$0.25,$0.2264
01/22/2024,$0.2342,"181,111",$0.23,$0.24,$0.22
01/19/2024,$0.2277,"173,464",$0.23,$0.24,$0.22
01/18/2024,$0.225,"281,081",$0.23,$0.2394,$0.2201
01/17/2024,$0.2284,"414,234",$0.2338,$0.2423,$0.2233
01/16/2024,$0.2382,"630,017",$0.2548,$0.2653,$0.2225
01/12/2024,$0.2618,"2,913,372",$0.223,$0.2826,$0.22
01/11/2024,$0.224,"328,172",$0.22,$0.237,$0.2018
01/10/2024,$0.235,"2,075,487",$0.223,$0.2784,$0.2025
01/09/2024,$0.2271,"4,547,318",$0.1652,$0.2796,$0.1529
01/08/2024,$0.1711,"403,087",$0.1764,$0.1796,$0.17
01/05/2024,$0.18,"1,072,862",$0.158,$0.187,$0.155
01/04/2024,$0.17,"2,252,888",$0.1637,$0.1888,$0.1451
01/03/2024,$0.1761,"62,814,240",$0.24,$0.24,$0.162
01/02/2024,$0.1142,"64,480",$0.1104,$0.1169,$0.1104
12/29/2023,$0.111,"290,941",$0.11,$0.1221,$0.105
12/28/2023,$0.116,"257,805",$0.10,$0.1274,$0.10
12/27/2023,$0.1185,"64,180",$0.121,$0.128,$0.117
12/26/2023,$0.1278,"29,062",$0.127,$0.13,$0.1185
12/22/2023,$0.1273,"38,083",$0.1278,$0.1278,$0.1121
12/21/2023,$0.1256,"152,245",$0.1076,$0.1284,$0.1076
12/20/2023,$0.1191,"454,930",$0.126,$0.1354,$0.115
12/19/2023,$0.1146,"360,660",$0.152,$0.1589,$0.1146
12/18/2023,$0.1542,"109,236",$0.1583,$0.1697,$0.1459
12/15/2023,$0.1514,"95,836",$0.16,$0.1605,$0.1476
12/14/2023,$0.157,"110,889",$0.16,$0.17,$0.15
12/13/2023,$0.156,"114,918",$0.1501,$0.1605,$0.14
12/12/2023,$0.1446,"131,093",$0.14,$0.1613,$0.1374
12/11/2023,$0.14,"192,117",$0.148,$0.148,$0.138
12/08/2023,$0.1473,"155,698",$0.1497,$0.15,$0.138
12/07/2023,$0.15,"270,536",$0.1671,$0.1699,$0.1356
12/06/2023,$0.1596,"188,599",$0.1605,$0.1889,$0.1595
12/05/2023,$0.1597,"92,440",$0.1785,$0.1785,$0.1572
12/04/2023,$0.162,"164,258",$0.1748,$0.189,$0.161
12/01/2023,$0.1776,"25,503",$0.185,$0.205,$0.175
11/30/2023,$0.1827,"45,389",$0.1955,$0.2052,$0.1755
11/29/2023,$0.1954,"52,217",$0.2001,$0.2101,$0.1899
11/28/2023,$0.2002,"201,630",$0.1911,$0.2161,$0.1791
11/27/2023,$0.2067,"206,997",$0.1976,$0.231,$0.1935
11/24/2023,$0.1976,"33,499",$0.199,$0.2261,$0.1932
11/22/2023,$0.1932,"185,180",$0.2331,$0.2331,$0.1932
11/21/2023,$0.2015,"154,480",$0.20,$0.2351,$0.19
11/20/2023,$0.20,"69,038",$0.2211,$0.257,$0.20
11/17/2023,$0.2127,"152,453",$0.22,$0.235,$0.17
11/16/2023,$0.24,"119,458",$0.29,$0.30,$0.235
11/15/2023,$0.263,"212,514",$0.36,$0.36,$0.2605
11/14/2023,$0.3605,"15,054",$0.371,$0.371,$0.3605
11/13/2023,$0.3925,"12,981",$0.37,$0.3925,$0.36
11/10/2023,$0.384,945,$0.3802,$0.40,$0.3603
11/09/2023,$0.3946,"3,563",$0.388,$0.3946,$0.3606
11/08/2023,$0.40,"12,623",$0.36,$0.40,$0.36
11/07/2023,$0.36,"3,348",$0.37,$0.3701,$0.36
11/06/2023,$0.3888,"10,584",$0.4299,$0.4299,$0.3838
11/03/2023,$0.403,"77,622",$0.43,$0.43,$0.38
11/02/2023,$0.43,"59,904",$0.38,$0.43,$0.38
11/01/2023,$0.38,"7,410",$0.374,$0.3801,$0.374
10/31/2023,$0.3849,"38,733",$0.38,$0.3966,$0.3484
10/30/2023,$0.38,"10,610",$0.37,$0.39,$0.37
10/27/2023,$0.37,"22,324",$0.35,$0.3796,$0.35
10/26/2023,$0.35,"9,349",$0.3679,$0.385,$0.35
10/25/2023,$0.3775,"17,211",$0.39,$0.39,$0.3696
10/24/2023,$0.369,"1,062",$0.36,$0.37,$0.36
10/23/2023,$0.36,"6,065",$0.35,$0.3795,$0.35
10/20/2023,$0.355,"23,732",$0.3605,$0.3894,$0.35
10/19/2023,$0.3896,"8,900",$0.40,$0.40,$0.375
10/18/2023,$0.39,"26,345",$0.361,$0.39,$0.36
10/17/2023,$0.384,"42,577",$0.38,$0.404,$0.38
10/16/2023,$0.355,"13,890",$0.401,$0.405,$0.355
10/13/2023,$0.39,"25,897",$0.399,$0.399,$0.3699
10/12/2023,$0.4004,"5,057",$0.40,$0.4004,$0.385
10/11/2023,$0.41,"33,371",$0.405,$0.425,$0.386
10/10/2023,$0.4242,"25,903",$0.40,$0.4242,$0.385
10/09/2023,$0.41,"20,878",$0.36,$0.41,$0.36
10/06/2023,$0.365,"3,366",$0.37,$0.404,$0.365
10/05/2023,$0.365,"7,202",$0.383,$0.39,$0.365
10/04/2023,$0.37,"4,514",$0.37,$0.41,$0.37
10/03/2023,$0.36,"20,202",$0.37,$0.3799,$0.355
10/02/2023,$0.3796,"1,429",$0.3677,$0.3796,$0.3677
09/29/2023,$0.365,"4,344",$0.3895,$0.3895,$0.365
09/28/2023,$0.365,"18,100",$0.3826,$0.41,$0.365
09/27/2023,$0.3863,"8,780",$0.399,$0.419,$0.365
09/26/2023,$0.3805,"11,406",$0.37,$0.40,$0.36
09/25/2023,$0.37,"32,376",$0.41,$0.41,$0.36
09/22/2023,$0.41,"17,764",$0.419,$0.434,$0.40
09/21/2023,$0.4316,"35,111",$0.4051,$0.434,$0.40
09/20/2023,$0.41,"9,657",$0.4101,$0.411,$0.40
09/19/2023,$0.4147,"56,753",$0.434,$0.47,$0.41
09/18/2023,$0.41,"22,713",$0.43,$0.469,$0.40
09/15/2023,$0.395,"79,170",$0.4475,$0.4626,$0.395
09/14/2023,$0.451,"9,414",$0.445,$0.4689,$0.445
09/13/2023,$0.445,"16,905",$0.44,$0.469,$0.44
09/12/2023,$0.44,"11,581",$0.462,$0.462,$0.44
09/11/2023,$0.44,"56,331",$0.45,$0.45,$0.44
09/08/2023,$0.445,"3,529",$0.433,$0.4451,$0.433
09/07/2023,$0.44,"39,620",$0.45,$0.47,$0.44
09/06/2023,$0.45,"3,180",$0.479,$0.479,$0.45
09/05/2023,$0.45,"15,511",$0.44,$0.47,$0.435
09/01/2023,$0.395,"42,579",$0.389,$0.435,$0.36
08/31/2023,$0.379,"21,444",$0.34,$0.385,$0.34
08/30/2023,$0.371,"10,275",$0.355,$0.38,$0.35
08/29/2023,$0.38,"12,553",$0.3694,$0.38,$0.359
08/28/2023,$0.3799,"6,644",$0.3798,$0.39,$0.356
08/25/2023,$0.37,"6,294",$0.3542,$0.3899,$0.3066
08/24/2023,$0.351,"59,237",$0.3328,$0.3963,$0.3328
08/23/2023,$0.3811,"56,120",$0.45,$0.45,$0.3754
08/22/2023,$0.4491,"84,659",$0.35,$0.455,$0.35
08/21/2023,$0.355,"7,783",$0.373,$0.3919,$0.351
08/18/2023,$0.3799,"175,913",$0.389,$0.5077,$0.30
08/17/2023,$0.3672,"22,692",$0.34,$0.39,$0.33
08/16/2023,$0.34,"99,830",$0.35,$0.379,$0.33
08/15/2023,$0.37,"53,216",$0.4556,$0.4647,$0.35
08/14/2023,$0.45,"35,911",$0.52,$0.52,$0.4201
08/11/2023,$0.52,"1,915",$0.51,$0.52,$0.45
08/10/2023,$0.50,"40,168",$0.4832,$0.5199,$0.4501
08/09/2023,$0.4777,"17,537",$0.51,$0.52,$0.4777
08/08/2023,$0.4955,"29,133",$0.50,$0.5501,$0.4955
08/07/2023,$0.50,"18,889",$0.5126,$0.5221,$0.50
08/04/2023,$0.5187,"5,352",$0.525,$0.525,$0.5145
08/03/2023,$0.5155,"5,996",$0.5549,$0.5549,$0.5155
08/02/2023,$0.555,"32,462",$0.5155,$0.555,$0.5155
08/01/2023,$0.5078,"6,162",$0.50,$0.5124,$0.50
07/31/2023,$0.50,"17,292",$0.51,$0.53,$0.4991
07/28/2023,$0.51,"6,704",$0.495,$0.515,$0.495
07/27/2023,$0.4905,"42,122",$0.5126,$0.5126,$0.4905
07/26/2023,$0.5126,"1,154",$0.5139,$0.5139,$0.5075
07/25/2023,$0.5125,"16,622",$0.5125,$0.5125,$0.5075
07/24/2023,$0.5125,"11,876",$0.55,$0.55,$0.5026
07/21/2023,$0.55,"28,198",$0.54,$0.55,$0.5102
07/20/2023,$0.5205,"48,476",$0.55,$0.568,$0.50
07/19/2023,$0.60,"15,339",$0.605,$0.605,$0.5428
07/18/2023,$0.5699,"14,603",$0.605,$0.605,$0.5429
07/17/2023,$0.59,"12,325",$0.63,$0.6304,$0.5881
07/14/2023,$0.6179,"4,377",$0.6113,$0.634,$0.5881
07/13/2023,$0.638,"89,595",$0.60,$0.6625,$0.571
07/12/2023,$0.638,"107,241",$0.56,$0.6395,$0.54
07/11/2023,$0.565,"47,615",$0.57,$0.5821,$0.55
07/10/2023,$0.5471,"84,232",$0.6208,$0.7099,$0.5219
07/07/2023,$0.64,"123,257",$0.53,$0.68,$0.53
07/06/2023,$0.52,"36,007",$0.5169,$0.55,$0.5001
07/05/2023,$0.5036,"3,059",$0.55,$0.57,$0.5036
07/03/2023,$0.57,"1,805",$0.56,$0.57,$0.54
06/30/2023,$0.54,"2,517",$0.5263,$0.54,$0.5101
06/29/2023,$0.54,"27,585",$0.58,$0.58,$0.50
06/28/2023,$0.57,"8,635",$0.52,$0.57,$0.5001
06/27/2023,$0.52,"7,698",$0.53,$0.60,$0.52
06/26/2023,$0.5201,"4,820",$0.5201,$0.5201,$0.52
06/23/2023,$0.4887,"38,077",$0.51,$0.565,$0.4887
06/22/2023,$0.55,"13,855",$0.5095,$0.555,$0.49
06/21/2023,$0.5291,"23,912",$0.51,$0.5349,$0.47
06/20/2023,$0.535,"6,502",$0.54,$0.54,$0.535
06/16/2023,$0.56,"56,053",$0.56,$0.60,$0.56
06/15/2023,$0.5553,"31,812",$0.5497,$0.60,$0.5432
06/14/2023,$0.5432,"11,280",$0.57,$0.58,$0.532
06/13/2023,$0.57,"17,742",$0.5078,$0.62,$0.501
06/12/2023,$0.5296,"19,971",$0.52,$0.5296,$0.50
06/09/2023,$0.52,"174,140",$0.52,$0.6207,$0.52
06/08/2023,$0.52,"28,111",$0.57,$0.58,$0.52
06/07/2023,$0.52,"25,184",$0.5299,$0.5714,$0.52
06/06/2023,$0.5215,"14,328",$0.5203,$0.56,$0.5201
06/05/2023,$0.5203,"11,487",$0.56,$0.56,$0.52
06/02/2023,$0.56,"9,047",$0.527,$0.5763,$0.52
06/01/2023,$0.5262,"8,544",$0.50,$0.5512,$0.50
05/31/2023,$0.5012,"14,563",$0.54,$0.54,$0.5001
05/30/2023,$0.5501,876,$0.55,$0.5501,$0.55
05/26/2023,$0.5544,"1,330",$0.5999,$0.5999,$0.5401
05/25/2023,$0.56,"12,901",$0.54,$0.60,$0.54
05/24/2023,$0.57,"52,326",$0.62,$0.62,$0.5555
05/23/2023,$0.5645,"27,369",$0.5389,$0.60,$0.5389
05/22/2023,$0.5416,"8,834",$0.5774,$0.5999,$0.5323
05/19/2023,$0.5822,"28,947",$0.6203,$0.6574,$0.56
05/18/2023,$0.6075,"25,859",$0.64,$0.6984,$0.6075
05/17/2023,$0.6775,"155,615",$0.60,$0.6775,$0.60
05/16/2023,$0.50,"45,152",$0.51,$0.51,$0.4602
05/15/2023,$0.5101,"32,885",$0.5237,$0.5237,$0.5101
05/12/2023,$0.5237,"52,970",$0.4412,$0.5888,$0.44
05/11/2023,$0.454,"78,343",$0.5117,$0.5117,$0.4424
05/10/2023,$0.4501,"400,671",$0.3557,$0.53,$0.3301
05/09/2023,$0.36,"225,793",$0.31,$0.3779,$0.29
05/08/2023,$0.305,"207,055",$0.296,$0.305,$0.28
05/05/2023,$0.29,"236,977",$0.3045,$0.3089,$0.29
05/04/2023,$0.29,"114,102",$0.325,$0.3399,$0.29
05/03/2023,$0.30,"274,857",$0.2999,$0.3253,$0.2999
05/02/2023,$0.2926,"220,681",$0.3398,$0.3398,$0.29
05/01/2023,$0.3237,"366,391",$0.33,$0.42,$0.305
04/28/2023,$0.305,"188,745",$0.31,$0.3281,$0.305
04/27/2023,$0.305,"12,952",$0.3204,$0.3333,$0.305
04/26/2023,$0.3175,"16,043",$0.3202,$0.3362,$0.28
04/25/2023,$0.305,"25,422",$0.33,$0.3405,$0.3001
04/24/2023,$0.33,"21,142",$0.33,$0.34,$0.33
04/21/2023,$0.34,"23,245",$0.3249,$0.3499,$0.32
04/20/2023,$0.342,"79,050",$0.3605,$0.371,$0.34
04/19/2023,$0.38,"29,146",$0.37,$0.40,$0.3501
04/18/2023,$0.37,"32,095",$0.38,$0.3865,$0.37
04/17/2023,$0.3899,"22,939",$0.39,$0.39,$0.38
04/14/2023,$0.39,"33,930",$0.395,$0.41,$0.3899
04/13/2023,$0.395,"63,704",$0.39,$0.405,$0.39
04/12/2023,$0.40,"34,946",$0.4038,$0.4328,$0.40
04/11/2023,$0.425,"10,894",$0.45,$0.45,$0.42
04/10/2023,$0.4346,"28,969",$0.42,$0.4499,$0.39
04/06/2023,$0.4556,"85,317",$0.43,$0.4699,$0.43
04/05/2023,$0.45,"19,916",$0.45,$0.46,$0.42
04/04/2023,$0.46,"26,376",$0.46,$0.47,$0.45
04/03/2023,$0.4496,"18,259",$0.48,$0.48,$0.4188
03/31/2023,$0.48,"38,507",$0.50,$0.50,$0.4488
03/30/2023,$0.4801,"10,875",$0.48,$0.4801,$0.48
03/29/2023,$0.48,"12,818",$0.48,$0.495,$0.48
03/28/2023,$0.47,"84,566",$0.58,$0.6101,$0.47
03/27/2023,$0.57,"45,909",$0.51,$0.57,$0.4964
03/24/2023,$0.56,"13,189",$0.58,$0.595,$0.5128
03/23/2023,$0.56,"30,161",$0.56,$0.57,$0.56
03/22/2023,$0.5711,"12,331",$0.60,$0.63,$0.56
03/21/2023,$0.6305,"11,118",$0.6501,$0.6846,$0.60
03/20/2023,$0.65,"7,099",$0.67,$0.6999,$0.65
03/17/2023,$0.70,"5,184",$0.70,$0.70,$0.675
03/16/2023,$0.70,"3,037",$0.674,$0.70,$0.674
03/15/2023,$0.67,"5,289",$0.7397,$0.7459,$0.67
03/14/2023,$0.6897,"10,600",$0.69,$0.746,$0.6897
03/13/2023,$0.696,"29,922",$0.75,$0.755,$0.696
03/10/2023,$0.7511,"75,675",$0.78,$0.83,$0.75
03/09/2023,$0.78,"1,430",$0.80,$0.80,$0.78
03/08/2023,$0.78,"3,886",$0.805,$0.8295,$0.78
03/07/2023,$0.8025,"13,914",$0.765,$0.8037,$0.765
03/06/2023,$0.78,"4,921",$0.785,$0.785,$0.7775
03/03/2023,$0.8101,"6,985",$0.795,$0.8199,$0.76
03/02/2023,$0.7799,"18,216",$0.816,$0.816,$0.76
03/01/2023,$0.816,"30,091",$0.863,$0.87,$0.816
02/28/2023,$0.86,"5,038",$0.86,$0.9188,$0.86
02/27/2023,$0.8895,"2,295",$0.86,$0.8895,$0.86
02/24/2023,$0.8632,"4,883",$0.9242,$0.9485,$0.85
02/23/2023,$0.9498,"7,753",$0.93,$0.9499,$0.9001
02/22/2023,$0.88,"2,816",$0.86,$0.93,$0.86
02/21/2023,$0.86,"1,933",$0.8844,$0.9089,$0.8599
02/17/2023,$0.9098,"1,705",$0.88,$0.9099,$0.8485
02/16/2023,$0.8794,"1,812",$0.8525,$0.8794,$0.8525
02/15/2023,$0.9025,"5,640",$0.883,$0.9025,$0.85
02/14/2023,$0.9025,"1,634",$0.883,$0.91,$0.883
02/13/2023,$0.8822,"1,515",$0.8447,$0.8822,$0.84
02/10/2023,$0.8799,"1,426",$0.8116,$0.9115,$0.8116
02/09/2023,$0.8616,"1,598",$0.8937,$0.8937,$0.84
02/08/2023,$0.8674,"5,669",$0.90,$0.93,$0.8258
02/07/2023,$0.9258,"2,748",$0.9588,$0.9588,$0.9258
02/06/2023,$0.9093,"4,164",$0.91,$0.9555,$0.9093
02/03/2023,$0.9599,"2,632",$0.9648,$0.9648,$0.9197
02/02/2023,$0.9696,"14,777",$0.98,$0.98,$0.9577
02/01/2023,$0.93,"33,195",$0.8799,$0.9535,$0.85
01/31/2023,$0.8608,"9,480",$0.863,$0.8798,$0.84
01/30/2023,$0.86,"4,851",$0.8799,$0.8799,$0.8495
01/27/2023,$0.8798,"11,611",$0.84,$0.8799,$0.84
01/26/2023,$0.8799,"7,348",$0.8549,$0.8799,$0.853
01/25/2023,$0.8799,"2,771",$0.8495,$0.8799,$0.8461
01/24/2023,$0.8634,"1,027",$0.863,$0.8634,$0.863
01/23/2023,$0.8799,"7,283",$0.88,$0.88,$0.8641
01/20/2023,$0.8799,"24,333",$0.73,$0.8799,$0.73
01/19/2023,$0.78,"15,768",$0.7899,$0.79,$0.7204
01/18/2023,$0.76,"6,703",$0.81,$0.81,$0.7533
01/17/2023,$0.7999,"17,453",$0.75,$0.7999,$0.75
01/13/2023,$0.75,"8,368",$0.72,$0.7699,$0.70
01/12/2023,$0.7199,"8,317",$0.7799,$0.7799,$0.7143
01/11/2023,$0.7303,"1,526",$0.7302,$0.7303,$0.7203
01/10/2023,$0.7052,"1,509",$0.7303,$0.7303,$0.7052
01/09/2023,$0.725,"3,483",$0.7299,$0.73,$0.72
01/06/2023,$0.7159,"10,799",$0.70,$0.7399,$0.70
01/05/2023,$0.70,"1,260",$0.7399,$0.7399,$0.70
01/04/2023,$0.735,"4,992",$0.6901,$0.7401,$0.69
01/03/2023,$0.6901,"9,216",$0.75,$0.75,$0.6701
12/30/2022,$0.7399,"26,572",$0.69,$0.7399,$0.66
12/29/2022,$0.6674,"132,768",$0.7199,$0.7299,$0.6674
12/28/2022,$0.68,"30,844",$0.68,$0.7199,$0.6569
12/27/2022,$0.6997,"53,037",$0.7199,$0.72,$0.6705
12/23/2022,$0.70,"21,826",$0.70,$0.7199,$0.70
12/22/2022,$0.7099,"3,752",$0.70,$0.7199,$0.6999
12/21/2022,$0.7024,"32,616",$0.71,$0.7125,$0.6999
12/20/2022,$0.6996,"24,409",$0.7099,$0.7099,$0.6996
12/19/2022,$0.6998,"17,314",$0.7399,$0.7399,$0.6998
12/16/2022,$0.73,"8,469",$0.70,$0.7678,$0.6999
12/15/2022,$0.7179,"12,308",$0.72,$0.79,$0.70
12/14/2022,$0.74,"39,466",$0.739,$0.76,$0.70
12/13/2022,$0.71,"116,866",$0.61,$0.76,$0.60
12/12/2022,$0.75,"23,338",$0.7601,$0.7999,$0.7277
12/09/2022,$0.8095,"28,370",$0.80,$0.8299,$0.80
12/08/2022,$0.8298,"13,893",$0.81,$0.8299,$0.77
12/07/2022,$0.8489,"37,780",$0.7278,$0.849,$0.7278
12/06/2022,$0.749,"34,007",$0.74,$0.7812,$0.74
12/05/2022,$0.7599,"45,892",$0.83,$0.83,$0.7399
12/02/2022,$0.8399,"85,902",$0.68,$0.85,$0.65
12/01/2022,$0.6337,"65,286",$0.4999,$0.6337,$0.4999
11/30/2022,$0.485,"4,489",$0.4601,$0.4899,$0.4601
11/29/2022,$0.4935,"11,048",$0.4501,$0.4935,$0.4401
11/28/2022,$0.4999,"4,184",$0.4609,$0.50,$0.46
11/25/2022,$0.4719,"15,065",$0.50,$0.50,$0.4719
11/23/2022,$0.475,"27,463",$0.50,$0.50,$0.459
11/22/2022,$0.4752,"40,968",$0.4401,$0.50,$0.44
11/21/2022,$0.47,"15,172",$0.44,$0.525,$0.4249
11/18/2022,$0.475,"39,929",$0.44,$0.51,$0.425
11/17/2022,$0.445,"61,622",$0.50,$0.52,$0.445
11/16/2022,$0.55,"104,421",$0.62,$0.6374,$0.495
11/15/2022,$0.5875,"30,508",$0.7057,$0.7057,$0.5874
11/14/2022,$0.70,"7,108",$0.7333,$0.7333,$0.70
11/11/2022,$0.7044,"39,973",$0.722,$0.748,$0.7044
11/10/2022,$0.74,"11,565",$0.7908,$0.7908,$0.74
11/09/2022,$0.705,"7,820",$0.71,$0.7599,$0.705
11/08/2022,$0.71,"10,683",$0.72,$0.7511,$0.7044
11/07/2022,$0.7222,"6,764",$0.73,$0.7665,$0.7222
11/04/2022,$0.76,"10,104",$0.73,$0.76,$0.73
11/03/2022,$0.7555,"6,399",$0.7555,$0.7565,$0.7555
11/02/2022,$0.76,"7,512",$0.7611,$0.7967,$0.76
11/01/2022,$0.7611,"20,123",$0.7611,$0.8599,$0.76
10/31/2022,$0.76,"11,033",$0.8051,$0.8051,$0.76
10/28/2022,$0.7907,"29,238",$0.80,$0.8595,$0.746
10/27/2022,$0.7449,"71,554",$0.8222,$0.8649,$0.7044
10/26/2022,$0.8611,"17,335",$1.02,$1.02,$0.8611
10/25/2022,$1.04,"92,838",$0.82,$1.05,$0.81
10/24/2022,$0.82,"7,145",$0.81,$0.82,$0.81
10/21/2022,$0.79,930,$0.79,$0.79,$0.79
10/20/2022,$0.78,"17,966",$0.82,$0.82,$0.78
10/19/2022,$0.90,"4,572",$0.925,$0.95,$0.90
10/18/2022,$0.90,"2,350",$0.95,$0.95,$0.90
10/17/2022,$0.8102,"22,361",$0.81,$0.9149,$0.81
10/14/2022,$0.815,"29,036",$0.82,$0.86,$0.81
10/13/2022,$0.89,"2,061",$0.85,$0.89,$0.83
