Date,Close,Volume,Open,High,Low
03/01/2024,$14.68,"55,793",$15.10,$15.10,$14.5408
02/29/2024,$15.03,"74,108",$14.88,$15.47,$14.775
02/28/2024,$14.69,"101,273",$16.01,$16.01,$14.61
02/27/2024,$15.85,"150,137",$15.42,$15.98,$15.30
02/26/2024,$15.22,"100,164",$15.23,$15.5199,$15.00
02/23/2024,$15.00,"149,313",$14.39,$15.17,$14.15
02/22/2024,$14.24,"128,426",$13.42,$14.3875,$13.4011
02/21/2024,$13.41,"53,870",$13.40,$13.41,$12.90
02/20/2024,$13.25,"168,752",$12.42,$13.27,$12.35
02/16/2024,$12.42,"191,749",$12.34,$12.45,$11.97
02/15/2024,$12.36,"151,355",$12.12,$12.52,$11.76
02/14/2024,$12.10,"136,751",$11.77,$12.11,$11.77
02/13/2024,$11.87,"71,344",$11.905,$12.06,$11.66
02/12/2024,$12.00,"54,857",$12.18,$12.235,$11.80
02/09/2024,$12.22,"72,114",$12.22,$12.3399,$12.095
02/08/2024,$12.14,"93,438",$12.43,$12.43,$11.9349
02/07/2024,$12.40,"39,776",$12.35,$12.49,$12.1201
02/06/2024,$12.35,"49,478",$12.40,$12.4289,$12.24
02/05/2024,$12.39,"54,756",$12.45,$12.45,$11.89
02/02/2024,$12.50,"48,915",$11.90,$12.50,$11.90
02/01/2024,$12.07,"43,976",$12.27,$12.5299,$11.82
01/31/2024,$12.13,"28,655",$12.00,$12.21,$11.93
01/30/2024,$12.14,"139,727",$12.40,$12.75,$11.35
01/29/2024,$12.36,"51,093",$12.08,$12.40,$12.05
01/26/2024,$12.22,"30,934",$12.305,$12.31,$12.00
01/25/2024,$12.32,"54,272",$12.07,$12.33,$12.0322
01/24/2024,$11.84,"121,291",$12.00,$12.388,$11.76
01/23/2024,$11.91,"18,034",$12.25,$12.25,$11.90
01/22/2024,$12.01,"59,311",$11.93,$12.25,$11.91
01/19/2024,$11.78,"77,168",$11.60,$12.04,$11.50
01/18/2024,$11.52,"53,884",$11.18,$11.6876,$11.08
01/17/2024,$11.07,"52,492",$11.50,$11.50,$10.7501
01/16/2024,$11.46,"109,486",$11.15,$11.67,$11.0801
01/12/2024,$11.15,"27,429",$11.11,$11.15,$10.89
01/11/2024,$11.02,"37,589",$11.02,$11.20,$10.91
01/10/2024,$11.09,"43,125",$10.8398,$11.175,$10.6337
01/09/2024,$10.76,"23,795",$10.25,$10.84,$10.21
01/08/2024,$10.39,"37,508",$10.74,$10.88,$10.19
01/05/2024,$10.74,"40,049",$10.60,$10.90,$10.5916
01/04/2024,$10.60,"63,680",$10.15,$10.721,$10.0501
01/03/2024,$10.06,"71,444",$10.28,$10.5299,$9.66
01/02/2024,$10.29,"25,018",$10.08,$10.31,$9.88
12/29/2023,$10.01,"101,266",$10.19,$10.285,$10.00
12/28/2023,$10.19,"42,439",$10.40,$10.50,$10.01
12/27/2023,$10.68,"39,391",$10.38,$10.70,$10.32
12/26/2023,$10.46,"27,984",$10.33,$10.58,$10.33
12/22/2023,$10.45,"58,076",$10.90,$10.915,$10.01
12/21/2023,$11.00,"37,588",$11.27,$11.27,$10.93
12/20/2023,$11.12,"49,875",$11.00,$11.15,$10.91
12/19/2023,$11.00,"26,736",$10.63,$11.00,$10.5511
12/18/2023,$10.65,"38,846",$10.95,$10.99,$10.57
12/15/2023,$10.87,"149,029",$10.60,$10.98,$10.00
12/14/2023,$10.60,"117,482",$10.22,$10.61,$10.09
12/13/2023,$10.28,"214,395",$10.10,$10.35,$10.08
12/12/2023,$10.11,"46,868",$10.09,$10.25,$10.05
12/11/2023,$10.05,"31,995",$10.00,$10.19,$9.99
12/08/2023,$9.95,"62,898",$9.90,$10.09,$9.75
12/07/2023,$9.91,"36,672",$10.05,$10.05,$9.7401
12/06/2023,$10.09,"51,662",$10.17,$10.17,$9.6401
12/05/2023,$10.00,"30,805",$10.01,$10.0601,$9.91
12/04/2023,$10.11,"37,498",$10.08,$10.299,$9.86
12/01/2023,$10.30,"20,355",$10.35,$10.35,$10.2701
11/30/2023,$10.26,"46,214",$10.33,$10.34,$10.12
11/29/2023,$10.22,"32,301",$10.33,$10.33,$10.1235
11/28/2023,$10.28,"28,356",$10.14,$10.33,$9.878
11/27/2023,$10.10,"48,434",$9.66,$10.225,$9.66
11/24/2023,$9.66,"16,956",$9.58,$9.82,$9.30
11/22/2023,$9.56,"50,784",$9.23,$9.63,$9.15
11/21/2023,$9.36,"31,349",$9.40,$9.455,$9.13
11/20/2023,$9.36,"67,030",$9.30,$9.47,$8.9352
11/17/2023,$9.38,"33,294",$9.22,$9.52,$9.16
11/16/2023,$9.21,"30,227",$9.37,$9.38,$9.09
11/15/2023,$9.21,"101,624",$9.94,$9.94,$9.01
11/14/2023,$9.55,"37,355",$9.65,$9.75,$9.27
11/13/2023,$9.50,"48,734",$9.85,$9.85,$9.19
11/10/2023,$9.81,"20,645",$10.00,$10.00,$9.63
11/09/2023,$9.97,"19,410",$9.94,$10.00,$9.831
11/08/2023,$9.95,"32,424",$9.99,$10.00,$9.78
11/07/2023,$9.83,"26,809",$9.89,$10.00,$9.70
11/06/2023,$9.91,"24,217",$10.00,$10.00,$9.625
11/03/2023,$9.90,"48,194",$10.00,$10.00,$9.79
11/02/2023,$9.83,"30,013",$9.82,$10.00,$9.62
11/01/2023,$9.80,"26,406",$9.83,$9.9799,$9.6601
10/31/2023,$9.74,"21,658",$9.9849,$9.9899,$9.5401
10/30/2023,$9.87,"19,907",$9.81,$9.98,$9.53
