Date,Close,Volume,Open,High,Low
03/01/2024,$14.49,"306,008",$14.55,$14.57,$14.41
02/29/2024,$14.54,"275,357",$14.43,$14.58,$14.41
02/28/2024,$14.33,"227,607",$14.37,$14.41,$14.31
02/27/2024,$14.38,"282,104",$14.47,$14.4744,$14.305
02/26/2024,$14.40,"285,901",$14.39,$14.532,$14.34
02/23/2024,$14.35,"399,305",$14.41,$14.63,$14.34
02/22/2024,$14.39,"390,381",$14.40,$14.53,$14.335
02/21/2024,$14.35,"366,457",$14.36,$14.47,$14.27
02/20/2024,$14.33,"506,513",$14.18,$14.40,$14.05
02/16/2024,$14.22,"304,914",$14.21,$14.28,$14.085
02/15/2024,$14.22,"264,637",$13.99,$14.2255,$13.99
02/14/2024,$14.00,"221,844",$14.05,$14.085,$13.97
02/13/2024,$13.90,"359,566",$14.04,$14.09,$13.851
02/12/2024,$14.17,"350,669",$13.98,$14.175,$13.96
02/09/2024,$13.92,"374,979",$14.01,$14.025,$13.845
02/08/2024,$13.97,"502,761",$13.94,$14.025,$13.83
02/07/2024,$13.94,"277,910",$13.98,$13.995,$13.84
02/06/2024,$13.86,"448,967",$13.90,$13.98,$13.84
02/05/2024,$13.88,"544,750",$13.94,$13.98,$13.82
02/02/2024,$13.94,"504,517",$13.78,$13.9999,$13.76
02/01/2024,$13.83,"532,416",$13.95,$13.965,$13.62
01/31/2024,$13.87,"472,045",$14.13,$14.165,$13.87
01/30/2024,$14.11,"395,889",$14.12,$14.205,$14.08
01/29/2024,$14.12,"606,392",$14.01,$14.19,$13.985
01/26/2024,$14.01,"405,974",$13.99,$14.09,$13.95
01/25/2024,$13.99,"609,735",$13.89,$14.00,$13.805
01/24/2024,$13.78,"736,709",$13.75,$13.95,$13.71
01/23/2024,$13.68,"1,080,570",$13.885,$13.885,$13.55
01/22/2024,$13.83,"2,230,964",$14.19,$14.44,$13.64
01/19/2024,$14.16,"370,347",$14.39,$14.39,$14.035
01/18/2024,$14.21,"490,422",$14.49,$14.49,$14.07
01/17/2024,$14.27,"489,650",$14.30,$14.3763,$14.1648
01/16/2024,$14.39,"554,259",$14.55,$14.59,$14.30
01/12/2024,$14.55,"313,470",$14.71,$14.78,$14.53
01/11/2024,$14.63,"350,908",$14.61,$14.65,$14.385
01/10/2024,$14.64,"315,727",$14.70,$14.7399,$14.61
01/09/2024,$14.69,"314,737",$14.83,$14.83,$14.67
01/08/2024,$14.87,"489,732",$15.00,$15.02,$14.8002
01/05/2024,$14.98,"444,165",$14.89,$15.04,$14.8476
01/04/2024,$14.99,"584,982",$14.66,$15.08,$14.66
01/03/2024,$14.66,"381,904",$14.50,$14.73,$14.40
01/02/2024,$14.53,"661,642",$14.66,$14.67,$14.261
12/29/2023,$14.53,"496,059",$14.76,$14.80,$14.486
12/28/2023,$14.80,"452,661",$14.87,$14.91,$14.6601
12/27/2023,$15.23,"618,397",$15.30,$15.37,$15.17
12/26/2023,$15.28,"547,705",$15.30,$15.415,$15.2226
12/22/2023,$15.22,"306,769",$15.23,$15.285,$15.18
12/21/2023,$15.18,"448,005",$15.24,$15.24,$15.02
12/20/2023,$15.13,"732,018",$15.29,$15.395,$15.12
12/19/2023,$15.40,"802,984",$15.30,$15.44,$15.25
12/18/2023,$15.30,"617,185",$15.35,$15.35,$15.23
12/15/2023,$15.22,"1,451,146",$15.36,$15.36,$15.03
12/14/2023,$14.98,"716,790",$14.99,$15.12,$14.95
12/13/2023,$14.94,"431,340",$14.76,$14.98,$14.69
12/12/2023,$14.73,"327,434",$14.79,$14.80,$14.67
12/11/2023,$14.71,"336,409",$14.85,$14.86,$14.68
12/08/2023,$14.83,"365,424",$14.72,$14.845,$14.715
12/07/2023,$14.75,"520,259",$14.79,$14.8299,$14.69
12/06/2023,$14.79,"213,098",$14.74,$14.84,$14.74
12/05/2023,$14.69,"208,185",$14.73,$14.73,$14.63
12/04/2023,$14.755,"237,116",$14.75,$14.82,$14.75
12/01/2023,$14.79,"197,540",$14.75,$14.86,$14.68
11/30/2023,$14.76,"183,411",$14.70,$14.77,$14.625
11/29/2023,$14.68,"213,275",$14.76,$14.85,$14.64
11/28/2023,$14.73,"388,299",$14.85,$14.86,$14.58
11/27/2023,$14.86,"290,482",$14.97,$14.99,$14.7725
11/24/2023,$14.99,"322,251",$14.81,$15.0575,$14.81
11/22/2023,$14.81,"288,421",$14.89,$14.89,$14.7686
11/21/2023,$14.77,"250,790",$14.77,$14.93,$14.75
11/20/2023,$14.79,"488,757",$14.57,$14.83,$14.56
11/17/2023,$14.57,"194,586",$14.51,$14.5999,$14.48
11/16/2023,$14.50,"239,076",$14.56,$14.63,$14.46
11/15/2023,$14.56,"306,142",$14.53,$14.64,$14.47
11/14/2023,$14.48,"415,271",$14.58,$14.60,$14.38
11/13/2023,$14.45,"252,803",$14.41,$14.56,$14.32
11/10/2023,$14.45,"181,515",$14.30,$14.50,$14.2701
11/09/2023,$14.30,"197,183",$14.44,$14.60,$14.275
11/08/2023,$14.45,"247,284",$14.43,$14.50,$14.35
11/07/2023,$14.345,"326,036",$14.40,$14.445,$14.27
11/06/2023,$14.40,"339,267",$14.60,$14.60,$14.29
11/03/2023,$14.59,"319,294",$14.67,$14.76,$14.53
11/02/2023,$14.58,"396,220",$14.40,$14.61,$14.26
11/01/2023,$14.29,"415,521",$13.89,$14.315,$13.73
10/31/2023,$13.73,"352,736",$13.69,$13.87,$13.55
10/30/2023,$13.60,"271,639",$13.57,$13.73,$13.49
10/27/2023,$13.41,"244,540",$13.58,$13.6698,$13.32
10/26/2023,$13.54,"227,916",$13.51,$13.6699,$13.44
10/25/2023,$13.47,"290,457",$13.62,$13.77,$13.30
10/24/2023,$13.62,"265,327",$13.58,$13.78,$13.41
10/23/2023,$13.35,"412,676",$13.60,$13.60,$13.21
10/20/2023,$13.65,"344,726",$13.79,$13.79,$13.37
10/19/2023,$13.51,"358,620",$13.77,$13.805,$13.455
10/18/2023,$13.73,"340,175",$13.96,$14.0281,$13.65
10/17/2023,$13.99,"182,400",$14.08,$14.105,$13.9699
10/16/2023,$14.10,"328,201",$14.00,$14.1887,$13.9207
10/13/2023,$13.88,"326,221",$14.17,$14.30,$13.8158
10/12/2023,$14.02,"535,964",$13.77,$14.09,$13.66
10/11/2023,$13.78,"325,061",$13.69,$13.93,$13.68
10/10/2023,$13.61,"175,112",$13.55,$13.76,$13.55
10/09/2023,$13.54,"145,316",$13.53,$13.65,$13.4749
10/06/2023,$13.60,"243,238",$13.37,$13.705,$13.3684
10/05/2023,$13.39,"237,857",$13.49,$13.529,$13.35
10/04/2023,$13.50,"264,003",$13.39,$13.55,$13.27
10/03/2023,$13.33,"460,765",$13.62,$13.62,$13.26
10/02/2023,$13.71,"331,182",$13.93,$14.01,$13.68
09/29/2023,$13.92,"260,216",$14.18,$14.23,$13.92
09/28/2023,$14.15,"343,291",$13.79,$14.20,$13.79
09/27/2023,$14.38,"521,163",$14.35,$14.48,$14.25
09/26/2023,$14.31,"436,400",$14.55,$14.64,$14.30
09/25/2023,$14.53,"320,917",$14.51,$14.655,$14.45
09/22/2023,$14.50,"233,988",$14.43,$14.665,$14.40
09/21/2023,$14.36,"281,390",$14.71,$14.75,$14.34
09/20/2023,$14.74,"331,627",$14.96,$14.96,$14.72
09/19/2023,$14.90,"365,455",$14.91,$14.9775,$14.71
09/18/2023,$14.90,"420,719",$14.84,$14.97,$14.7158
09/15/2023,$14.78,"577,076",$14.76,$14.885,$14.69
09/14/2023,$14.73,"553,081",$14.57,$14.76,$14.4482
09/13/2023,$14.34,"255,463",$14.25,$14.42,$14.25
09/12/2023,$14.25,"209,471",$14.55,$14.55,$14.19
09/11/2023,$14.33,"254,310",$14.40,$14.40,$14.21
09/08/2023,$14.26,"196,853",$14.23,$14.35,$14.16
09/07/2023,$14.24,"328,453",$14.20,$14.31,$13.90
09/06/2023,$14.23,"261,169",$14.24,$14.3456,$14.06
09/05/2023,$14.31,"279,605",$14.54,$14.605,$14.22
09/01/2023,$14.55,"232,227",$14.65,$14.68,$14.51
08/31/2023,$14.65,"305,617",$14.57,$14.66,$14.49
08/30/2023,$14.49,"272,523",$14.62,$14.62,$14.3804
08/29/2023,$14.58,"316,272",$14.55,$14.66,$14.38
08/28/2023,$14.48,"174,445",$14.43,$14.59,$14.39
08/25/2023,$14.37,"116,784",$14.35,$14.46,$14.26
08/24/2023,$14.27,"202,106",$14.52,$14.59,$14.26
08/23/2023,$14.53,"587,917",$14.22,$14.62,$14.21
08/22/2023,$14.17,"452,283",$14.58,$14.63,$14.165
08/21/2023,$14.35,"195,212",$14.40,$14.40,$14.1538
08/18/2023,$14.30,"393,184",$14.28,$14.39,$14.02
08/17/2023,$14.35,"1,253,854",$13.98,$14.46,$13.98
08/16/2023,$13.98,"301,370",$14.20,$14.27,$13.9566
08/15/2023,$14.18,"258,815",$14.28,$14.28,$14.06
08/14/2023,$14.32,"258,005",$14.39,$14.39,$14.21
