Date,Close,Volume,Open,High,Low
03/01/2024,$78.71,"1,717,045",$77.08,$79.18,$76.34
02/29/2024,$77.63,"2,369,275",$76.30,$78.25,$75.82
02/28/2024,$76.02,"1,040,206",$76.72,$77.08,$75.89
02/27/2024,$77.19,"1,432,239",$76.51,$77.34,$75.88
02/26/2024,$76.46,"1,267,514",$77.49,$77.74,$76.09
02/23/2024,$77.44,"1,583,659",$76.05,$77.57,$75.995
02/22/2024,$76.04,"925,376",$75.16,$76.49,$74.64
02/21/2024,$74.41,"1,166,240",$74.20,$74.60,$73.31
02/20/2024,$74.60,"1,477,619",$74.50,$74.99,$73.75
02/16/2024,$75.07,"2,742,314",$75.88,$76.31,$74.96
02/15/2024,$76.79,"1,724,638",$77.74,$78.99,$76.47
02/14/2024,$77.53,"3,792,194",$74.61,$77.57,$74.09
02/13/2024,$73.50,"4,142,558",$73.50,$75.82,$71.50
02/12/2024,$70.60,"2,346,004",$69.27,$71.04,$69.27
02/09/2024,$69.21,"1,495,885",$69.25,$69.5535,$68.51
02/08/2024,$69.21,"1,727,758",$68.33,$69.81,$67.85
02/07/2024,$68.63,"2,091,499",$68.36,$69.87,$67.24
02/06/2024,$67.95,"1,472,727",$67.68,$68.065,$67.04
02/05/2024,$67.89,"1,257,206",$68.71,$68.80,$67.20
02/02/2024,$69.00,"1,793,045",$69.68,$69.72,$67.79
02/01/2024,$70.48,"1,438,885",$69.76,$70.73,$68.43
01/31/2024,$69.19,"2,064,610",$68.75,$70.97,$68.495
01/30/2024,$68.81,"916,010",$69.64,$70.1475,$68.69
01/29/2024,$70.13,"1,448,378",$67.90,$70.68,$67.82
01/26/2024,$67.69,"1,730,990",$69.64,$69.875,$67.66
01/25/2024,$69.45,"1,001,613",$70.26,$70.58,$68.19
01/24/2024,$69.57,"751,633",$71.29,$71.29,$69.47
01/23/2024,$70.40,"904,412",$70.72,$70.89,$69.74
01/22/2024,$70.06,"1,105,032",$69.97,$70.34,$69.24
01/19/2024,$68.95,"1,595,693",$67.76,$69.28,$67.00
01/18/2024,$67.76,"1,599,977",$69.49,$69.51,$66.46
01/17/2024,$68.74,"2,905,622",$69.11,$69.33,$67.38
01/16/2024,$69.81,"2,823,783",$67.56,$70.09,$67.15
01/12/2024,$68.50,"1,814,645",$68.37,$68.63,$67.25
01/11/2024,$67.70,"2,056,583",$67.19,$67.72,$66.365
01/10/2024,$67.31,"983,750",$66.50,$67.69,$66.10
01/09/2024,$65.92,"1,088,343",$66.465,$67.16,$65.65
01/08/2024,$67.57,"1,183,958",$65.19,$67.59,$65.17
01/05/2024,$64.99,"1,971,166",$63.14,$65.26,$63.06
01/04/2024,$63.51,"2,065,844",$63.71,$64.61,$63.03
01/03/2024,$63.89,"1,877,480",$65.38,$65.585,$63.41
01/02/2024,$66.56,"1,309,011",$67.75,$68.465,$66.275
12/29/2023,$68.71,"780,685",$69.27,$69.9779,$68.45
12/28/2023,$69.23,"671,359",$68.72,$69.42,$68.44
12/27/2023,$69.29,"941,525",$69.00,$69.92,$68.53
12/26/2023,$68.99,"745,943",$68.30,$69.28,$67.88
12/22/2023,$68.05,"962,774",$68.37,$68.72,$67.495
12/21/2023,$67.99,"1,911,290",$66.90,$68.16,$66.57
12/20/2023,$66.10,"1,851,941",$68.00,$68.75,$66.01
12/19/2023,$68.67,"1,567,789",$69.08,$69.69,$68.22
12/18/2023,$68.57,"1,826,461",$69.09,$69.35,$67.895
12/15/2023,$68.59,"5,602,278",$69.50,$70.98,$68.48
12/14/2023,$69.38,"3,545,184",$69.11,$71.55,$68.97
12/13/2023,$67.78,"2,216,626",$63.81,$67.99,$63.81
12/12/2023,$63.72,"1,472,145",$62.94,$64.31,$62.425
12/11/2023,$62.87,"1,041,439",$62.49,$63.76,$62.49
12/08/2023,$62.63,"1,958,279",$62.85,$64.33,$62.49
12/07/2023,$62.64,"2,770,184",$61.63,$62.78,$61.4597
12/06/2023,$61.53,"2,318,810",$60.80,$62.40,$60.55
12/05/2023,$60.16,"2,524,182",$59.81,$60.19,$58.59
12/04/2023,$60.40,"1,601,013",$59.73,$60.57,$59.6236
12/01/2023,$60.40,"1,791,981",$58.58,$60.82,$58.58
11/30/2023,$58.72,"2,717,613",$58.84,$58.96,$57.7984
11/29/2023,$58.79,"1,179,631",$59.43,$59.93,$58.79
11/28/2023,$58.69,"2,580,739",$57.795,$58.96,$56.85
11/27/2023,$57.91,"2,607,265",$58.31,$58.6075,$57.59
11/24/2023,$59.41,"1,011,028",$59.00,$59.92,$58.39
11/22/2023,$59.19,"1,184,866",$60.21,$60.21,$58.54
11/21/2023,$59.51,"2,619,547",$59.41,$60.387,$59.34
11/20/2023,$59.96,"2,618,754",$58.16,$60.035,$58.16
11/17/2023,$58.30,"3,160,977",$57.28,$58.45,$56.84
11/16/2023,$56.70,"1,970,818",$57.45,$57.89,$56.41
11/15/2023,$57.40,"3,609,435",$55.86,$59.46,$55.61
11/14/2023,$56.04,"3,905,934",$54.23,$56.13,$54.13
11/13/2023,$52.30,"2,372,708",$52.29,$52.4633,$51.50
11/10/2023,$52.71,"2,789,793",$52.93,$53.20,$51.57
11/09/2023,$53.10,"4,331,014",$51.95,$53.17,$51.40
11/08/2023,$51.60,"2,810,641",$51.68,$52.17,$50.885
11/07/2023,$51.54,"2,980,839",$50.51,$51.84,$50.51
