Date,Close,Volume,Open,High,Low
03/01/2024,$252.42,"899,868",$254.89,$254.89,$250.25
02/29/2024,$254.32,"1,369,101",$254.48,$255.65,$251.34
02/28/2024,$252.60,"869,489",$250.00,$253.52,$249.99
02/27/2024,$251.20,"1,663,102",$243.49,$252.67,$243.40
02/26/2024,$242.71,"1,472,435",$242.68,$246.77,$242.34
02/23/2024,$243.07,"1,063,927",$239.94,$243.52,$239.15
02/22/2024,$239.71,"970,760",$235.35,$240.005,$234.48
02/21/2024,$235.38,"551,566",$236.81,$236.81,$233.8204
02/20/2024,$236.42,"759,850",$235.21,$237.4599,$234.95
02/16/2024,$236.49,"697,398",$236.59,$238.70,$235.76
02/15/2024,$237.66,"699,100",$236.72,$239.13,$236.26
02/14/2024,$235.49,"1,050,790",$235.12,$235.86,$230.935
02/13/2024,$233.32,"1,137,141",$232.06,$234.925,$230.32
02/12/2024,$236.21,"1,239,087",$236.00,$237.44,$234.46
02/09/2024,$235.08,"992,538",$231.83,$235.19,$231.33
02/08/2024,$231.83,"1,192,197",$233.84,$235.01,$230.492
02/07/2024,$233.45,"928,533",$235.06,$237.10,$233.365
02/06/2024,$233.79,"987,786",$232.56,$235.00,$230.40
02/05/2024,$230.96,"1,312,586",$231.63,$233.865,$228.7201
02/02/2024,$232.94,"1,916,363",$234.07,$234.56,$226.52
02/01/2024,$234.90,"3,009,612",$225.29,$235.41,$221.76
01/31/2024,$224.60,"2,148,303",$227.81,$228.29,$224.27
01/30/2024,$227.79,"1,283,309",$224.65,$229.54,$223.73
01/29/2024,$226.34,"2,019,736",$226.39,$230.32,$225.09
01/26/2024,$227.62,"1,078,424",$227.43,$228.06,$225.09
01/25/2024,$226.33,"1,451,394",$226.00,$226.78,$223.64
01/24/2024,$226.03,"1,329,766",$229.41,$229.50,$225.99
01/23/2024,$228.40,"1,642,506",$231.36,$232.13,$226.43
01/22/2024,$232.50,"1,586,114",$231.71,$233.41,$230.44
01/19/2024,$231.06,"1,685,089",$230.56,$233.52,$228.915
01/18/2024,$230.25,"1,421,006",$228.18,$230.86,$226.38
01/17/2024,$227.53,"2,313,180",$220.78,$227.65,$220.78
01/16/2024,$224.27,"1,636,979",$221.98,$224.35,$220.97
01/12/2024,$223.57,"1,016,192",$221.43,$224.015,$219.72
01/11/2024,$221.59,"912,462",$220.06,$221.81,$219.15
01/10/2024,$220.03,"1,220,478",$220.73,$221.40,$219.18
01/09/2024,$220.82,"1,347,801",$222.82,$224.53,$219.79
01/08/2024,$223.53,"1,290,306",$218.20,$223.71,$217.82
01/05/2024,$218.91,"1,428,953",$213.71,$219.59,$213.62
01/04/2024,$215.04,"1,250,072",$212.65,$215.98,$212.65
01/03/2024,$212.65,"1,182,520",$216.48,$216.48,$211.7575
01/02/2024,$216.565,"1,329,367",$213.26,$219.66,$212.74
12/29/2023,$215.03,"1,070,444",$216.45,$217.005,$214.22
12/28/2023,$215.90,"1,276,919",$213.17,$217.77,$212.68
12/27/2023,$212.64,"829,330",$210.73,$213.79,$209.00
12/26/2023,$210.73,"849,727",$211.50,$212.57,$210.62
12/22/2023,$211.92,"1,004,872",$212.69,$215.32,$211.325
12/21/2023,$211.70,"912,909",$212.26,$213.815,$210.93
12/20/2023,$209.78,"1,683,737",$213.92,$214.87,$209.61
12/19/2023,$216.14,"978,628",$216.37,$217.82,$215.56
12/18/2023,$215.75,"1,276,172",$217.85,$218.1775,$213.81
12/15/2023,$217.30,"2,866,212",$221.60,$221.60,$216.15
12/14/2023,$224.10,"1,856,111",$222.90,$225.86,$220.83
12/13/2023,$220.46,"1,122,850",$215.82,$221.13,$213.97
12/12/2023,$215.30,"938,802",$216.34,$216.63,$214.59
12/11/2023,$216.07,"1,234,479",$212.60,$216.635,$212.45
12/08/2023,$212.07,"1,171,480",$210.17,$212.77,$209.695
12/07/2023,$209.05,"1,093,375",$208.81,$210.02,$207.00
12/06/2023,$209.46,"1,255,969",$208.02,$211.18,$206.60
12/05/2023,$207.19,"965,377",$207.44,$208.215,$205.48
12/04/2023,$212.01,"1,364,596",$209.44,$215.89,$209.01
12/01/2023,$210.07,"1,341,652",$203.40,$210.24,$203.03
11/30/2023,$203.01,"1,426,517",$200.33,$203.28,$197.91
11/29/2023,$200.19,"841,227",$200.59,$205.37,$200.12
11/28/2023,$199.92,"847,318",$197.37,$201.26,$197.00
11/27/2023,$197.78,"1,247,431",$198.02,$199.335,$197.44
11/24/2023,$198.19,"569,263",$198.66,$199.885,$197.53
11/22/2023,$198.44,"953,565",$198.58,$200.51,$198.00
11/21/2023,$197.45,"1,210,218",$200.00,$200.00,$193.73
11/20/2023,$200.71,"947,851",$202.03,$202.67,$198.95
11/17/2023,$202.61,"986,434",$205.01,$205.01,$202.40
11/16/2023,$203.06,"1,102,231",$206.74,$207.26,$201.76
11/15/2023,$207.50,"1,454,292",$207.09,$211.07,$206.00
11/14/2023,$206.73,"1,695,455",$198.74,$207.6983,$198.74
11/13/2023,$196.10,"1,586,225",$197.65,$199.34,$196.04
11/10/2023,$198.54,"1,296,372",$195.77,$199.19,$193.60
11/09/2023,$195.08,"1,397,085",$199.00,$199.50,$193.98
11/08/2023,$199.50,"912,408",$199.72,$203.43,$197.77
11/07/2023,$199.185,"748,654",$199.90,$200.00,$197.5981
11/06/2023,$199.25,"910,731",$199.11,$200.195,$197.6977
11/03/2023,$199.28,"1,306,791",$197.51,$200.35,$196.47
11/02/2023,$195.16,"1,063,143",$192.33,$196.54,$191.385
11/01/2023,$190.56,"1,042,180",$191.75,$192.335,$188.075
10/31/2023,$192.56,"912,071",$190.76,$193.24,$190.22
10/30/2023,$191.19,"1,347,089",$189.66,$191.93,$186.06
10/27/2023,$187.81,"1,984,282",$188.09,$192.34,$187.00
10/26/2023,$188.79,"3,450,115",$187.23,$194.06,$185.00
10/25/2023,$198.07,"1,744,341",$197.40,$199.30,$196.10
10/24/2023,$198.22,"1,062,541",$198.67,$200.7947,$197.585
10/23/2023,$198.17,"1,518,886",$194.96,$199.54,$193.58
10/20/2023,$195.27,"2,212,589",$202.62,$202.62,$194.56
10/19/2023,$202.14,"887,856",$206.38,$206.94,$201.83
10/18/2023,$207.37,"1,096,480",$207.36,$209.22,$205.04
10/17/2023,$207.41,"1,377,309",$205.34,$209.28,$205.34
10/16/2023,$205.67,"1,094,774",$201.99,$206.81,$201.20
10/13/2023,$200.74,"1,650,231",$194.47,$201.385,$194.47
10/12/2023,$196.75,"1,613,298",$203.72,$203.72,$194.79
10/11/2023,$204.31,"888,692",$205.34,$205.815,$202.72
10/10/2023,$205.03,"1,029,936",$203.48,$205.71,$202.615
10/09/2023,$203.90,"1,021,796",$204.12,$205.44,$200.35
10/06/2023,$204.47,"856,094",$204.74,$206.36,$201.82
10/05/2023,$205.17,"1,175,513",$203.00,$205.51,$202.12
