Date,Close,Volume,Open,High,Low
03/01/2024,$9.70,"141,414",$9.02,$9.80,$9.00
02/29/2024,$9.04,"22,334",$9.12,$9.23,$8.98
02/28/2024,$9.05,"30,419",$9.24,$9.24,$8.945
02/27/2024,$9.25,"59,956",$9.40,$9.425,$9.10
02/26/2024,$9.25,"51,246",$9.11,$9.38,$8.90
02/23/2024,$9.13,"40,284",$9.21,$9.21,$8.81
02/22/2024,$9.39,"66,426",$9.35,$9.565,$9.18
02/21/2024,$9.41,"70,369",$8.82,$9.46,$8.82
02/20/2024,$8.82,"85,998",$9.09,$9.21,$8.5242
02/16/2024,$9.20,"97,652",$9.18,$9.75,$9.10
02/15/2024,$9.36,"294,134",$9.60,$10.00,$8.85
02/14/2024,$7.90,"56,269",$7.39,$8.13,$7.39
02/13/2024,$7.38,"25,815",$7.68,$7.7299,$7.37
02/12/2024,$7.72,"52,222",$8.01,$8.2399,$7.4501
02/09/2024,$7.87,"85,802",$7.111,$8.02,$7.00
02/08/2024,$7.19,"21,098",$6.85,$7.29,$6.85
02/07/2024,$6.85,"42,677",$6.91,$7.0951,$6.85
02/06/2024,$6.93,"37,206",$6.85,$7.09,$6.63
02/05/2024,$6.91,"34,755",$7.15,$7.15,$6.91
02/02/2024,$7.11,"24,643",$7.00,$7.18,$6.90
02/01/2024,$7.02,"29,930",$7.17,$7.32,$7.00
01/31/2024,$7.07,"22,944",$7.34,$7.34,$6.94
01/30/2024,$7.34,"37,247",$7.11,$7.45,$7.11
01/29/2024,$7.21,"23,581",$7.14,$7.26,$6.9819
01/26/2024,$7.21,"21,259",$7.40,$7.4099,$7.12
01/25/2024,$7.35,"23,797",$7.14,$7.35,$6.9901
01/24/2024,$7.05,"49,995",$7.19,$7.198,$6.94
01/23/2024,$7.08,"39,584",$7.32,$7.48,$7.08
01/22/2024,$7.26,"83,896",$7.05,$7.4196,$6.87
01/19/2024,$7.09,"44,761",$7.02,$7.20,$6.98
01/18/2024,$6.98,"35,343",$6.98,$7.0559,$6.86
01/17/2024,$7.02,"26,719",$7.01,$7.235,$6.90
01/16/2024,$7.09,"37,555",$7.45,$7.45,$7.08
