Date,Close,Volume,Open,High,Low
03/01/2024,$6.41,"4,744,728",$5.95,$6.42,$5.83
02/29/2024,$5.86,"4,148,713",$5.77,$5.8997,$5.37
02/28/2024,$5.74,"3,528,822",$5.48,$5.82,$5.48
02/27/2024,$5.55,"2,037,740",$5.61,$5.74,$5.525
02/26/2024,$5.57,"2,785,909",$5.64,$5.726,$5.40
02/23/2024,$5.73,"2,636,299",$5.64,$5.76,$5.535
02/22/2024,$5.66,"3,640,733",$5.66,$5.72,$5.56
02/21/2024,$5.64,"3,037,902",$5.53,$5.65,$5.44
02/20/2024,$5.57,"3,872,565",$5.08,$5.739,$5.03
02/16/2024,$5.10,"1,648,671",$5.10,$5.17,$5.02
02/15/2024,$5.23,"1,303,911",$5.11,$5.245,$5.097
02/14/2024,$5.05,"1,541,183",$4.97,$5.08,$4.90
02/13/2024,$4.87,"2,422,243",$4.95,$4.985,$4.78
02/12/2024,$5.18,"1,917,021",$4.85,$5.22,$4.85
02/09/2024,$4.85,"2,419,244",$4.86,$4.88,$4.66
02/08/2024,$4.86,"2,090,233",$4.97,$5.00,$4.85
02/07/2024,$4.96,"1,582,879",$5.08,$5.10,$4.93
02/06/2024,$5.09,"1,382,311",$5.13,$5.19,$5.06
02/05/2024,$5.11,"1,320,585",$5.09,$5.16,$5.03
02/02/2024,$5.24,"1,100,243",$5.26,$5.32,$5.15
02/01/2024,$5.38,"1,125,048",$5.28,$5.385,$5.195
01/31/2024,$5.26,"1,888,854",$5.37,$5.48,$5.255
01/30/2024,$5.40,"918,282",$5.44,$5.46,$5.35
01/29/2024,$5.47,"785,601",$5.44,$5.47,$5.355
01/26/2024,$5.44,"960,394",$5.49,$5.54,$5.44
01/25/2024,$5.47,"1,147,144",$5.44,$5.49,$5.335
01/24/2024,$5.315,"1,111,216",$5.59,$5.59,$5.30
01/23/2024,$5.43,"1,201,841",$5.56,$5.60,$5.385
01/22/2024,$5.44,"2,039,156",$5.51,$5.57,$5.29
01/19/2024,$5.45,"1,703,785",$5.39,$5.46,$5.2591
01/18/2024,$5.37,"1,164,862",$5.53,$5.585,$5.36
01/17/2024,$5.43,"1,179,267",$5.66,$5.70,$5.39
01/16/2024,$5.79,"1,237,302",$5.70,$5.83,$5.665
01/12/2024,$5.71,"1,021,420",$5.72,$5.81,$5.68
01/11/2024,$5.59,"1,591,348",$5.71,$5.725,$5.415
01/10/2024,$5.72,"881,429",$5.71,$5.815,$5.67
01/09/2024,$5.71,"984,934",$5.83,$5.89,$5.69
01/08/2024,$5.92,"986,479",$5.82,$5.97,$5.74
01/05/2024,$5.84,"2,079,344",$5.87,$5.99,$5.80
01/04/2024,$5.95,"1,893,841",$5.79,$5.995,$5.67
01/03/2024,$5.72,"1,878,480",$5.77,$5.88,$5.70
01/02/2024,$5.88,"1,091,264",$5.77,$5.95,$5.74
12/29/2023,$5.78,"892,185",$5.89,$5.90,$5.78
12/28/2023,$5.90,"1,247,181",$5.81,$5.95,$5.7531
12/27/2023,$5.82,"1,614,425",$5.59,$5.865,$5.58
12/26/2023,$5.56,"1,360,080",$5.45,$5.58,$5.44
12/22/2023,$5.39,"956,574",$5.49,$5.51,$5.365
12/21/2023,$5.46,"1,240,823",$5.42,$5.47,$5.36
12/20/2023,$5.35,"2,275,134",$5.58,$5.635,$5.345
12/19/2023,$5.62,"1,718,183",$5.55,$5.70,$5.55
12/18/2023,$5.50,"1,773,239",$5.65,$5.65,$5.48
12/15/2023,$5.55,"6,995,873",$5.78,$5.78,$5.52
12/14/2023,$5.73,"2,911,343",$5.66,$5.985,$5.645
12/13/2023,$5.75,"4,780,468",$5.40,$5.76,$5.31
12/12/2023,$5.43,"1,598,074",$5.49,$5.54,$5.33
12/11/2023,$5.50,"1,410,137",$5.47,$5.55,$5.38
12/08/2023,$5.49,"1,450,028",$5.60,$5.645,$5.43
12/07/2023,$5.62,"2,117,948",$5.64,$5.73,$5.53
12/06/2023,$5.64,"1,561,569",$5.78,$5.91,$5.61
12/05/2023,$5.74,"2,315,849",$5.90,$5.98,$5.70
12/04/2023,$5.94,"1,390,162",$5.80,$5.95,$5.7435
12/01/2023,$5.84,"1,814,035",$5.53,$5.85,$5.48
11/30/2023,$5.53,"1,536,044",$5.57,$5.655,$5.48
11/29/2023,$5.56,"1,304,005",$5.54,$5.62,$5.48
11/28/2023,$5.44,"1,031,481",$5.46,$5.47,$5.30
11/27/2023,$5.49,"2,604,058",$5.41,$5.545,$5.30
11/24/2023,$5.44,"806,734",$5.37,$5.535,$5.332
11/22/2023,$5.40,"757,014",$5.45,$5.515,$5.32
11/21/2023,$5.42,"1,523,778",$5.43,$5.52,$5.335
11/20/2023,$5.46,"1,008,021",$5.38,$5.46,$5.265
11/17/2023,$5.40,"1,437,916",$5.25,$5.42,$5.16
11/16/2023,$5.15,"1,124,384",$5.30,$5.33,$5.11
11/15/2023,$5.33,"1,566,064",$5.26,$5.43,$5.24
11/14/2023,$5.28,"2,773,095",$4.97,$5.32,$4.95
11/13/2023,$4.55,"928,241",$4.64,$4.74,$4.53
11/10/2023,$4.74,"1,219,493",$4.83,$4.86,$4.63
11/09/2023,$4.78,"1,231,072",$4.86,$4.86,$4.705
11/08/2023,$4.79,"1,273,085",$4.82,$4.82,$4.68
11/07/2023,$4.81,"4,193,666",$5.20,$5.2789,$4.73
11/06/2023,$5.20,"1,805,434",$5.19,$5.27,$5.12
11/03/2023,$5.20,"2,631,823",$5.00,$5.3591,$4.99
11/02/2023,$4.93,"3,776,002",$4.65,$4.98,$4.6004
11/01/2023,$4.51,"1,666,354",$4.65,$4.65,$4.37
10/31/2023,$4.60,"2,280,366",$4.22,$4.62,$4.22
10/30/2023,$4.19,"1,143,817",$4.20,$4.265,$4.08
10/27/2023,$4.15,"2,017,178",$4.46,$4.46,$4.11
10/26/2023,$4.46,"959,651",$4.33,$4.50,$4.33
10/25/2023,$4.30,"1,153,675",$4.29,$4.35,$4.24
10/24/2023,$4.35,"1,585,259",$4.36,$4.485,$4.27
10/23/2023,$4.30,"1,862,919",$4.26,$4.37,$4.121
10/20/2023,$4.30,"1,527,992",$4.25,$4.37,$4.18
10/19/2023,$4.22,"1,872,097",$4.40,$4.40,$4.192
10/18/2023,$4.40,"1,056,027",$4.48,$4.48,$4.34
10/17/2023,$4.52,"1,613,344",$4.62,$4.75,$4.50
10/16/2023,$4.70,"1,488,487",$4.56,$4.77,$4.51
10/13/2023,$4.54,"1,465,366",$4.84,$4.88,$4.511
10/12/2023,$4.81,"941,465",$4.77,$4.83,$4.67
10/11/2023,$4.82,"999,259",$4.78,$4.86,$4.70
10/10/2023,$4.73,"1,601,132",$4.71,$4.87,$4.69
10/09/2023,$4.70,"1,357,787",$4.34,$4.71,$4.34
10/06/2023,$4.46,"1,664,168",$4.36,$4.525,$4.245
10/05/2023,$4.37,"1,713,122",$4.43,$4.48,$4.28
10/04/2023,$4.44,"1,235,902",$4.48,$4.585,$4.29
10/03/2023,$4.45,"1,343,868",$4.50,$4.565,$4.395
10/02/2023,$4.56,"1,318,722",$4.71,$4.73,$4.51
09/29/2023,$4.72,"1,995,712",$4.65,$4.815,$4.65
09/28/2023,$4.58,"2,146,353",$4.33,$4.61,$4.245
09/27/2023,$4.33,"2,280,503",$4.44,$4.54,$4.325
09/26/2023,$4.44,"2,040,427",$4.50,$4.61,$4.44
09/25/2023,$4.54,"2,325,289",$4.75,$4.835,$4.52
09/22/2023,$4.77,"2,327,653",$5.09,$5.16,$4.75
09/21/2023,$4.98,"1,496,874",$4.98,$5.085,$4.93
09/20/2023,$5.07,"1,306,137",$5.20,$5.33,$5.07
09/19/2023,$5.14,"1,181,596",$5.23,$5.2899,$5.14
09/18/2023,$5.23,"2,799,591",$5.31,$5.54,$5.18
09/15/2023,$5.23,"9,940,999",$5.42,$5.595,$5.18
09/14/2023,$5.46,"3,147,661",$4.94,$5.46,$4.94
09/13/2023,$4.82,"2,326,323",$4.95,$4.95,$4.73
09/12/2023,$4.94,"1,836,302",$4.86,$4.99,$4.77
09/11/2023,$4.88,"2,146,838",$4.77,$4.94,$4.715
09/08/2023,$4.77,"2,170,237",$4.94,$4.96,$4.74
09/07/2023,$4.93,"3,572,228",$5.29,$5.29,$4.80
09/06/2023,$5.51,"2,482,238",$5.66,$5.66,$5.40
09/05/2023,$5.60,"2,148,164",$5.62,$5.67,$5.525
09/01/2023,$5.59,"1,696,850",$5.44,$5.63,$5.44
08/31/2023,$5.37,"2,371,664",$5.40,$5.45,$5.36
08/30/2023,$5.38,"1,367,441",$5.34,$5.41,$5.28
08/29/2023,$5.32,"1,081,847",$5.29,$5.35,$5.19
08/28/2023,$5.26,"1,318,149",$5.10,$5.29,$5.10
08/25/2023,$5.08,"1,220,497",$5.13,$5.215,$5.06
08/24/2023,$5.11,"1,905,785",$5.10,$5.215,$5.07
08/23/2023,$5.11,"1,512,157",$5.04,$5.12,$4.96
08/22/2023,$5.03,"2,123,516",$5.12,$5.155,$5.01
08/21/2023,$5.06,"1,398,359",$5.23,$5.25,$5.04
08/18/2023,$5.24,"2,687,601",$5.10,$5.25,$5.05
08/17/2023,$5.18,"1,349,798",$5.26,$5.375,$5.18
08/16/2023,$5.26,"1,477,550",$5.35,$5.51,$5.25
08/15/2023,$5.39,"1,625,754",$5.53,$5.53,$5.35
08/14/2023,$5.65,"1,805,449",$5.81,$5.81,$5.60
