Date,Close,Volume,Open,High,Low
03/01/2024,$49.30,"2,080,719",$49.55,$49.67,$49.015
02/29/2024,$49.45,"4,930,174",$49.44,$49.72,$49.165
02/28/2024,$49.36,"2,583,042",$49.20,$49.86,$49.20
02/27/2024,$49.20,"2,110,389",$49.32,$49.73,$49.065
02/26/2024,$49.20,"877,221",$49.36,$49.92,$49.185
02/23/2024,$49.58,"715,058",$49.41,$50.045,$49.30
02/22/2024,$49.40,"1,011,609",$49.08,$49.70,$48.88
02/21/2024,$48.98,"934,599",$49.26,$49.39,$48.725
02/20/2024,$49.23,"1,405,467",$48.63,$49.555,$48.53
02/16/2024,$48.73,"1,402,642",$48.80,$49.155,$48.285
02/15/2024,$48.70,"1,208,839",$48.45,$49.18,$48.45
02/14/2024,$48.44,"1,219,974",$48.25,$48.675,$48.11
02/13/2024,$48.02,"1,212,845",$48.64,$48.85,$47.645
02/12/2024,$48.45,"1,098,574",$47.86,$48.73,$47.79
02/09/2024,$47.73,"870,471",$47.22,$47.77,$47.00
02/08/2024,$47.35,"1,123,599",$47.31,$47.425,$46.64
02/07/2024,$47.27,"1,346,151",$47.63,$47.87,$46.97
02/06/2024,$47.53,"1,575,056",$47.50,$47.92,$47.41
02/05/2024,$47.50,"1,054,260",$47.26,$47.85,$47.01
02/02/2024,$47.34,"1,362,851",$47.44,$47.79,$47.24
02/01/2024,$47.09,"2,502,734",$48.10,$48.18,$46.39
01/31/2024,$48.34,"4,479,619",$49.98,$49.98,$48.11
01/30/2024,$47.84,"1,807,040",$47.05,$47.95,$47.025
01/29/2024,$46.99,"1,996,517",$47.41,$47.56,$46.79
01/26/2024,$47.41,"998,580",$47.44,$47.51,$47.09
01/25/2024,$47.27,"1,526,325",$46.79,$47.28,$46.70
01/24/2024,$47.09,"1,352,810",$46.99,$47.32,$46.795
01/23/2024,$46.69,"990,834",$46.72,$47.02,$46.46
01/22/2024,$46.67,"1,499,667",$46.16,$46.73,$46.16
01/19/2024,$46.07,"1,030,475",$46.02,$46.195,$45.71
01/18/2024,$45.87,"1,641,524",$45.35,$45.915,$45.23
01/17/2024,$45.40,"1,224,575",$44.83,$45.77,$44.83
01/16/2024,$45.24,"843,545",$45.24,$45.55,$45.03
01/12/2024,$45.36,"788,184",$45.55,$45.65,$45.26
01/11/2024,$45.26,"1,090,059",$45.01,$45.485,$44.84
01/10/2024,$45.18,"948,446",$45.22,$45.42,$44.875
01/09/2024,$45.32,"1,254,839",$45.56,$45.56,$44.83
01/08/2024,$45.70,"1,557,302",$45.72,$46.04,$45.25
01/05/2024,$45.84,"2,515,041",$46.27,$46.41,$45.54
01/04/2024,$46.18,"1,363,846",$46.40,$46.83,$46.13
01/03/2024,$46.25,"1,745,382",$46.27,$46.57,$45.66
01/02/2024,$45.70,"900,830",$45.28,$45.72,$45.155
12/29/2023,$45.22,"697,282",$45.37,$45.47,$45.10
12/28/2023,$45.29,"558,714",$45.09,$45.48,$45.00
12/27/2023,$45.18,"715,684",$45.105,$45.22,$44.805
12/26/2023,$45.10,"593,128",$44.93,$45.3099,$44.71
12/22/2023,$44.94,"510,314",$44.90,$45.23,$44.61
12/21/2023,$44.77,"1,086,755",$44.58,$44.86,$44.32
12/20/2023,$44.48,"1,140,683",$44.51,$44.855,$44.36
12/19/2023,$44.76,"1,072,201",$44.10,$44.77,$44.01
12/18/2023,$44.24,"1,277,664",$43.89,$44.44,$43.65
12/15/2023,$43.55,"3,115,361",$43.67,$43.90,$43.255
12/14/2023,$44.06,"1,644,757",$44.85,$44.89,$43.96
12/13/2023,$44.68,"1,898,545",$45.24,$45.40,$44.395
12/12/2023,$45.32,"2,086,672",$44.62,$45.76,$44.52
12/11/2023,$44.75,"2,850,533",$43.33,$44.95,$43.04
12/08/2023,$42.83,"855,984",$42.68,$42.965,$42.63
12/07/2023,$42.63,"1,096,308",$42.56,$42.84,$42.37
12/06/2023,$42.34,"1,755,050",$42.65,$42.90,$42.09
12/05/2023,$42.52,"1,255,161",$43.12,$43.28,$42.46
12/04/2023,$43.30,"887,191",$42.98,$43.50,$42.90
12/01/2023,$43.08,"1,199,654",$42.68,$43.20,$42.53
11/30/2023,$43.00,"1,474,915",$42.65,$43.07,$42.53
11/29/2023,$42.36,"1,920,197",$42.29,$42.46,$41.97
11/28/2023,$42.17,"986,772",$43.04,$43.04,$42.16
11/27/2023,$43.12,"1,452,576",$43.00,$43.29,$42.72
11/24/2023,$43.17,"456,967",$42.94,$43.43,$42.93
11/22/2023,$42.73,"879,367",$42.64,$42.87,$42.51
11/21/2023,$42.60,"1,555,401",$42.30,$42.68,$42.24
11/20/2023,$42.31,"1,378,232",$42.35,$42.72,$42.13
11/17/2023,$42.60,"2,216,014",$42.30,$42.6575,$42.255
11/16/2023,$42.08,"1,680,590",$42.60,$42.74,$41.86
11/15/2023,$42.56,"3,689,898",$42.40,$42.72,$42.06
11/14/2023,$42.31,"4,393,999",$43.26,$43.40,$42.17
11/13/2023,$43.20,"1,109,356",$43.42,$43.66,$43.08
11/10/2023,$43.45,"1,597,244",$43.37,$43.945,$43.29
11/09/2023,$43.38,"2,048,855",$43.38,$43.74,$43.06
11/08/2023,$43.26,"1,707,217",$43.62,$43.98,$43.18
11/07/2023,$43.63,"1,522,622",$43.46,$43.735,$43.14
11/06/2023,$43.69,"1,998,683",$43.83,$43.95,$43.21
11/03/2023,$43.62,"2,957,131",$43.20,$44.16,$42.22
11/02/2023,$42.70,"2,717,616",$42.90,$43.47,$41.75
11/01/2023,$42.46,"6,340,135",$46.05,$46.37,$41.8922
10/31/2023,$48.90,"996,909",$48.88,$49.0199,$48.50
10/30/2023,$48.77,"902,815",$48.31,$48.98,$48.27
10/27/2023,$48.10,"877,997",$48.43,$48.70,$47.56
10/26/2023,$48.53,"826,324",$47.90,$48.79,$47.90
10/25/2023,$48.17,"924,694",$48.19,$48.67,$48.085
10/24/2023,$48.35,"664,135",$48.66,$48.96,$48.145
10/23/2023,$48.53,"916,952",$48.96,$49.105,$48.40
10/20/2023,$48.94,"1,190,783",$50.02,$50.215,$48.70
10/19/2023,$50.44,"1,422,545",$51.00,$51.33,$50.35
10/18/2023,$51.19,"709,920",$51.50,$51.54,$50.95
10/17/2023,$51.67,"1,763,631",$50.80,$52.15,$50.80
10/16/2023,$50.78,"1,108,288",$50.33,$51.065,$50.24
10/13/2023,$49.94,"646,948",$50.32,$50.73,$49.74
10/12/2023,$50.11,"605,036",$50.56,$50.56,$49.64
10/11/2023,$50.19,"657,813",$50.12,$50.53,$49.565
10/10/2023,$50.11,"1,277,067",$50.00,$50.29,$49.71
10/09/2023,$49.84,"714,781",$49.39,$49.9644,$49.09
10/06/2023,$49.57,"851,035",$48.50,$49.76,$48.24
10/05/2023,$48.47,"828,845",$47.89,$48.565,$47.77
10/04/2023,$48.13,"929,495",$48.06,$48.20,$47.38
10/03/2023,$48.11,"916,425",$48.85,$48.935,$47.6345
10/02/2023,$49.09,"622,333",$49.14,$49.18,$48.67
09/29/2023,$49.19,"801,938",$49.89,$49.94,$49.09
09/28/2023,$49.90,"654,662",$49.37,$50.03,$49.37
09/27/2023,$49.41,"649,741",$49.50,$49.56,$48.735
09/26/2023,$49.44,"975,113",$50.07,$50.27,$49.14
09/25/2023,$50.22,"909,956",$49.96,$50.36,$49.57
09/22/2023,$49.96,"867,481",$49.98,$50.08,$49.64
09/21/2023,$49.97,"1,317,043",$49.37,$50.225,$49.27
09/20/2023,$49.13,"727,889",$49.17,$49.52,$49.09
09/19/2023,$49.15,"971,743",$48.67,$49.325,$48.59
09/18/2023,$48.44,"926,891",$48.42,$48.549,$48.15
09/15/2023,$48.53,"3,735,923",$48.40,$48.75,$48.22
09/14/2023,$48.97,"1,113,899",$49.00,$49.25,$48.70
09/13/2023,$48.22,"1,058,021",$48.56,$48.62,$47.82
09/12/2023,$48.51,"1,179,200",$48.56,$49.07,$48.15
09/11/2023,$48.43,"1,169,296",$48.36,$49.19,$48.345
09/08/2023,$48.14,"934,850",$47.69,$48.48,$47.58
09/07/2023,$47.91,"1,919,596",$48.53,$48.72,$47.63
09/06/2023,$48.59,"867,979",$48.80,$48.885,$48.205
09/05/2023,$48.87,"1,037,761",$49.38,$49.38,$48.69
09/01/2023,$49.48,"904,067",$49.50,$49.69,$49.14
08/31/2023,$49.19,"963,502",$49.27,$49.665,$49.15
08/30/2023,$49.29,"747,067",$49.58,$49.845,$49.20
08/29/2023,$49.44,"832,752",$49.41,$49.62,$48.98
08/28/2023,$49.19,"426,143",$48.98,$49.49,$48.98
08/25/2023,$48.98,"748,752",$48.90,$49.41,$48.51
08/24/2023,$48.79,"769,150",$48.20,$49.115,$48.20
08/23/2023,$48.45,"646,797",$48.49,$48.49,$47.94
08/22/2023,$48.37,"648,729",$48.95,$49.20,$48.36
08/21/2023,$49.06,"781,825",$49.11,$49.255,$48.51
08/18/2023,$48.79,"1,009,626",$48.82,$49.21,$48.64
08/17/2023,$49.09,"1,042,317",$49.08,$49.48,$48.94
08/16/2023,$48.81,"675,404",$48.83,$49.48,$48.79
08/15/2023,$48.93,"637,903",$48.99,$49.11,$48.73
08/14/2023,$49.42,"916,094",$49.33,$49.50,$48.91
08/11/2023,$49.25,"751,018",$48.61,$49.37,$48.61
08/10/2023,$48.60,"916,469",$49.10,$49.655,$48.51
08/09/2023,$48.95,"865,813",$49.77,$49.79,$48.79
08/08/2023,$49.71,"819,212",$49.80,$50.00,$49.48
08/07/2023,$50.40,"815,347",$50.71,$51.13,$50.241
08/04/2023,$50.32,"1,133,596",$50.48,$51.15,$50.18
08/03/2023,$50.39,"1,690,024",$49.25,$50.47,$49.16
08/02/2023,$49.21,"1,569,855",$48.60,$49.89,$48.60
08/01/2023,$48.63,"2,046,518",$48.71,$48.78,$47.79
07/31/2023,$48.61,"1,116,662",$49.02,$49.13,$48.15
07/28/2023,$48.84,"984,248",$48.96,$49.20,$48.40
07/27/2023,$48.71,"853,319",$48.73,$48.81,$48.265
07/26/2023,$48.95,"983,150",$48.76,$49.25,$48.76
07/25/2023,$48.76,"880,880",$48.89,$49.07,$48.6739
07/24/2023,$48.92,"502,697",$48.69,$49.1599,$48.69
07/21/2023,$48.71,"690,138",$49.33,$49.33,$48.63
07/20/2023,$49.07,"695,932",$48.61,$49.135,$48.61
07/19/2023,$48.19,"1,223,190",$48.15,$48.84,$48.05
07/18/2023,$48.30,"1,119,595",$48.55,$49.00,$48.28
07/17/2023,$48.49,"1,129,636",$47.26,$48.61,$47.12
07/14/2023,$47.27,"954,371",$47.74,$47.89,$46.90
07/13/2023,$47.45,"1,275,482",$47.29,$47.625,$47.13
07/12/2023,$47.59,"1,540,646",$48.68,$48.90,$47.55
07/11/2023,$48.48,"1,398,050",$48.60,$49.01,$48.355
07/10/2023,$48.41,"1,084,530",$48.95,$49.01,$48.28
07/07/2023,$49.01,"1,718,104",$48.40,$49.495,$48.40
07/06/2023,$48.29,"1,052,121",$47.65,$48.41,$47.63
07/05/2023,$47.97,"996,606",$47.51,$48.01,$47.31
07/03/2023,$48.00,"636,046",$47.69,$48.347,$47.52
06/30/2023,$47.70,"979,417",$47.70,$48.06,$47.49
06/29/2023,$47.45,"848,159",$47.25,$47.70,$47.00
06/28/2023,$46.89,"888,438",$46.79,$47.27,$46.63
06/27/2023,$47.03,"1,015,527",$46.41,$47.15,$46.34
06/26/2023,$46.33,"978,324",$45.92,$46.695,$45.8822
06/23/2023,$45.78,"1,405,585",$45.85,$46.25,$45.53
06/22/2023,$46.17,"1,305,507",$45.63,$46.49,$45.19
06/21/2023,$45.60,"1,018,554",$45.48,$46.01,$45.18
06/20/2023,$45.55,"1,107,413",$45.16,$45.68,$44.77
06/16/2023,$45.40,"2,031,650",$45.81,$45.83,$45.15
06/15/2023,$45.66,"1,197,101",$45.09,$45.795,$45.09
06/14/2023,$45.24,"1,138,439",$45.94,$46.31,$44.95
06/13/2023,$45.99,"917,964",$45.45,$46.27,$45.29
06/12/2023,$45.65,"759,341",$45.32,$45.81,$45.245
06/09/2023,$45.50,"706,684",$45.47,$45.90,$45.38
06/08/2023,$45.50,"838,220",$45.44,$45.68,$45.17
06/07/2023,$45.69,"1,332,425",$45.55,$45.83,$44.87
06/06/2023,$45.08,"1,006,455",$44.10,$45.19,$44.10
06/05/2023,$44.07,"1,114,785",$44.50,$44.75,$43.83
06/02/2023,$44.89,"1,105,112",$44.05,$45.16,$43.95
06/01/2023,$43.48,"2,039,167",$43.93,$44.02,$43.23
05/31/2023,$43.45,"1,797,786",$44.49,$44.70,$43.43
05/30/2023,$45.08,"1,257,727",$45.30,$45.59,$44.525
05/26/2023,$45.50,"687,533",$45.59,$45.86,$45.27
05/25/2023,$45.58,"809,770",$44.94,$45.67,$44.82
05/24/2023,$44.89,"873,962",$45.40,$45.40,$44.75
05/23/2023,$45.52,"1,017,810",$46.46,$46.73,$45.49
05/22/2023,$46.49,"676,295",$46.51,$46.72,$46.225
05/19/2023,$46.35,"1,219,517",$46.87,$46.99,$46.07
05/18/2023,$46.42,"1,293,366",$45.91,$46.545,$45.45
05/17/2023,$45.96,"1,795,331",$44.75,$46.25,$44.70
05/16/2023,$44.54,"1,613,029",$44.67,$45.37,$44.355
05/15/2023,$44.63,"1,809,833",$44.33,$45.17,$44.04
05/12/2023,$43.97,"1,468,575",$43.76,$44.08,$43.305
05/11/2023,$43.50,"776,404",$43.74,$44.045,$43.41
05/10/2023,$44.14,"1,157,356",$44.59,$44.85,$43.64
05/09/2023,$44.31,"1,670,862",$44.60,$45.07,$44.28
05/08/2023,$44.78,"1,381,880",$45.00,$45.45,$44.43
05/05/2023,$44.18,"1,464,902",$43.72,$44.79,$43.70
05/04/2023,$42.94,"2,160,701",$43.29,$43.29,$41.92
05/03/2023,$43.88,"3,236,644",$45.00,$45.00,$43.52
05/02/2023,$40.96,"1,746,156",$41.44,$41.44,$40.04
05/01/2023,$41.83,"1,807,287",$41.93,$42.60,$41.62
04/28/2023,$42.20,"1,567,401",$41.01,$42.48,$40.97
04/27/2023,$41.27,"999,241",$40.18,$41.385,$40.18
04/26/2023,$40.29,"988,014",$40.30,$40.85,$40.08
04/25/2023,$40.44,"863,392",$40.88,$41.09,$40.30
04/24/2023,$40.77,"694,471",$40.37,$40.94,$40.33
04/21/2023,$40.48,"1,137,857",$41.14,$41.14,$40.1103
04/20/2023,$41.23,"866,966",$41.10,$41.3737,$40.99
04/19/2023,$41.43,"986,446",$41.40,$41.65,$41.105
04/18/2023,$41.23,"1,052,883",$41.03,$41.335,$40.77
04/17/2023,$40.91,"1,431,930",$39.87,$41.03,$39.71
04/14/2023,$40.03,"1,213,482",$40.29,$40.67,$39.72
04/13/2023,$39.93,"1,509,302",$39.74,$39.95,$39.40
04/12/2023,$39.86,"1,288,415",$39.81,$40.215,$39.59
04/11/2023,$39.66,"1,259,938",$39.30,$39.82,$39.05
04/10/2023,$39.30,"794,517",$38.93,$39.575,$38.93
04/06/2023,$38.84,"823,987",$39.205,$39.49,$38.80
04/05/2023,$39.26,"1,466,146",$38.47,$39.41,$38.47
04/04/2023,$39.09,"1,680,338",$39.46,$39.46,$38.34
04/03/2023,$39.20,"1,683,197",$39.71,$39.98,$39.095
