Date,Close,Volume,Open,High,Low
03/01/2024,$3.04,"14,926",$2.91,$3.09,$2.91
02/29/2024,$2.91,"339,832",$2.98,$2.9962,$2.83
02/28/2024,$2.91,"228,640",$3.01,$3.01,$2.89
02/27/2024,$2.98,"35,736",$3.05,$3.09,$2.97
02/26/2024,$3.05,"9,100",$2.92,$3.14,$2.92
02/23/2024,$2.96,"28,972",$2.95,$3.07,$2.92
02/22/2024,$2.99,"55,646",$3.07,$3.07,$2.9011
02/21/2024,$3.02,"36,056",$3.1548,$3.1765,$3.01
02/20/2024,$3.13,"20,033",$3.28,$3.28,$3.13
02/16/2024,$3.22,"15,449",$3.22,$3.31,$3.18
02/15/2024,$3.23,"41,416",$3.28,$3.4653,$3.15
02/14/2024,$3.13,"32,680",$3.17,$3.21,$3.12
02/13/2024,$3.15,"28,296",$3.31,$3.3488,$3.13
02/12/2024,$3.37,"32,296",$3.42,$3.535,$3.28
02/09/2024,$3.39,"15,750",$3.37,$3.465,$3.365
02/08/2024,$3.40,"20,002",$3.36,$3.47,$3.36
02/07/2024,$3.42,"48,558",$3.53,$3.6396,$3.33
02/06/2024,$3.56,"8,916",$3.53,$3.69,$3.49
02/05/2024,$3.52,"15,560",$3.63,$3.645,$3.46
02/02/2024,$3.64,"16,209",$3.65,$3.76,$3.50
02/01/2024,$3.68,"9,433",$3.63,$3.77,$3.615
01/31/2024,$3.60,"15,733",$3.78,$3.90,$3.60
01/30/2024,$3.82,"7,480",$3.9611,$3.9611,$3.82
01/29/2024,$3.86,"10,698",$3.83,$3.91,$3.7628
01/26/2024,$3.83,"10,579",$3.93,$3.93,$3.825
01/25/2024,$3.90,"22,525",$3.79,$3.94,$3.70
01/24/2024,$3.71,"12,695",$3.65,$3.83,$3.65
01/23/2024,$3.65,"20,025",$3.73,$3.80,$3.59
01/22/2024,$3.68,"11,957",$3.54,$3.77,$3.54
01/19/2024,$3.55,"24,428",$3.63,$3.65,$3.48
01/18/2024,$3.57,"23,142",$3.72,$3.86,$3.55
01/17/2024,$3.69,"17,280",$3.81,$3.81,$3.6399
01/16/2024,$3.81,"9,385",$3.75,$3.85,$3.75
01/12/2024,$3.80,"16,755",$3.76,$3.864,$3.66
01/11/2024,$3.70,"15,107",$3.68,$3.77,$3.66
01/10/2024,$3.70,"20,803",$3.66,$3.73,$3.51
01/09/2024,$3.61,"26,950",$3.66,$3.70,$3.50
01/08/2024,$3.70,"33,565",$3.73,$3.80,$3.67
01/05/2024,$3.71,"41,967",$3.60,$3.74,$3.60
01/04/2024,$3.64,"35,112",$3.73,$3.75,$3.55
01/03/2024,$3.66,"29,931",$3.76,$3.76,$3.63
01/02/2024,$3.70,"42,590",$3.59,$3.7261,$3.58
12/29/2023,$3.53,"91,037",$3.68,$3.73,$3.33
12/28/2023,$3.74,"22,948",$3.84,$3.84,$3.62
12/27/2023,$3.82,"12,637",$3.72,$3.8499,$3.72
12/26/2023,$3.72,"20,109",$3.54,$3.74,$3.52
12/22/2023,$3.45,"102,288",$3.64,$3.8044,$3.33
12/21/2023,$3.50,"129,956",$3.87,$3.8885,$3.40
12/20/2023,$3.865,"57,177",$4.00,$4.1161,$3.85
12/19/2023,$3.97,"36,242",$4.02,$4.02,$3.865
12/18/2023,$3.89,"81,486",$3.97,$4.0742,$3.79
12/15/2023,$3.97,"133,855",$3.96,$4.04,$3.75
12/14/2023,$3.90,"57,420",$4.06,$4.2499,$3.87
12/13/2023,$4.15,"34,660",$4.11,$4.245,$4.016
12/12/2023,$4.04,"15,292",$4.16,$4.205,$4.04
12/11/2023,$4.16,"32,234",$3.93,$4.30,$3.93
12/08/2023,$3.99,"13,745",$3.81,$4.04,$3.81
12/07/2023,$3.86,"90,213",$4.105,$4.105,$3.76
12/06/2023,$3.93,"35,983",$4.22,$4.325,$3.92
12/05/2023,$4.22,"93,229",$4.25,$4.355,$4.20
12/04/2023,$4.23,"12,850",$4.20,$4.30,$4.16
12/01/2023,$4.20,"30,551",$4.06,$4.2775,$4.03
11/30/2023,$4.11,"13,648",$4.14,$4.23,$4.01
11/29/2023,$4.21,"24,346",$4.06,$4.28,$4.01
11/28/2023,$4.04,"22,520",$4.3507,$4.3507,$3.97
11/27/2023,$4.23,"13,399",$4.273,$4.34,$4.20
11/24/2023,$4.30,"8,076",$4.27,$4.47,$4.21
11/22/2023,$4.13,"14,222",$4.42,$4.42,$4.11
11/21/2023,$4.31,"27,133",$4.24,$4.43,$4.185
11/20/2023,$4.36,"14,060",$4.38,$4.46,$4.17
11/17/2023,$4.31,"22,413",$4.10,$4.40,$4.10
11/16/2023,$4.15,"6,676",$4.43,$4.43,$4.15
11/15/2023,$4.33,"17,152",$4.23,$4.43,$4.17
11/14/2023,$4.26,"38,614",$4.00,$4.33,$3.80
11/13/2023,$3.87,"17,688",$3.42,$3.91,$3.42
11/10/2023,$3.57,"135,884",$3.71,$3.9567,$3.39
11/09/2023,$3.66,"88,458",$3.46,$3.80,$3.46
11/08/2023,$3.45,"146,136",$4.34,$4.34,$3.40
11/07/2023,$5.65,"16,530",$5.685,$5.75,$5.65
11/06/2023,$5.69,"25,307",$5.74,$5.915,$5.675
11/03/2023,$5.78,"30,148",$5.8643,$5.8643,$5.715
11/02/2023,$5.75,"106,230",$5.51,$5.85,$5.47
11/01/2023,$5.38,"29,537",$5.39,$5.52,$5.27
10/31/2023,$5.31,"14,127",$5.37,$5.42,$5.27
10/30/2023,$5.33,"7,168",$5.12,$5.34,$5.12
10/27/2023,$5.13,"18,749",$5.32,$5.365,$5.06
10/26/2023,$5.36,"20,726",$5.335,$5.37,$5.25
10/25/2023,$5.32,"23,910",$5.42,$5.53,$5.30
10/24/2023,$5.50,"14,509",$5.37,$5.5313,$5.36
10/23/2023,$5.40,"32,223",$5.30,$5.55,$5.30
10/20/2023,$5.37,"17,406",$5.30,$5.45,$5.25
10/19/2023,$5.27,"20,803",$5.35,$5.5215,$5.23
10/18/2023,$5.40,"13,600",$5.55,$5.58,$5.35
10/17/2023,$5.57,"23,297",$5.52,$5.65,$5.51
10/16/2023,$5.52,"20,373",$5.36,$5.60,$5.36
10/13/2023,$5.38,"12,108",$5.31,$5.48,$5.31
10/12/2023,$5.33,"7,712",$5.47,$5.47,$5.29
10/11/2023,$5.45,"10,932",$5.46,$5.50,$5.39
10/10/2023,$5.38,"16,243",$5.42,$5.49,$5.35
10/09/2023,$5.36,"12,054",$5.16,$5.45,$5.15
10/06/2023,$5.16,"9,940",$5.03,$5.19,$5.0021
10/05/2023,$5.10,"29,254",$4.9878,$5.15,$4.8981
10/04/2023,$4.90,"22,945",$4.78,$4.95,$4.78
10/03/2023,$4.75,"27,527",$4.97,$5.05,$4.75
10/02/2023,$5.04,"17,862",$4.97,$5.18,$4.97
