Date,Close,Volume,Open,High,Low
03/01/2024,$17.52,"1,169,534",$18.01,$18.01,$17.31
02/29/2024,$17.69,"3,094,898",$17.98,$18.66,$17.28
02/28/2024,$18.34,"880,567",$18.43,$18.68,$18.285
02/27/2024,$18.48,"713,929",$18.86,$19.00,$18.475
02/26/2024,$18.79,"420,514",$19.12,$19.20,$18.74
02/23/2024,$19.15,"469,689",$19.03,$19.21,$18.795
02/22/2024,$19.07,"655,976",$18.68,$19.09,$18.54
02/21/2024,$18.68,"424,996",$18.68,$18.86,$18.61
02/20/2024,$18.68,"565,203",$19.00,$19.12,$18.65
02/16/2024,$19.04,"1,162,612",$19.00,$19.21,$18.885
02/15/2024,$19.18,"619,725",$18.67,$19.19,$18.67
02/14/2024,$18.62,"571,913",$18.53,$18.65,$18.09
02/13/2024,$18.42,"707,367",$18.57,$18.64,$18.285
02/12/2024,$18.98,"677,263",$18.41,$19.08,$18.41
02/09/2024,$18.43,"841,319",$18.21,$18.46,$18.00
02/08/2024,$18.18,"657,855",$17.74,$18.32,$17.72
02/07/2024,$17.72,"829,760",$18.17,$18.17,$17.645
02/06/2024,$18.17,"777,781",$18.49,$18.62,$17.98
02/05/2024,$18.55,"664,764",$18.53,$18.61,$18.30
02/02/2024,$18.59,"697,515",$18.05,$18.70,$17.94
02/01/2024,$18.19,"818,644",$17.84,$18.205,$17.62
01/31/2024,$17.70,"1,512,042",$17.46,$17.90,$17.31
01/30/2024,$17.63,"570,714",$17.40,$17.73,$17.375
01/29/2024,$17.39,"636,344",$17.24,$17.61,$17.14
01/26/2024,$17.41,"698,079",$17.13,$17.42,$17.06
01/25/2024,$17.01,"751,376",$16.64,$17.07,$16.63
01/24/2024,$16.49,"500,926",$16.69,$16.72,$16.45
01/23/2024,$16.58,"590,685",$16.61,$16.79,$16.39
01/22/2024,$16.46,"630,863",$16.24,$16.52,$16.22
01/19/2024,$16.14,"975,968",$16.45,$16.45,$15.93
01/18/2024,$16.39,"587,173",$16.45,$16.45,$16.18
01/17/2024,$16.43,"656,615",$16.29,$16.618,$16.29
01/16/2024,$16.47,"836,494",$16.25,$16.48,$16.10
01/12/2024,$16.25,"1,038,292",$16.54,$16.63,$16.105
01/11/2024,$16.38,"965,657",$16.64,$16.69,$16.22
01/10/2024,$16.61,"1,124,147",$17.14,$17.35,$16.5214
01/09/2024,$17.25,"887,056",$17.25,$17.58,$17.02
01/08/2024,$17.39,"1,097,962",$17.16,$17.58,$16.955
01/05/2024,$17.17,"1,453,682",$17.25,$17.76,$17.16
01/04/2024,$17.28,"1,293,867",$17.07,$17.40,$16.97
01/03/2024,$17.05,"1,508,286",$16.74,$17.49,$16.51
01/02/2024,$16.37,"783,526",$16.03,$16.64,$15.96
12/29/2023,$16.24,"617,086",$16.19,$16.30,$16.072
12/28/2023,$16.24,"521,756",$16.00,$16.42,$16.00
12/27/2023,$16.04,"813,376",$15.82,$16.18,$15.715
