Date,Close,Volume,Open,High,Low
03/01/2024,$16.24,"8,169,670",$16.42,$16.525,$15.785
02/29/2024,$16.34,"29,079,740",$16.27,$16.415,$15.95
02/28/2024,$16.17,"5,485,682",$15.77,$16.39,$15.61
02/27/2024,$16.07,"6,712,697",$15.71,$16.175,$15.61
02/26/2024,$15.50,"8,362,389",$15.83,$15.89,$15.30
02/23/2024,$15.98,"5,204,760",$15.90,$16.14,$15.785
02/22/2024,$15.90,"5,818,463",$16.06,$16.24,$15.795
02/21/2024,$15.97,"7,966,879",$16.06,$16.37,$15.84
02/20/2024,$16.20,"8,351,301",$16.29,$16.32,$15.915
02/16/2024,$16.65,"7,865,638",$16.66,$16.86,$16.45
02/15/2024,$17.05,"6,276,907",$17.34,$17.43,$16.95
02/14/2024,$17.20,"7,466,810",$17.01,$17.30,$16.63
02/13/2024,$16.44,"11,969,490",$16.56,$16.78,$15.81
02/12/2024,$17.44,"15,008,380",$15.75,$17.69,$15.71
02/09/2024,$15.30,"7,380,602",$15.30,$15.50,$15.04
02/08/2024,$15.35,"10,824,340",$15.40,$15.71,$15.18
02/07/2024,$15.31,"29,213,230",$15.29,$15.74,$14.44
02/06/2024,$16.95,"11,315,730",$16.50,$17.09,$16.28
02/05/2024,$16.53,"10,263,290",$16.76,$16.79,$16.12
02/02/2024,$16.67,"8,218,302",$16.46,$16.96,$16.13
02/01/2024,$16.83,"8,280,310",$16.61,$16.90,$16.02
01/31/2024,$16.46,"8,345,616",$17.10,$17.23,$16.44
01/30/2024,$17.22,"5,231,401",$17.21,$17.355,$16.91
01/29/2024,$17.53,"5,166,840",$17.38,$17.54,$16.945
01/26/2024,$17.35,"9,588,850",$17.41,$17.48,$16.80
01/25/2024,$17.05,"8,356,077",$16.43,$17.095,$16.32
01/24/2024,$16.81,"6,449,342",$16.94,$17.0801,$16.715
01/23/2024,$16.72,"5,516,041",$16.98,$17.16,$16.38
01/22/2024,$16.49,"7,250,698",$15.72,$16.50,$15.65
01/19/2024,$15.71,"5,798,639",$15.35,$15.85,$15.10
01/18/2024,$15.32,"5,388,152",$15.22,$15.35,$14.93
01/17/2024,$15.25,"8,985,943",$15.00,$15.36,$14.89
01/16/2024,$15.43,"8,577,607",$15.95,$16.00,$15.27
01/12/2024,$16.21,"7,198,395",$17.05,$17.13,$16.05
01/11/2024,$16.96,"5,558,058",$17.15,$17.185,$16.48
01/10/2024,$17.30,"6,115,995",$17.16,$17.34,$16.58
01/09/2024,$17.16,"6,152,908",$17.15,$17.395,$16.97
01/08/2024,$17.33,"4,766,578",$16.89,$17.495,$16.72
01/05/2024,$16.90,"5,262,470",$16.77,$17.25,$16.71
01/04/2024,$16.94,"7,764,545",$17.40,$17.42,$16.741
01/03/2024,$17.51,"7,586,509",$18.29,$18.365,$17.45
01/02/2024,$18.65,"5,355,825",$18.59,$19.07,$18.38
12/29/2023,$18.80,"5,539,979",$19.01,$19.2305,$18.635
12/28/2023,$19.06,"3,006,103",$18.79,$19.08,$18.74
12/27/2023,$18.84,"3,911,039",$18.89,$19.13,$18.5845
12/26/2023,$18.72,"4,151,699",$18.65,$18.87,$18.36
12/22/2023,$18.59,"7,009,107",$18.59,$18.92,$18.02
12/21/2023,$19.21,"8,214,436",$18.20,$19.23,$18.195
12/20/2023,$17.94,"6,717,389",$18.42,$18.69,$17.89
12/19/2023,$18.74,"8,539,357",$18.62,$19.165,$18.56
12/18/2023,$18.36,"14,469,440",$18.90,$18.92,$18.01
12/15/2023,$19.91,"10,597,950",$20.27,$20.54,$19.735
12/14/2023,$20.39,"12,116,550",$19.53,$20.69,$19.38
12/13/2023,$18.81,"7,907,976",$17.65,$18.87,$17.505
12/12/2023,$17.76,"4,946,417",$18.17,$18.17,$17.555
12/11/2023,$18.23,"4,967,169",$18.14,$18.445,$17.955
12/08/2023,$18.14,"3,925,367",$18.15,$18.41,$18.06
12/07/2023,$18.20,"4,696,825",$18.21,$18.475,$17.82
12/06/2023,$18.21,"5,196,890",$18.24,$18.75,$18.03
12/05/2023,$18.07,"5,978,696",$18.55,$18.58,$18.00
12/04/2023,$18.79,"11,189,060",$17.91,$19.06,$17.88
12/01/2023,$18.09,"9,415,039",$17.01,$18.10,$16.685
11/30/2023,$16.73,"14,740,530",$17.18,$17.24,$16.50
11/29/2023,$17.13,"7,022,522",$17.14,$17.345,$16.775
11/28/2023,$16.91,"5,794,727",$16.51,$16.99,$16.36
11/27/2023,$16.58,"6,648,875",$16.46,$16.7797,$16.09
11/24/2023,$16.59,"2,675,636",$16.63,$16.79,$16.40
11/22/2023,$16.68,"3,914,385",$16.66,$16.72,$16.29
11/21/2023,$16.53,"5,236,285",$17.00,$17.07,$16.485
11/20/2023,$17.12,"6,229,090",$17.25,$17.36,$16.96
11/17/2023,$17.21,"7,875,705",$17.49,$17.66,$17.15
11/16/2023,$17.19,"7,992,033",$17.44,$17.505,$16.725
11/15/2023,$17.77,"17,367,770",$16.65,$18.04,$16.5222
11/14/2023,$15.57,"10,506,180",$14.84,$16.285,$14.84
11/13/2023,$14.15,"7,958,444",$14.74,$14.78,$14.00
11/10/2023,$14.90,"7,166,874",$15.00,$15.04,$14.435
11/09/2023,$15.15,"5,724,167",$15.63,$15.77,$15.08
11/08/2023,$15.60,"5,609,865",$15.90,$16.12,$15.46
11/07/2023,$15.99,"9,272,361",$16.07,$16.545,$15.78
11/06/2023,$15.95,"9,241,630",$15.59,$16.08,$15.47
11/03/2023,$15.50,"8,601,522",$15.10,$15.57,$14.95
11/02/2023,$14.81,"15,590,210",$13.30,$14.83,$13.26
11/01/2023,$13.10,"29,438,130",$14.82,$14.86,$12.85
10/31/2023,$14.73,"35,982,450",$16.10,$16.75,$14.425
10/30/2023,$17.12,"13,613,690",$17.19,$17.47,$16.985
10/27/2023,$16.90,"9,416,265",$17.98,$18.07,$16.815
10/26/2023,$17.83,"5,730,941",$17.71,$18.12,$17.609
10/25/2023,$17.95,"6,219,852",$17.81,$18.285,$17.63
10/24/2023,$17.92,"9,629,674",$17.52,$18.25,$17.46
10/23/2023,$17.48,"7,079,905",$17.77,$17.89,$17.24
10/20/2023,$18.02,"7,454,072",$18.62,$18.80,$17.855
