Date,Close,Volume,Open,High,Low
03/01/2024,$3.39,"67,809",$3.50,$3.50,$3.33
02/29/2024,$3.48,"78,574",$3.60,$3.62,$3.4448
02/28/2024,$3.45,"172,420",$3.36,$3.58,$3.1896
02/27/2024,$3.38,"173,255",$3.40,$3.46,$3.31
02/26/2024,$3.32,"65,173",$3.13,$3.36,$3.13
02/23/2024,$3.13,"35,214",$3.105,$3.2001,$3.07
02/22/2024,$3.16,"58,037",$3.05,$3.19,$3.05
02/21/2024,$3.02,"54,899",$3.11,$3.11,$2.90
02/20/2024,$3.11,"67,536",$3.02,$3.15,$2.97
02/16/2024,$3.03,"72,114",$3.24,$3.2999,$2.91
02/15/2024,$3.25,"48,153",$3.11,$3.3802,$3.11
02/14/2024,$3.095,"37,553",$3.04,$3.16,$2.91
02/13/2024,$2.95,"80,345",$3.37,$3.454,$2.86
02/12/2024,$3.36,"406,249",$3.07,$3.50,$3.00
02/09/2024,$3.11,"157,643",$2.95,$3.15,$2.901
02/08/2024,$2.84,"48,328",$2.88,$2.9237,$2.81
02/07/2024,$2.85,"62,598",$3.00,$3.10,$2.80
02/06/2024,$2.94,"89,266",$2.78,$3.00,$2.76
02/05/2024,$2.75,"138,963",$2.62,$2.8646,$2.53
02/02/2024,$2.68,"42,078",$2.69,$2.79,$2.62
02/01/2024,$2.69,"66,013",$2.76,$2.78,$2.63
01/31/2024,$2.72,"66,704",$2.875,$2.9214,$2.6701
01/30/2024,$2.85,"84,826",$3.00,$3.00,$2.76
01/29/2024,$3.03,"109,477",$2.99,$3.08,$2.83
01/26/2024,$2.98,"39,585",$3.08,$3.1191,$2.805
01/25/2024,$3.04,"37,366",$3.19,$3.19,$2.98
01/24/2024,$3.15,"118,115",$3.05,$3.17,$3.0204
01/23/2024,$3.05,"46,710",$3.02,$3.15,$2.9392
01/22/2024,$3.04,"90,765",$2.86,$3.07,$2.77
01/19/2024,$2.86,"79,907",$3.08,$3.156,$2.67
01/18/2024,$2.94,"72,920",$3.06,$3.28,$2.84
01/17/2024,$3.00,"51,536",$3.14,$3.18,$2.98
01/16/2024,$3.17,"52,477",$3.28,$3.37,$3.12
