Date,Close,Volume,Open,High,Low
03/01/2024,$5.55,"179,719",$5.42,$5.725,$5.21
02/29/2024,$5.27,"243,612",$5.86,$6.05,$5.27
02/28/2024,$5.72,"145,115",$5.74,$5.79,$5.54
02/27/2024,$5.67,"187,846",$5.46,$5.82,$5.445
02/26/2024,$5.40,"119,874",$5.01,$5.495,$4.99
02/23/2024,$5.18,"67,594",$5.11,$5.30,$5.0042
02/22/2024,$5.11,"176,202",$4.98,$5.12,$4.76
02/21/2024,$4.99,"85,312",$5.24,$5.32,$4.92
02/20/2024,$5.19,"68,605",$5.37,$5.43,$5.1401
02/16/2024,$5.445,"74,646",$5.54,$5.63,$5.415
02/15/2024,$5.56,"125,881",$5.33,$5.57,$5.30
02/14/2024,$5.28,"82,385",$5.24,$5.31,$5.19
02/13/2024,$5.17,"93,961",$5.69,$5.75,$5.15
02/12/2024,$5.75,"79,090",$5.54,$5.78,$5.51
02/09/2024,$5.51,"97,273",$5.25,$5.53,$5.25
02/08/2024,$5.24,"87,785",$5.19,$5.29,$5.1082
02/07/2024,$5.17,"122,905",$5.40,$5.40,$5.10
02/06/2024,$5.36,"75,988",$5.23,$5.40,$5.2061
02/05/2024,$5.24,"128,819",$5.62,$5.625,$5.19
02/02/2024,$5.67,"105,378",$5.75,$5.81,$5.59
02/01/2024,$5.75,"96,101",$5.67,$5.82,$5.5908
01/31/2024,$5.65,"106,690",$5.63,$5.775,$5.52
01/30/2024,$5.65,"77,311",$5.94,$5.96,$5.64
01/29/2024,$5.99,"178,878",$5.87,$6.055,$5.87
01/26/2024,$5.79,"87,244",$5.69,$5.81,$5.645
01/25/2024,$5.66,"96,257",$5.49,$5.71,$5.43
01/24/2024,$5.45,"201,053",$5.82,$5.83,$5.43
01/23/2024,$5.80,"146,308",$5.86,$5.94,$5.70
01/22/2024,$5.83,"337,566",$5.91,$6.10,$5.79
01/19/2024,$5.91,"171,219",$5.74,$6.00,$5.5206
01/18/2024,$5.76,"198,679",$6.05,$6.05,$5.70
01/17/2024,$6.08,"342,701",$5.53,$6.14,$5.3745
01/16/2024,$5.63,"181,600",$5.71,$5.76,$5.40
01/12/2024,$5.72,"183,046",$5.99,$5.99,$5.66
01/11/2024,$5.95,"178,163",$5.92,$6.03,$5.75
01/10/2024,$5.93,"196,694",$6.15,$6.2406,$5.84
01/09/2024,$6.12,"298,149",$6.19,$6.488,$6.08
01/08/2024,$6.32,"256,734",$6.72,$6.72,$6.25
01/05/2024,$6.72,"170,909",$6.70,$6.85,$6.67
01/04/2024,$6.70,"218,281",$6.76,$6.9297,$6.60
01/03/2024,$6.79,"439,368",$6.86,$7.225,$6.70
01/02/2024,$6.81,"499,790",$7.22,$7.2867,$6.58
12/29/2023,$7.32,"431,383",$7.29,$7.34,$7.02
12/28/2023,$7.29,"483,322",$7.10,$7.32,$6.7149
12/27/2023,$7.15,"735,575",$6.90,$7.51,$6.68
12/26/2023,$6.50,"421,540",$6.81,$6.82,$6.31
12/22/2023,$6.82,"750,967",$6.40,$6.89,$6.22
12/21/2023,$6.41,"945,122",$5.65,$6.54,$5.61
12/20/2023,$5.63,"967,152",$6.13,$6.2199,$5.56
12/19/2023,$5.56,"1,181,611",$5.29,$5.695,$5.02
12/18/2023,$5.56,"2,932,849",$5.75,$6.05,$5.05
12/15/2023,$6.09,"53,129,630",$4.20,$6.92,$4.0001
12/14/2023,$3.76,"91,050",$3.87,$3.949,$3.62
12/13/2023,$3.84,"58,957",$3.72,$3.84,$3.62
12/12/2023,$3.71,"40,201",$3.68,$3.73,$3.5306
12/11/2023,$3.64,"90,326",$3.82,$3.82,$3.53
12/08/2023,$3.83,"90,459",$4.04,$4.04,$3.75
12/07/2023,$4.01,"99,283",$3.89,$4.11,$3.8342
12/06/2023,$3.86,"69,725",$3.85,$3.89,$3.7033
