Date,Close,Volume,Open,High,Low
03/01/2024,$31.46,"410,182",$31.61,$31.79,$31.22
02/29/2024,$31.61,"451,808",$32.01,$32.26,$31.33
02/28/2024,$31.58,"271,906",$31.45,$31.78,$31.34
02/27/2024,$31.72,"332,241",$31.80,$32.1411,$31.57
02/26/2024,$31.48,"269,134",$30.87,$31.49,$30.87
02/23/2024,$30.78,"292,616",$30.47,$31.02,$30.43
02/22/2024,$30.47,"370,921",$30.64,$30.92,$30.41
02/21/2024,$30.41,"365,141",$31.07,$31.16,$30.13
02/20/2024,$31.49,"346,974",$31.58,$31.875,$31.38
02/16/2024,$32.15,"386,241",$31.62,$32.6023,$31.62
02/15/2024,$32.04,"538,607",$31.98,$32.58,$31.59
02/14/2024,$31.52,"418,465",$30.78,$31.62,$30.61
02/13/2024,$30.22,"617,420",$31.37,$31.62,$29.99
02/12/2024,$32.35,"740,362",$31.99,$32.735,$31.95
02/09/2024,$31.91,"542,852",$31.10,$31.94,$30.975
02/08/2024,$30.68,"431,400",$30.60,$31.3573,$30.52
02/07/2024,$30.78,"333,379",$30.59,$31.00,$30.315
02/06/2024,$30.57,"410,653",$29.59,$30.68,$29.46
02/05/2024,$29.62,"769,649",$28.84,$29.75,$28.415
02/02/2024,$29.06,"384,544",$29.17,$29.48,$28.9466
02/01/2024,$29.51,"808,494",$29.79,$30.15,$28.91
01/31/2024,$29.69,"895,560",$30.19,$30.555,$29.59
01/30/2024,$30.47,"463,222",$30.93,$31.30,$30.36
01/29/2024,$31.14,"523,990",$30.08,$31.17,$29.85
01/26/2024,$30.10,"745,945",$29.98,$30.33,$29.83
01/25/2024,$29.84,"508,361",$29.67,$29.88,$29.47
01/24/2024,$29.25,"463,625",$29.75,$29.87,$29.21
01/23/2024,$29.33,"523,759",$29.65,$29.65,$28.96
01/22/2024,$29.19,"572,407",$28.58,$29.38,$28.56
01/19/2024,$28.44,"595,434",$27.58,$28.46,$27.17
01/18/2024,$27.36,"647,629",$26.98,$27.47,$26.66
01/17/2024,$26.70,"883,347",$26.00,$26.75,$25.94
01/16/2024,$26.45,"1,065,275",$26.77,$26.94,$26.245
01/12/2024,$27.13,"342,226",$27.49,$28.14,$27.09
01/11/2024,$27.15,"581,468",$26.95,$27.53,$26.60
01/10/2024,$26.99,"422,098",$26.15,$27.15,$26.10
01/09/2024,$26.28,"333,596",$26.33,$26.55,$26.035
01/08/2024,$26.68,"397,336",$25.68,$26.76,$25.51
01/05/2024,$25.58,"283,177",$25.41,$25.88,$25.41
01/04/2024,$25.66,"398,001",$25.50,$25.81,$25.1769
01/03/2024,$25.37,"430,570",$26.07,$26.12,$25.31
01/02/2024,$26.29,"507,515",$26.84,$26.95,$26.10
12/29/2023,$27.03,"304,256",$27.33,$27.58,$26.98
12/28/2023,$27.45,"252,918",$27.38,$27.59,$27.29
12/27/2023,$27.48,"332,038",$27.50,$27.63,$27.16
12/26/2023,$27.48,"314,053",$27.42,$27.81,$27.32
12/22/2023,$27.42,"363,248",$27.77,$28.08,$27.195
12/21/2023,$27.57,"440,948",$27.61,$27.77,$27.11
12/20/2023,$27.29,"665,772",$27.89,$28.44,$27.2705
12/19/2023,$28.10,"747,112",$27.74,$28.67,$27.70
12/18/2023,$27.65,"755,084",$27.29,$27.89,$27.03
12/15/2023,$27.44,"1,206,932",$28.04,$28.04,$27.255
12/14/2023,$27.83,"823,010",$28.16,$28.68,$27.43
12/13/2023,$27.60,"833,462",$27.08,$27.612,$26.0759
12/12/2023,$27.08,"571,688",$27.12,$27.355,$26.76
12/11/2023,$27.27,"766,093",$27.82,$28.22,$27.15
12/08/2023,$27.98,"813,297",$28.45,$28.68,$27.35
12/07/2023,$28.60,"3,041,698",$27.14,$29.70,$26.85
12/06/2023,$24.03,"1,489,697",$24.50,$24.755,$23.94
12/05/2023,$24.26,"1,295,223",$24.30,$24.415,$23.93
12/04/2023,$24.52,"1,031,329",$24.97,$25.42,$24.27
