Date,Close,Volume,Open,High,Low
03/01/2024,$1.96,"48,461",$1.95,$1.99,$1.95
02/29/2024,$1.95,"15,798",$1.91,$1.95,$1.89
02/28/2024,$1.89,"8,730",$1.90,$1.96,$1.88
02/27/2024,$1.88,"29,314",$1.902,$1.915,$1.85
02/26/2024,$1.88,"47,207",$1.94,$1.99,$1.88
02/23/2024,$1.95,"30,325",$1.99,$2.05,$1.93
02/22/2024,$1.95,"63,746",$1.99,$2.055,$1.9008
02/21/2024,$2.08,"114,611",$2.06,$2.18,$1.96
02/20/2024,$2.095,"182,719",$2.08,$2.20,$1.98
02/16/2024,$2.17,"3,523,061",$2.61,$2.8498,$1.94
02/15/2024,$2.23,"2,938,917",$2.10,$2.40,$2.04
02/14/2024,$2.0405,"20,915",$1.98,$2.0694,$1.9141
02/13/2024,$1.945,"1,062",$2.00,$2.00,$1.90
02/12/2024,$1.98,"1,482",$1.90,$1.98,$1.89
02/09/2024,$1.99,"11,606",$1.86,$1.99,$1.85
02/08/2024,$1.975,"159,604",$2.1299,$2.29,$1.69
02/07/2024,$2.0481,"5,755",$1.95,$2.15,$1.95
02/06/2024,$2.08,321,$2.08,$2.08,$2.08
02/05/2024,$2.03,"5,336",$2.00,$2.05,$1.95
02/02/2024,$2.0537,220,$2.0537,$2.0537,$2.0537
02/01/2024,$1.96,206,$1.96,$1.96,$1.96
01/31/2024,$2.0086,845,$1.9268,$2.04,$1.912
01/30/2024,$1.99,664,$1.99,$1.99,$1.99
01/29/2024,$2.06,"7,206",$2.035,$2.148,$1.94
01/26/2024,$2.0929,"1,074",$1.98,$2.0929,$1.97
01/25/2024,$2.03,"5,469",$1.97,$2.09,$1.97
01/24/2024,$2.1268,351,$2.1268,$2.1268,$2.1268
01/23/2024,$2.10,"11,497",$2.019,$2.11,$1.97
01/22/2024,$1.955,"29,914",$1.95,$2.064,$1.9101
01/19/2024,$1.9636,"8,408",$1.99,$2.0134,$1.92
01/18/2024,$2.05,"9,054",$1.9801,$2.085,$1.9801
01/17/2024,$2.04,"33,377",$2.1601,$2.225,$1.9201
01/16/2024,$2.245,"21,828",$2.17,$2.29,$2.17
01/12/2024,$2.23,"3,487",$2.20,$2.23,$2.17
01/11/2024,$2.23,"1,342",$2.21,$2.23,$2.21
01/10/2024,$2.24,"6,264",$2.245,$2.2899,$2.2001
01/09/2024,$2.1901,"9,346",$2.2201,$2.2737,$2.185
01/08/2024,$2.27,"34,592",$2.16,$2.29,$2.12
01/05/2024,$2.11,"6,471",$2.11,$2.1625,$2.10
01/04/2024,$2.12,"9,272",$2.10,$2.1899,$2.10
01/03/2024,$2.1799,"17,305",$2.14,$2.2323,$2.14
01/02/2024,$2.1899,"14,754",$2.17,$2.1899,$2.09
12/29/2023,$2.165,"83,644",$1.98,$2.30,$1.97
12/28/2023,$1.90,"9,727",$1.91,$1.91,$1.86
12/27/2023,$1.89,"6,032",$1.86,$1.9312,$1.8301
12/26/2023,$1.97,"9,799",$1.87,$1.97,$1.87
12/22/2023,$1.94,"2,854",$1.94,$1.9401,$1.90
12/21/2023,$1.94,"6,583",$1.8952,$1.9691,$1.8952
12/20/2023,$1.905,"3,447",$1.85,$1.96,$1.83
12/19/2023,$1.8501,"5,889",$1.8301,$1.94,$1.8301
12/18/2023,$1.7901,"6,785",$1.78,$1.89,$1.78
12/15/2023,$1.85,"19,108",$1.71,$1.94,$1.71
12/14/2023,$1.7436,"6,253",$1.79,$1.801,$1.71
12/13/2023,$1.84,"3,897",$1.84,$1.84,$1.79
12/12/2023,$1.83,"2,699",$1.83,$1.83,$1.8198
12/11/2023,$1.825,"2,495",$1.83,$1.88,$1.825
12/08/2023,$1.86,"2,967",$1.88,$1.88,$1.82
12/07/2023,$1.93,"8,067",$1.95,$1.95,$1.8101
12/06/2023,$1.98,"44,573",$1.77,$1.9999,$1.77
12/05/2023,$1.7155,"4,852",$1.7035,$1.82,$1.70
12/04/2023,$1.78,"24,398",$1.74,$1.815,$1.73
12/01/2023,$1.7552,"2,146",$1.748,$1.7552,$1.73
11/30/2023,$1.81,"13,414",$1.71,$1.898,$1.70
11/29/2023,$1.7101,"18,427",$1.76,$1.7701,$1.67
11/28/2023,$1.78,"1,934",$1.81,$1.81,$1.76
11/27/2023,$1.8799,"9,681",$1.82,$1.8858,$1.75
11/24/2023,$1.9399,"15,530",$1.7401,$1.9699,$1.7401
11/22/2023,$1.78,311,$1.78,$1.78,$1.78
11/21/2023,$1.81,"2,548",$1.74,$1.81,$1.72
11/20/2023,$1.78,"4,887",$1.81,$1.81,$1.74
11/17/2023,$1.858,"5,122",$1.79,$1.858,$1.7475
11/16/2023,$1.7799,"11,158",$1.82,$1.8399,$1.7301
11/15/2023,$1.8642,"6,794",$1.8101,$1.90,$1.76
11/14/2023,$1.8899,"8,761",$1.80,$1.8999,$1.75
11/13/2023,$1.8088,"4,630",$1.7544,$1.809,$1.74
11/10/2023,$1.74,"2,736",$1.81,$1.81,$1.74
11/09/2023,$1.84,"18,512",$1.84,$1.8799,$1.79
11/08/2023,$1.77,"1,919",$1.83,$1.85,$1.77
11/07/2023,$1.76,"18,632",$1.715,$1.90,$1.70
11/06/2023,$1.70,"4,444",$1.65,$1.7075,$1.65
11/03/2023,$1.7002,"3,661",$1.70,$1.8101,$1.70
11/02/2023,$1.70,"33,888",$1.63,$1.7471,$1.605
11/01/2023,$1.598,"11,363",$1.60,$1.6499,$1.575
10/31/2023,$1.59,"14,146",$1.64,$1.765,$1.58
10/30/2023,$1.66,"12,404",$1.75,$1.755,$1.6401
10/27/2023,$1.76,"7,016",$1.91,$1.91,$1.76
10/26/2023,$1.88,"35,158",$1.989,$2.0642,$1.83
10/25/2023,$1.94,"21,736",$1.96,$2.045,$1.94
10/24/2023,$1.96,"28,616",$2.075,$2.0899,$1.96
10/23/2023,$1.98,"67,016",$2.11,$2.25,$1.98
10/20/2023,$2.195,"24,551",$2.265,$2.35,$2.1501
10/19/2023,$2.22,"37,285",$2.352,$2.352,$2.06
10/18/2023,$2.21,"64,820",$2.39,$2.40,$2.08
10/17/2023,$2.44,"121,759",$2.38,$2.50,$2.20
10/16/2023,$2.4354,"256,181",$2.07,$2.51,$2.001
10/13/2023,$2.1499,"86,992",$2.11,$2.18,$1.95
10/12/2023,$2.35,"593,434",$2.01,$2.66,$1.9809
10/11/2023,$2.03,"14,450",$1.98,$2.10,$1.98
10/10/2023,$1.98,"10,489",$2.12,$2.12,$1.93
10/09/2023,$1.9999,"4,222",$1.92,$2.01,$1.92
10/06/2023,$2.065,"12,954",$2.08,$2.10,$1.98
10/05/2023,$2.1199,502,$1.99,$2.1199,$1.99
10/04/2023,$2.1199,"1,365",$2.05,$2.1199,$2.0445
10/03/2023,$2.065,343,$2.065,$2.065,$2.065
10/02/2023,$2.13,"6,867",$2.06,$2.14,$2.015
09/29/2023,$2.05,990,$2.06,$2.06,$2.05
09/28/2023,$2.0488,"4,408",$2.00,$2.084,$1.96
09/27/2023,$2.0642,"14,028",$2.00,$2.08,$1.95
09/26/2023,$2.014,"13,598",$2.02,$2.12,$2.00
09/25/2023,$2.00,"8,002",$2.00,$2.15,$2.00
09/22/2023,$2.00,"9,978",$2.06,$2.07,$2.00
09/21/2023,$2.0001,"8,880",$2.13,$2.16,$2.00
09/20/2023,$2.21,"11,975",$2.151,$2.21,$2.045
09/19/2023,$2.1699,"4,315",$2.20,$2.2203,$2.152
09/18/2023,$2.1694,"10,790",$2.21,$2.22,$2.1501
09/15/2023,$2.20,"4,299",$2.2599,$2.2599,$2.20
09/14/2023,$2.23,"11,424",$2.25,$2.25,$2.161
09/13/2023,$2.2799,"11,291",$2.2825,$2.2899,$2.16
09/12/2023,$2.2899,"40,655",$2.1705,$2.30,$2.1515
09/11/2023,$2.1392,"1,275",$2.145,$2.145,$2.1392
09/08/2023,$2.12,"12,679",$2.1899,$2.1899,$2.11
09/07/2023,$2.13,"53,559",$1.94,$2.1899,$1.89
09/06/2023,$1.96,"5,960",$2.00,$2.00,$1.94
09/05/2023,$2.00,"6,398",$2.06,$2.06,$1.97
09/01/2023,$2.1001,"11,313",$2.06,$2.14,$2.00
08/31/2023,$1.93,"19,441",$2.066,$2.15,$1.93
08/30/2023,$2.04,"17,123",$1.98,$2.0702,$1.93
08/29/2023,$1.98,"1,121",$1.9794,$1.98,$1.9794
08/28/2023,$2.01,"2,978",$1.98,$2.01,$1.9799
08/25/2023,$2.01,"29,296",$2.10,$2.1035,$1.93
08/24/2023,$2.14,"14,068",$2.09,$2.18,$2.05
08/23/2023,$2.0999,"6,067",$2.02,$2.0999,$2.02
08/22/2023,$2.09,"11,434",$2.04,$2.15,$2.01
08/21/2023,$2.0771,"26,217",$2.07,$2.2111,$2.02
08/18/2023,$2.12,"7,529",$2.14,$2.14,$2.08
08/17/2023,$2.08,"5,105",$2.10,$2.24,$2.07
08/16/2023,$2.155,"14,069",$2.13,$2.28,$2.06
08/15/2023,$2.19,"5,257",$2.08,$2.25,$2.08
08/14/2023,$2.15,"8,712",$2.162,$2.17,$2.10
08/11/2023,$2.1507,"3,956",$2.22,$2.22,$2.1507
08/10/2023,$2.21,"1,544",$2.18,$2.21,$2.15
08/09/2023,$2.20,"7,274",$2.14,$2.20,$2.1001
08/08/2023,$2.20,"2,605",$2.22,$2.22,$2.12
08/07/2023,$2.1943,"3,005",$2.14,$2.25,$2.14
08/04/2023,$2.19,"3,002",$2.20,$2.20,$2.16
08/03/2023,$2.18,"4,319",$2.38,$2.38,$2.18
08/02/2023,$2.24,"34,854",$2.28,$2.40,$2.22
08/01/2023,$2.32,"15,044",$2.34,$2.44,$2.252
07/31/2023,$2.299,"6,484",$2.31,$2.38,$2.244
07/28/2023,$2.29,"10,024",$2.30,$2.40,$2.22
07/27/2023,$2.27,"14,056",$2.29,$2.4176,$2.2101
07/26/2023,$2.30,"20,786",$2.25,$2.33,$2.1883
07/25/2023,$2.18,"7,420",$2.19,$2.2199,$2.15
07/24/2023,$2.145,"4,855",$2.08,$2.17,$2.08
07/21/2023,$2.1601,"2,141",$2.1601,$2.1601,$2.1601
07/20/2023,$2.16,"4,567",$2.17,$2.22,$2.1501
07/19/2023,$2.17,"9,206",$2.16,$2.34,$2.15
07/18/2023,$2.23,"17,903",$2.171,$2.29,$2.17
07/17/2023,$2.30,"49,982",$2.18,$2.33,$2.08
07/14/2023,$2.11,"66,604",$2.11,$2.2499,$2.09
07/13/2023,$2.20,"785,214",$2.23,$2.24,$2.06
07/12/2023,$2.24,"6,372",$2.26,$2.34,$2.16
07/11/2023,$2.225,"26,590",$2.39,$2.41,$2.22
07/10/2023,$2.26,"37,198",$2.24,$2.40,$2.1501
07/07/2023,$2.20,"2,224",$2.1699,$2.245,$2.1699
07/06/2023,$2.1701,"3,269",$2.16,$2.24,$2.16
07/05/2023,$2.2299,"4,976",$2.18,$2.25,$2.1616
07/03/2023,$2.205,"12,668",$2.19,$2.23,$2.1601
06/30/2023,$2.2253,"11,246",$2.25,$2.25,$2.17
