Date,Close,Volume,Open,High,Low
03/01/2024,$109.01,"1,943,683",$104.06,$109.64,$103.68
02/29/2024,$102.61,"1,011,390",$104.99,$106.23,$101.83
02/28/2024,$104.24,"423,750",$104.70,$105.69,$102.2201
02/27/2024,$104.13,"399,453",$104.95,$106.11,$103.54
02/26/2024,$105.03,"867,614",$105.16,$105.77,$104.17
02/23/2024,$105.73,"780,581",$106.53,$107.23,$103.7541
02/22/2024,$107.75,"1,089,314",$103.11,$108.27,$102.97
02/21/2024,$103.61,"1,268,522",$100.47,$105.20,$100.47
02/20/2024,$100.47,"487,851",$100.90,$101.67,$99.30
02/16/2024,$101.61,"770,626",$102.21,$102.88,$100.18
02/15/2024,$102.21,"779,742",$97.50,$102.23,$97.43
02/14/2024,$97.46,"836,749",$98.42,$99.87,$96.66
02/13/2024,$96.97,"777,869",$95.75,$97.78,$94.82
02/12/2024,$97.62,"617,812",$97.81,$98.535,$96.96
02/09/2024,$96.67,"687,160",$97.58,$98.015,$95.97
02/08/2024,$98.45,"1,676,133",$94.98,$100.89,$94.80
02/07/2024,$93.95,"2,295,857",$91.94,$95.00,$90.915
02/06/2024,$87.69,"1,359,417",$85.71,$88.45,$85.17
02/05/2024,$84.84,"834,113",$84.37,$85.63,$82.16
02/02/2024,$85.46,"1,041,425",$87.18,$87.805,$84.67
02/01/2024,$87.98,"925,086",$90.12,$91.51,$86.80
01/31/2024,$89.55,"1,914,143",$87.25,$90.33,$85.26
01/30/2024,$87.16,"3,352,873",$95.00,$95.0624,$83.22
01/29/2024,$99.62,"427,107",$98.50,$99.71,$97.565
01/26/2024,$99.14,"497,776",$99.26,$100.06,$97.27
01/25/2024,$99.21,"453,713",$98.99,$99.28,$96.53
01/24/2024,$97.33,"561,326",$96.91,$98.49,$95.59
01/23/2024,$95.95,"534,183",$95.68,$98.41,$95.055
01/22/2024,$95.29,"947,041",$95.38,$97.915,$94.40
01/19/2024,$95.23,"664,055",$95.32,$96.50,$94.85
01/18/2024,$94.50,"475,080",$93.03,$94.93,$92.108
01/17/2024,$92.83,"350,932",$90.90,$93.53,$90.19
01/16/2024,$92.23,"521,055",$93.75,$95.29,$91.69
01/12/2024,$94.23,"700,728",$94.18,$94.53,$91.98
01/11/2024,$92.00,"794,199",$90.22,$92.03,$88.81
01/10/2024,$89.83,"868,269",$91.29,$91.56,$89.10
01/09/2024,$91.65,"1,142,708",$93.10,$93.228,$90.275
01/08/2024,$93.23,"1,003,137",$93.10,$93.32,$88.575
01/05/2024,$94.89,"850,004",$92.86,$95.15,$92.35
01/04/2024,$92.43,"770,279",$94.98,$96.235,$92.26
01/03/2024,$94.09,"707,404",$94.89,$96.68,$93.86
01/02/2024,$95.28,"553,967",$99.09,$99.7699,$94.83
12/29/2023,$97.83,"641,039",$99.19,$99.62,$97.26
12/28/2023,$98.95,"541,220",$99.82,$100.63,$98.43
12/27/2023,$100.68,"696,713",$101.26,$102.645,$100.52
12/26/2023,$101.26,"746,877",$98.27,$101.64,$97.63
12/22/2023,$96.59,"659,507",$98.50,$99.855,$96.46
12/21/2023,$97.98,"866,066",$96.48,$98.13,$96.40
12/20/2023,$96.01,"1,323,769",$96.14,$98.69,$95.1901
12/19/2023,$95.75,"1,073,940",$91.96,$95.80,$91.25
12/18/2023,$91.46,"603,317",$90.48,$92.50,$90.48
12/15/2023,$88.95,"1,610,041",$89.71,$90.43,$87.31
12/14/2023,$89.27,"844,382",$88.13,$89.35,$86.6185
12/13/2023,$86.89,"601,254",$85.24,$86.96,$84.3101
12/12/2023,$85.11,"677,059",$85.62,$85.76,$83.55
12/11/2023,$86.73,"409,980",$85.65,$87.99,$85.64
12/08/2023,$86.19,"406,755",$85.40,$87.11,$85.40
12/07/2023,$85.03,"764,018",$86.05,$86.54,$84.29
12/06/2023,$85.64,"789,942",$88.62,$89.80,$85.41
12/05/2023,$90.06,"487,624",$90.49,$91.365,$89.6303
12/04/2023,$91.03,"685,488",$90.46,$91.65,$89.68
12/01/2023,$91.32,"759,203",$90.44,$92.65,$90.34
11/30/2023,$90.69,"1,141,669",$91.70,$93.53,$89.31
11/29/2023,$90.29,"1,185,564",$92.18,$92.26,$89.061
11/28/2023,$92.03,"874,749",$92.56,$92.78,$91.01
11/27/2023,$92.69,"904,959",$92.88,$93.445,$91.88
11/24/2023,$93.56,"213,405",$92.69,$94.52,$92.69
11/22/2023,$92.53,"825,310",$90.86,$92.84,$90.06
11/21/2023,$93.02,"779,098",$94.45,$94.65,$92.52
11/20/2023,$94.89,"738,619",$93.86,$95.88,$93.86
11/17/2023,$93.12,"734,564",$93.25,$94.73,$92.61
11/16/2023,$91.96,"1,402,933",$95.00,$95.77,$89.75
11/15/2023,$95.97,"1,139,489",$98.36,$99.79,$95.50
11/14/2023,$98.60,"915,949",$97.70,$98.70,$96.35
11/13/2023,$96.80,"921,990",$95.94,$98.20,$94.59
11/10/2023,$95.36,"1,108,625",$96.17,$97.99,$95.24
11/09/2023,$94.76,"925,943",$92.77,$95.88,$92.23
11/08/2023,$91.67,"1,281,532",$91.18,$92.7025,$89.87
11/07/2023,$92.21,"2,228,559",$98.39,$98.39,$91.72
11/06/2023,$99.49,"1,580,235",$100.00,$100.93,$98.2214
11/03/2023,$99.32,"1,470,232",$99.48,$99.85,$97.51
11/02/2023,$99.11,"1,639,161",$95.97,$99.21,$95.97
11/01/2023,$95.30,"1,430,149",$93.84,$96.61,$92.95
10/31/2023,$93.09,"829,881",$91.46,$93.54,$89.94
10/30/2023,$91.46,"815,067",$94.01,$94.7443,$90.16
10/27/2023,$93.39,"1,183,252",$93.60,$93.68,$90.50
10/26/2023,$93.26,"1,061,300",$92.84,$94.515,$90.65
10/25/2023,$92.98,"1,673,421",$93.85,$96.47,$91.185
10/24/2023,$92.51,"1,039,426",$93.97,$93.97,$91.385
10/23/2023,$92.83,"730,269",$92.82,$92.88,$90.68
10/20/2023,$92.97,"1,059,213",$93.49,$94.07,$91.315
10/19/2023,$94.00,"1,044,986",$93.74,$95.13,$92.52
10/18/2023,$94.46,"784,784",$97.14,$97.73,$93.925
10/17/2023,$96.55,"675,815",$95.60,$97.88,$95.60
10/16/2023,$95.69,"601,281",$96.40,$96.955,$95.17
10/13/2023,$95.58,"945,375",$95.16,$96.195,$94.38
10/12/2023,$94.40,"1,237,770",$94.80,$95.16,$92.815
10/11/2023,$94.22,"1,024,907",$93.14,$94.38,$91.25
10/10/2023,$93.31,"1,507,350",$92.05,$93.64,$91.1201
10/09/2023,$92.02,"1,580,084",$89.85,$92.155,$89.69
10/06/2023,$87.61,"1,314,957",$84.88,$88.25,$84.32
10/05/2023,$84.83,"1,120,460",$84.39,$86.43,$83.9421
10/04/2023,$85.42,"1,403,367",$89.05,$89.07,$84.685
10/03/2023,$90.12,"1,204,365",$89.40,$91.67,$89.40
10/02/2023,$90.54,"1,337,989",$90.64,$90.88,$87.74
09/29/2023,$90.33,"1,405,303",$93.64,$94.00,$90.07
09/28/2023,$93.12,"932,460",$93.76,$94.79,$92.87
09/27/2023,$93.93,"1,072,273",$92.14,$94.70,$91.74
09/26/2023,$90.79,"797,627",$89.86,$91.30,$89.12
09/25/2023,$90.62,"649,794",$90.52,$91.74,$89.60
09/22/2023,$90.62,"1,124,714",$90.62,$91.57,$90.30
09/21/2023,$90.62,"1,255,315",$92.42,$92.71,$90.09
09/20/2023,$92.52,"1,323,773",$94.13,$95.37,$92.45
09/19/2023,$94.68,"1,292,731",$98.32,$98.97,$94.43
09/18/2023,$97.39,"1,639,395",$96.50,$98.22,$96.1025
09/15/2023,$96.71,"13,812,910",$95.36,$96.97,$94.37
09/14/2023,$95.19,"1,519,732",$97.29,$97.64,$94.66
09/13/2023,$95.94,"1,345,263",$97.65,$98.47,$95.72
09/12/2023,$97.03,"1,676,376",$96.48,$98.72,$95.62
09/11/2023,$95.42,"1,146,165",$95.94,$97.07,$94.45
09/08/2023,$94.27,"1,400,770",$93.39,$95.94,$93.39
09/07/2023,$93.39,"991,726",$92.10,$93.64,$92.10
