Date,Close,Volume,Open,High,Low
03/01/2024,$71.97,"375,227",$71.73,$72.075,$70.425
02/29/2024,$71.73,"313,809",$71.33,$71.88,$70.80
02/28/2024,$70.67,"390,748",$70.52,$71.53,$70.495
02/27/2024,$71.15,"276,397",$71.00,$71.55,$70.69
02/26/2024,$70.14,"305,590",$70.39,$71.48,$70.12
02/23/2024,$70.55,"316,664",$70.82,$71.27,$70.11
02/22/2024,$70.69,"327,492",$69.55,$71.12,$69.3073
02/21/2024,$69.56,"327,753",$69.00,$69.63,$68.51
02/20/2024,$69.23,"563,131",$68.59,$69.5075,$68.1968
02/16/2024,$69.46,"396,806",$69.30,$69.83,$68.87
02/15/2024,$70.00,"349,305",$69.27,$70.52,$69.165
02/14/2024,$68.54,"333,486",$68.39,$68.92,$67.18
02/13/2024,$67.40,"568,165",$67.09,$67.775,$66.53
02/12/2024,$69.40,"390,971",$68.00,$70.07,$68.00
02/09/2024,$68.06,"312,578",$67.06,$68.34,$66.8953
02/08/2024,$66.97,"317,367",$66.82,$67.275,$66.355
02/07/2024,$66.60,"273,349",$66.20,$67.16,$65.95
02/06/2024,$66.25,"302,954",$66.16,$66.98,$66.13
02/05/2024,$66.40,"337,629",$66.38,$67.11,$65.755
02/02/2024,$67.53,"387,031",$66.80,$68.145,$66.40
02/01/2024,$67.47,"390,276",$66.43,$67.65,$65.55
01/31/2024,$65.72,"630,807",$65.65,$67.88,$65.126
01/30/2024,$65.62,"480,378",$66.96,$67.16,$65.59
01/29/2024,$67.45,"553,061",$66.55,$67.49,$66.16
01/26/2024,$66.55,"521,682",$67.32,$67.86,$66.19
01/25/2024,$66.77,"732,030",$67.88,$67.885,$65.08
01/24/2024,$67.81,"629,183",$69.82,$69.82,$66.945
01/23/2024,$68.92,"793,242",$69.90,$70.85,$68.75
01/22/2024,$68.57,"826,813",$67.97,$69.05,$67.475
01/19/2024,$67.58,"2,649,802",$68.89,$69.75,$65.75
01/18/2024,$67.64,"1,492,286",$67.07,$67.84,$66.045
01/17/2024,$66.67,"338,860",$65.99,$67.25,$65.895
01/16/2024,$67.01,"247,708",$66.13,$67.089,$65.63
01/12/2024,$66.90,"358,298",$68.44,$68.605,$66.51
01/11/2024,$68.07,"357,939",$68.23,$68.58,$66.95
01/10/2024,$68.75,"264,912",$68.01,$68.82,$66.8829
01/09/2024,$68.16,"428,342",$67.71,$68.6145,$67.36
01/08/2024,$68.70,"321,006",$68.18,$69.585,$67.79
01/05/2024,$68.04,"524,362",$68.14,$69.50,$67.86
01/04/2024,$68.61,"417,525",$69.25,$69.53,$68.53
01/03/2024,$69.09,"624,769",$72.00,$72.00,$68.74
01/02/2024,$73.14,"349,199",$72.15,$73.43,$71.67
12/29/2023,$72.88,"260,307",$73.59,$74.04,$72.831
12/28/2023,$73.64,"311,926",$73.49,$73.97,$73.26
