Date,Close,Volume,Open,High,Low
03/01/2024,$0.0401,"17,464,460",$0.0378,$0.0416,$0.0365
02/29/2024,$0.0378,"7,271,541",$0.0401,$0.0404,$0.0374
02/28/2024,$0.0403,"5,878,377",$0.0405,$0.0409,$0.04
02/27/2024,$0.0408,"8,013,457",$0.04,$0.041,$0.0391
02/26/2024,$0.0399,"7,118,940",$0.0414,$0.0414,$0.0383
02/23/2024,$0.0407,"12,252,770",$0.0408,$0.0425,$0.0394
02/22/2024,$0.0423,"19,210,020",$0.0432,$0.0432,$0.04
02/21/2024,$0.0423,"18,448,150",$0.047,$0.0474,$0.042
02/20/2024,$0.0479,"16,493,080",$0.0492,$0.052,$0.0466
02/16/2024,$0.0484,"39,963,910",$0.058,$0.058,$0.048
02/15/2024,$0.0522,"21,695,980",$0.051,$0.055,$0.0492
02/14/2024,$0.0495,"14,458,160",$0.0507,$0.0527,$0.0471
02/13/2024,$0.0508,"16,536,880",$0.048,$0.0517,$0.0454
02/12/2024,$0.0501,"33,885,800",$0.0469,$0.0536,$0.0444
02/09/2024,$0.0794,"3,880,819",$0.08,$0.0848,$0.0772
02/08/2024,$0.0803,"1,765,784",$0.08,$0.0828,$0.0789
02/07/2024,$0.0803,"1,808,413",$0.0898,$0.0898,$0.0801
02/06/2024,$0.089,"1,225,644",$0.0858,$0.0898,$0.085
02/05/2024,$0.0879,"766,677",$0.0854,$0.0898,$0.0845
02/02/2024,$0.0858,"2,094,234",$0.0892,$0.0896,$0.0822
02/01/2024,$0.0896,"2,651,284",$0.0955,$0.0971,$0.0895
01/31/2024,$0.0968,"1,212,217",$0.1005,$0.1007,$0.0945
01/30/2024,$0.101,"737,951",$0.10,$0.1015,$0.098
01/29/2024,$0.1014,"1,909,186",$0.0974,$0.104,$0.0935
01/26/2024,$0.099,"2,500,119",$0.0955,$0.1066,$0.0946
01/25/2024,$0.096,"1,233,409",$0.0935,$0.0993,$0.0931
01/24/2024,$0.0936,"1,731,550",$0.089,$0.0965,$0.089
01/23/2024,$0.0939,"1,482,027",$0.0978,$0.0978,$0.0925
01/22/2024,$0.0982,"2,478,858",$0.1013,$0.1013,$0.09
01/19/2024,$0.1066,"3,349,383",$0.1078,$0.111,$0.1035
01/18/2024,$0.1101,"3,161,852",$0.1085,$0.113,$0.1065
01/17/2024,$0.109,"7,752,005",$0.1125,$0.1129,$0.103
01/16/2024,$0.11,"2,523,635",$0.11,$0.1143,$0.1054
01/12/2024,$0.112,"3,533,072",$0.1072,$0.1171,$0.1061
01/11/2024,$0.1077,"1,284,778",$0.114,$0.114,$0.105
01/10/2024,$0.1122,"1,058,353",$0.112,$0.1144,$0.111
01/09/2024,$0.1125,"1,664,385",$0.1142,$0.1155,$0.1075
01/08/2024,$0.1151,"1,247,195",$0.114,$0.1157,$0.111
01/05/2024,$0.1149,"1,207,747",$0.1169,$0.1198,$0.1124
01/04/2024,$0.117,"1,179,363",$0.118,$0.12,$0.115
01/03/2024,$0.1154,"1,978,243",$0.12,$0.1207,$0.1129
01/02/2024,$0.1185,"530,386",$0.118,$0.119,$0.116
12/29/2023,$0.1169,"1,974,970",$0.121,$0.1242,$0.1133
12/28/2023,$0.12,"2,211,764",$0.1224,$0.125,$0.119
12/27/2023,$0.1224,"1,678,067",$0.12,$0.123,$0.1145
12/26/2023,$0.1204,"1,230,363",$0.1217,$0.1235,$0.1191
12/22/2023,$0.1207,"2,595,838",$0.1163,$0.1255,$0.1133
12/21/2023,$0.1194,"11,141,070",$0.132,$0.135,$0.1136
12/20/2023,$0.1251,"1,615,636",$0.14,$0.14,$0.1251
12/19/2023,$0.1339,"1,843,617",$0.1328,$0.139,$0.127
12/18/2023,$0.125,"1,125,687",$0.1352,$0.1352,$0.1225
12/15/2023,$0.131,"1,267,329",$0.1346,$0.1399,$0.129
12/14/2023,$0.1378,"3,348,685",$0.1217,$0.14,$0.117
12/13/2023,$0.1197,"1,544,156",$0.122,$0.122,$0.1134
12/12/2023,$0.1181,"977,228",$0.119,$0.1225,$0.1171
12/11/2023,$0.1227,"3,092,658",$0.13,$0.1301,$0.113
12/08/2023,$0.1313,"2,096,605",$0.14,$0.14,$0.131
12/07/2023,$0.1383,"2,809,564",$0.134,$0.142,$0.1323
12/06/2023,$0.136,"4,063,919",$0.142,$0.1505,$0.1303
12/05/2023,$0.1482,"10,731,490",$0.173,$0.174,$0.1422
12/04/2023,$0.185,"106,209,800",$0.2185,$0.254,$0.1671
12/01/2023,$0.1435,"1,224,852",$0.132,$0.1451,$0.13
11/30/2023,$0.1351,"696,321",$0.1388,$0.14,$0.1323
11/29/2023,$0.138,"1,959,497",$0.1251,$0.146,$0.1251
11/28/2023,$0.129,"963,898",$0.132,$0.1364,$0.1211
11/27/2023,$0.13,"1,313,472",$0.126,$0.1343,$0.1205
11/24/2023,$0.1262,"2,427,670",$0.1227,$0.136,$0.1064
11/22/2023,$0.1259,"3,345,580",$0.13,$0.131,$0.1236
11/21/2023,$0.134,"1,076,329",$0.1361,$0.1378,$0.13
11/20/2023,$0.1375,"2,220,858",$0.13,$0.139,$0.1295
11/17/2023,$0.1334,"1,101,552",$0.1342,$0.1365,$0.129
11/16/2023,$0.1341,"2,919,725",$0.139,$0.153,$0.1273
11/15/2023,$0.1358,"3,570,484",$0.154,$0.154,$0.133
11/14/2023,$0.1514,"3,246,203",$0.1484,$0.1576,$0.1406
11/13/2023,$0.1484,"3,102,538",$0.156,$0.159,$0.1383
11/10/2023,$0.145,"4,265,486",$0.1608,$0.1608,$0.1446
11/09/2023,$0.179,"24,546,810",$0.1491,$0.2248,$0.1364
11/08/2023,$0.143,"2,276,943",$0.147,$0.1498,$0.131
11/07/2023,$0.1425,"543,044",$0.15,$0.1523,$0.141
11/06/2023,$0.144,"1,565,128",$0.1575,$0.1575,$0.135
11/03/2023,$0.1504,"1,236,272",$0.1481,$0.1575,$0.1459
11/02/2023,$0.1451,"950,121",$0.149,$0.1492,$0.14
11/01/2023,$0.15,"1,206,201",$0.1552,$0.1581,$0.135
10/31/2023,$0.1535,"959,941",$0.1598,$0.163,$0.152
10/30/2023,$0.1538,"1,072,844",$0.159,$0.164,$0.1513
10/27/2023,$0.167,"1,655,612",$0.1757,$0.1757,$0.1543
10/26/2023,$0.1762,"2,032,575",$0.1662,$0.1821,$0.163
10/25/2023,$0.1712,"2,499,915",$0.1779,$0.1797,$0.1645
10/24/2023,$0.1825,"20,552,200",$0.2106,$0.223,$0.1756
10/23/2023,$0.184,"9,720,281",$0.18,$0.1889,$0.167
10/20/2023,$0.1867,"1,290,616",$0.199,$0.2026,$0.185
10/19/2023,$0.2045,"1,981,810",$0.2152,$0.2152,$0.1912
10/18/2023,$0.219,"3,895,724",$0.23,$0.246,$0.2115
10/17/2023,$0.229,"19,003,440",$0.318,$0.325,$0.2222
10/16/2023,$0.248,"4,710,440",$0.425,$0.49,$0.2405
10/13/2023,$0.4147,"134,033",$0.425,$0.425,$0.41
10/12/2023,$0.4201,"1,077,385",$0.405,$0.4497,$0.3851
