Date,Close,Volume,Open,High,Low
03/01/2024,$31.07,"134,470",$31.57,$32.15,$30.65
02/29/2024,$31.66,"192,751",$30.97,$32.20,$30.695
02/28/2024,$30.16,"160,531",$31.43,$31.50,$29.82
02/27/2024,$31.51,"175,841",$30.36,$32.185,$30.36
02/26/2024,$30.37,"184,012",$29.91,$31.2467,$29.6549
02/23/2024,$30.31,"99,707",$31.03,$31.28,$30.06
02/22/2024,$30.85,"144,681",$30.15,$30.97,$29.76
02/21/2024,$30.32,"95,594",$31.15,$31.17,$29.91
02/20/2024,$30.83,"99,748",$31.60,$32.0845,$30.555
02/16/2024,$32.08,"109,538",$32.57,$32.95,$31.88
02/15/2024,$32.42,"253,908",$31.52,$33.19,$30.82
02/14/2024,$30.87,"153,957",$30.15,$31.00,$29.80
02/13/2024,$29.52,"236,199",$29.25,$29.96,$28.56
02/12/2024,$30.00,"229,613",$30.24,$30.83,$29.50
02/09/2024,$30.03,"315,702",$33.60,$34.03,$29.58
02/08/2024,$33.52,"626,793",$30.25,$35.09,$30.25
02/07/2024,$30.11,"99,222",$30.55,$30.62,$29.78
02/06/2024,$30.43,"97,164",$29.95,$30.73,$29.95
02/05/2024,$29.92,"103,013",$29.28,$30.21,$29.28
02/02/2024,$29.99,"88,932",$29.91,$30.32,$29.70
02/01/2024,$30.44,"110,727",$29.87,$30.85,$29.44
01/31/2024,$29.95,"100,875",$30.95,$31.1131,$29.70
01/30/2024,$30.64,"92,446",$30.47,$30.98,$30.05
01/29/2024,$30.28,"143,621",$29.51,$30.345,$29.26
01/26/2024,$29.58,"198,910",$29.77,$29.98,$29.14
01/25/2024,$29.38,"197,954",$29.99,$30.0395,$28.50
01/24/2024,$29.47,"160,080",$31.18,$31.19,$29.25
01/23/2024,$30.33,"215,090",$30.75,$31.29,$29.47
01/22/2024,$30.04,"159,370",$27.89,$30.19,$27.58
01/19/2024,$27.82,"191,887",$29.01,$29.01,$27.28
01/18/2024,$28.66,"201,963",$28.93,$29.27,$28.27
01/17/2024,$27.99,"285,082",$26.61,$28.41,$26.54
01/16/2024,$28.04,"183,862",$27.51,$28.53,$27.51
01/12/2024,$27.97,"142,135",$28.00,$28.46,$27.40
01/11/2024,$27.71,"267,449",$26.93,$27.795,$26.13
01/10/2024,$27.12,"201,643",$26.21,$27.44,$26.04
01/09/2024,$26.53,"177,047",$26.02,$26.67,$25.64
01/08/2024,$26.22,"278,843",$25.38,$26.35,$23.82
01/05/2024,$24.93,"212,750",$26.76,$26.785,$24.89
01/04/2024,$27.44,"148,634",$27.89,$28.3499,$27.21
01/03/2024,$27.57,"233,657",$27.10,$28.61,$26.406
01/02/2024,$26.89,"176,597",$27.76,$28.12,$26.44
12/29/2023,$28.10,"165,828",$29.40,$30.065,$28.10
12/28/2023,$29.57,"153,223",$31.28,$32.245,$29.52
12/27/2023,$31.65,"229,389",$34.68,$35.01,$31.63
12/26/2023,$34.27,"173,761",$31.00,$34.47,$31.00
12/22/2023,$30.56,"160,854",$28.00,$30.915,$26.70
12/21/2023,$29.99,"150,659",$30.67,$30.67,$29.72
12/20/2023,$29.97,"252,189",$31.39,$32.03,$29.88
12/19/2023,$31.25,"238,995",$29.85,$31.75,$29.37
12/18/2023,$29.53,"201,942",$30.84,$30.84,$29.38
12/15/2023,$30.46,"1,251,319",$27.60,$30.50,$26.55
12/14/2023,$26.81,"323,348",$24.60,$27.09,$24.36
12/13/2023,$24.43,"349,241",$23.25,$24.69,$22.74
12/12/2023,$23.80,"283,717",$24.89,$25.05,$23.4737
12/11/2023,$24.12,"475,966",$26.35,$26.35,$23.89
12/08/2023,$26.08,"465,798",$24.88,$26.61,$24.80
12/07/2023,$25.47,"496,900",$24.52,$26.125,$24.385
12/06/2023,$24.44,"579,949",$23.74,$25.53,$23.74
12/05/2023,$23.51,"718,657",$24.70,$25.93,$21.455
12/04/2023,$24.20,"1,188,846",$21.70,$24.30,$21.00
12/01/2023,$22.20,"1,038,379",$24.10,$24.99,$22.20
11/30/2023,$27.50,"11,006",$27.50,$27.50,$27.50
11/29/2023,$25.00,N/A,$25.00,$25.00,$25.00
11/28/2023,$25.00,100,$25.00,$25.00,$25.00
