Date,Close,Volume,Open,High,Low
03/01/2024,$42.95,"2,569,713",$43.31,$44.01,$42.74
02/29/2024,$42.89,"5,247,791",$44.00,$44.24,$42.81
02/28/2024,$43.75,"6,379,637",$42.50,$43.94,$42.30
02/27/2024,$42.52,"3,609,529",$42.63,$43.40,$42.51
02/26/2024,$42.00,"3,199,832",$42.10,$42.44,$41.77
02/23/2024,$42.16,"3,651,313",$41.90,$42.25,$41.74
02/22/2024,$41.76,"2,947,325",$41.90,$42.29,$41.061
02/21/2024,$41.60,"4,119,182",$41.50,$41.79,$41.12
02/20/2024,$41.01,"3,214,901",$41.08,$41.53,$40.89
02/16/2024,$41.34,"4,469,324",$41.55,$41.90,$41.24
02/15/2024,$40.85,"3,244,920",$40.29,$41.40,$40.20
02/14/2024,$40.38,"2,536,306",$40.00,$40.68,$40.00
02/13/2024,$39.71,"2,533,438",$40.43,$41.15,$39.49
02/12/2024,$41.10,"3,108,750",$40.25,$41.59,$40.20
02/09/2024,$40.31,"2,496,632",$39.45,$40.405,$39.45
02/08/2024,$39.65,"3,748,294",$40.04,$40.12,$39.50
02/07/2024,$40.39,"8,714,048",$42.30,$42.40,$39.62
02/06/2024,$37.44,"5,573,176",$36.76,$38.00,$36.68
02/05/2024,$35.93,"4,752,016",$35.10,$35.99,$34.81
02/02/2024,$35.24,"4,041,443",$35.00,$35.38,$34.74
02/01/2024,$35.47,"3,040,812",$35.25,$35.81,$35.17
01/31/2024,$34.59,"4,398,578",$34.63,$35.28,$33.88
01/30/2024,$35.12,"2,783,219",$35.40,$35.71,$34.95
01/29/2024,$36.12,"2,829,672",$35.71,$36.18,$35.1546
01/26/2024,$35.50,"3,019,046",$35.51,$35.85,$35.13
01/25/2024,$35.64,"3,055,504",$37.10,$37.20,$35.43
01/24/2024,$37.09,"5,037,574",$37.02,$38.36,$36.96
01/23/2024,$35.96,"4,892,203",$35.71,$36.265,$35.32
01/22/2024,$34.45,"3,308,993",$33.86,$35.00,$33.55
01/19/2024,$35.25,"3,421,564",$35.36,$35.36,$34.77
01/18/2024,$35.66,"3,344,728",$35.60,$36.13,$35.31
01/17/2024,$34.93,"4,683,690",$34.79,$35.30,$34.705
01/16/2024,$36.13,"5,881,805",$36.72,$36.79,$35.81
01/12/2024,$37.48,"3,313,682",$38.00,$38.36,$37.22
01/11/2024,$38.11,"3,458,892",$38.71,$38.77,$37.42
01/10/2024,$38.39,"6,904,939",$38.99,$38.99,$37.96
01/09/2024,$39.16,"3,995,347",$39.80,$39.83,$38.98
01/08/2024,$40.40,"4,737,129",$40.45,$40.73,$39.41
01/05/2024,$40.93,"9,222,026",$41.00,$41.01,$39.64
01/04/2024,$42.11,"3,059,751",$41.97,$42.96,$41.79
01/03/2024,$42.95,"2,414,861",$42.31,$43.3102,$42.28
01/02/2024,$42.44,"2,507,976",$41.85,$42.65,$41.62
12/29/2023,$42.43,"2,057,250",$42.12,$42.59,$42.08
12/28/2023,$42.28,"1,684,985",$42.29,$42.62,$42.01
12/27/2023,$41.71,"1,110,555",$41.68,$42.13,$41.59
12/26/2023,$41.48,"1,550,179",$41.81,$42.22,$41.33
