Date,Close,Volume,Open,High,Low
03/01/2024,$3.26,"21,627",$3.11,$3.599,$3.00
02/29/2024,$3.10,"38,797",$3.22,$3.62,$3.10
02/28/2024,$3.618,"31,285",$4.50,$4.60,$3.601
02/27/2024,$4.389,"19,071",$4.10,$4.50,$3.225
02/26/2024,$3.888,"1,897",$3.81,$3.899,$3.585
02/23/2024,$3.799,"6,826",$3.80,$4.041,$3.799
02/22/2024,$3.828,"3,626",$3.86,$3.948,$3.50
02/21/2024,$3.71,"36,979",$4.00,$4.001,$3.511
02/20/2024,$4.00,"5,990",$4.434,$4.798,$3.78
02/16/2024,$4.571,"39,863",$4.448,$5.10,$4.177
02/15/2024,$4.12,"21,422",$3.20,$4.283,$3.20
02/14/2024,$3.27,"3,804",$3.264,$3.4635,$2.937
02/13/2024,$3.23,"1,895",$3.501,$3.502,$3.204
02/12/2024,$3.618,"1,181",$3.725,$3.90,$3.501
02/09/2024,$3.799,"2,450",$4.00,$4.00,$3.501
02/08/2024,$3.995,"28,254",$3.099,$4.90,$3.0765
02/07/2024,$3.003,333,$3.004,$3.009,$3.003
02/06/2024,$3.0041,132,$3.003,$3.009,$3.003
02/05/2024,$3.019,413,$3.019,$3.019,$3.003
02/02/2024,$3.021,37,$3.021,$3.021,$3.021
02/01/2024,$3.101,N/A,$3.101,$3.101,$3.101
01/31/2024,$3.101,286,$3.265,$3.265,$3.03
01/30/2024,$3.101,238,$3.028,$3.298,$3.028
01/29/2024,$3.20,133,$3.498,$3.498,$3.025
01/26/2024,$3.346,"1,248",$3.244,$3.35,$3.0211
01/25/2024,$3.245,101,$3.245,$3.245,$3.245
01/24/2024,$3.349,330,$3.243,$3.349,$3.243
01/23/2024,$3.30,392,$3.243,$3.35,$3.243
01/22/2024,$3.243,478,$3.243,$3.35,$3.243
01/19/2024,$3.243,689,$3.325,$3.40,$3.243
01/18/2024,$3.261,"1,450",$3.346,$3.70,$3.243
01/17/2024,$3.249,177,$3.231,$3.794,$3.23
01/16/2024,$3.302,228,$3.23,$3.347,$3.23
01/12/2024,$3.25,"1,919",$3.23,$3.655,$3.23
01/11/2024,$3.50,969,$3.78,$3.977,$3.23
01/10/2024,$3.69,"2,664",$3.021,$3.99,$3.021
01/09/2024,$3.51,"1,129",$3.65,$3.6635,$3.50
01/08/2024,$3.504,452,$3.847,$3.847,$3.337
01/05/2024,$3.504,"2,124",$3.50,$3.90,$3.50
01/04/2024,$3.80,"1,966",$3.004,$3.80,$3.004
01/03/2024,$3.152,"3,940",$3.201,$3.873,$3.10
01/02/2024,$3.189,484,$3.41,$3.41,$3.003
12/29/2023,$3.511,"4,979",$3.88,$4.20,$3.121
12/28/2023,$3.651,751,$4.00,$4.00,$3.65
12/27/2023,$4.00,"1,133",$4.503,$4.504,$3.86
12/26/2023,$4.504,590,$4.51,$4.51,$4.503
12/22/2023,$4.732,733,$4.5089,$4.752,$4.505
12/21/2023,$4.897,340,$4.501,$4.996,$4.501
12/20/2023,$4.803,543,$4.973,$5.50,$4.70
12/19/2023,$4.602,"1,682",$4.675,$5.50,$4.116
12/18/2023,$4.771,870,$4.803,$4.804,$4.101
12/15/2023,$5.00,"1,651",$5.00,$5.90,$4.80
12/14/2023,$6.20,535,$5.41,$6.20,$5.00
12/13/2023,$4.91,257,$6.45,$6.45,$4.90
12/12/2023,$5.60,609,$6.10,$6.10,$5.001
12/11/2023,$5.35,"3,190",$3.196,$7.60,$3.196
12/08/2023,$7.757,220,$7.798,$7.798,$7.757
12/07/2023,$8.00,951,$8.60,$8.624,$8.00
12/06/2023,$8.625,156,$8.60,$8.70,$8.60
12/05/2023,$8.732,25,$8.50,$8.732,$8.50
12/04/2023,$9.281,436,$9.447,$9.60,$9.0345
12/01/2023,$8.01,59,$9.599,$9.599,$8.01
11/30/2023,$9.5593,312,$9.40,$9.80,$9.35
11/29/2023,$7.799,108,$8.00,$8.00,$7.799
11/28/2023,$8.003,59,$9.38,$9.38,$8.003
11/27/2023,$8.588,193,$9.30,$9.30,$8.001
11/24/2023,$9.50,159,$9.102,$9.50,$9.102
11/22/2023,$9.595,116,$9.799,$9.799,$8.00
11/21/2023,$9.80,124,$8.383,$9.90,$8.383
11/20/2023,$9.601,228,$9.60,$9.8005,$9.30
11/17/2023,$9.502,200,$9.89,$9.90,$9.199
11/16/2023,$9.568,"1,245",$8.90,$9.80,$8.90
11/15/2023,$9.501,175,$9.89,$9.89,$9.50
11/14/2023,$9.80,266,$10.00,$10.00,$9.37
11/13/2023,$10.00,621,$10.20,$10.212,$8.461
11/10/2023,$10.30,139,$10.40,$10.40,$10.00
11/09/2023,$10.40,"4,027",$10.60,$10.90,$9.90
11/08/2023,$10.60,"1,756",$9.714,$10.60,$9.714
11/07/2023,$10.45,"1,630",$10.50,$10.50,$9.252
11/06/2023,$10.487,471,$10.30,$10.50,$10.20
11/03/2023,$10.50,43,$10.60,$10.60,$10.50
11/02/2023,$10.60,155,$10.60,$10.60,$10.30
11/01/2023,$10.505,404,$10.50,$10.70,$10.401
10/31/2023,$10.492,97,$10.10,$10.685,$10.10
10/30/2023,$10.699,716,$10.685,$10.699,$10.40
10/27/2023,$10.70,422,$10.599,$10.70,$10.592
10/26/2023,$10.592,"2,484",$10.80,$10.80,$10.016
10/25/2023,$10.799,80,$10.90,$10.90,$10.60
10/24/2023,$10.70,312,$10.80,$10.80,$10.599
10/23/2023,$10.599,351,$10.20,$10.80,$10.20
10/20/2023,$10.699,406,$10.00,$10.999,$10.00
10/19/2023,$10.90,"2,351",$10.10,$11.00,$9.999
10/18/2023,$10.50,211,$10.487,$10.50,$10.30
10/17/2023,$10.799,74,$10.60,$10.90,$10.60
10/16/2023,$10.80,451,$10.20,$11.00,$10.20
10/13/2023,$11.00,584,$11.20,$11.20,$10.184
10/12/2023,$11.00,120,$11.20,$11.20,$10.80
10/11/2023,$11.202,103,$11.30,$11.30,$11.20
10/10/2023,$11.25,41,$11.30,$11.30,$10.90
10/09/2023,$11.20,179,$10.80,$11.20,$10.80
10/06/2023,$10.90,63,$11.099,$11.099,$10.90
10/05/2023,$10.90,98,$10.91,$11.00,$10.90
10/04/2023,$11.00,109,$11.00,$11.00,$10.90
10/03/2023,$11.099,16,$11.099,$11.099,$11.099
10/02/2023,$11.094,38,$10.80,$11.094,$10.80
09/29/2023,$11.00,46,$10.995,$11.00,$10.995
09/28/2023,$11.00,237,$11.49,$11.50,$11.00
09/27/2023,$11.20,891,$11.40,$11.40,$11.10
09/26/2023,$11.60,102,$11.689,$11.689,$11.503
09/25/2023,$11.30,69,$11.50,$11.50,$11.25
09/22/2023,$11.30,54,$11.10,$11.50,$11.10
09/21/2023,$11.20,110,$10.40,$11.40,$10.40
09/20/2023,$11.10,88,$11.40,$11.60,$11.10
09/19/2023,$11.304,64,$11.40,$11.40,$11.304
09/18/2023,$10.80,103,$11.20,$11.40,$10.80
09/15/2023,$11.00,46,$11.60,$11.60,$11.00
09/14/2023,$11.70,85,$11.00,$11.70,$11.00
09/13/2023,$11.50,419,$11.69,$11.70,$11.30
09/12/2023,$11.50,41,$11.60,$11.60,$11.50
09/11/2023,$11.50,"1,706",$11.90,$11.90,$11.00
09/08/2023,$11.50,558,$11.60,$11.70,$11.30
09/07/2023,$11.55,297,$11.099,$11.60,$11.099
09/06/2023,$11.20,309,$11.40,$11.40,$11.00
09/05/2023,$11.50,418,$11.50,$11.50,$11.45
09/01/2023,$11.60,109,$11.60,$11.60,$11.50
08/31/2023,$11.60,308,$11.60,$11.60,$11.40
08/30/2023,$11.60,297,$11.40,$11.699,$11.35
08/29/2023,$11.40,180,$11.49,$11.50,$11.40
08/28/2023,$11.50,71,$11.50,$11.50,$11.40
08/25/2023,$11.30,117,$11.00,$11.328,$11.00
08/24/2023,$11.30,206,$11.60,$11.60,$11.30
08/23/2023,$11.40,298,$11.398,$11.50,$11.398
08/22/2023,$11.40,225,$11.60,$11.699,$11.40
08/21/2023,$11.40,81,$11.691,$11.699,$11.35
08/18/2023,$11.35,76,$11.70,$11.70,$11.35
08/17/2023,$11.50,372,$11.50,$11.70,$11.30
08/16/2023,$11.30,366,$11.60,$11.60,$11.00
08/15/2023,$11.699,35,$11.699,$11.699,$11.699
08/14/2023,$11.70,94,$11.40,$11.70,$11.40
08/11/2023,$11.699,66,$11.694,$11.699,$11.694
08/10/2023,$11.70,69,$11.60,$11.80,$11.60
08/09/2023,$11.90,310,$11.60,$11.90,$11.50
08/08/2023,$11.80,46,$11.90,$11.90,$11.80
08/07/2023,$11.69,132,$11.90,$12.00,$11.65
08/04/2023,$12.099,49,$12.099,$12.099,$12.099
08/03/2023,$11.80,261,$11.80,$11.90,$11.60
08/02/2023,$12.00,131,$11.90,$12.00,$11.70
08/01/2023,$12.00,112,$12.00,$12.097,$11.90
07/31/2023,$12.15,205,$11.20,$12.299,$11.20
07/28/2023,$12.30,358,$12.00,$12.499,$12.00
07/27/2023,$12.095,802,$12.50,$12.70,$11.70
07/26/2023,$12.50,281,$11.90,$12.799,$11.90
07/25/2023,$12.25,278,$12.40,$12.40,$12.05
07/24/2023,$12.70,525,$12.90,$12.90,$12.001
07/21/2023,$12.60,200,$12.80,$12.80,$12.50
07/20/2023,$12.70,111,$12.987,$12.987,$12.406
07/19/2023,$12.70,92,$11.90,$12.70,$11.10
07/18/2023,$12.501,102,$13.00,$13.00,$12.50
07/17/2023,$12.60,136,$12.80,$12.80,$12.401
